Make,Model,Serial,Number,Notes
"Allen Osborne Associates, Inc.",AOAD/M_T,132,,
"Allen Osborne Associates, Inc.",AOAD/M_T,133,,
Leica Geosystems,LEIAT504,324,,
Leica Geosystems,LEIAT504,332,,
Leica Geosystems,LEIAT504,333,,
Leica Geosystems,LEIAT504,405,,
Septentrio,SEPCHOKE_B3E6,5885,,
Thales,ASH700936B_M,11753,,
Thales,ASH700936C_M,12413,,
Thales,ASH700936C_M,12477,,
Thales,ASH700936C_M,12611,,
Thales,ASH700936C_M,12627,,
Thales,ASH700936D_M,CR13573,,
Thales,ASH700936E,CR16098,,
Thales,ASH701933C_M,CRN120000601,,
Thales,ASH701945B_M,CR519993903,,
Thales,ASH701945B_M,CR519993904,,
Thales,ASH701945B_M,CR519993905,,
Thales,ASH701945E_M,CR620022305,,
Trimble Navigation Ltd.,TRM115000.00,1431179267,8435,
Trimble Navigation Ltd.,TRM115000.00,1431180093,8498,
Trimble Navigation Ltd.,TRM115000.00,1431180094,8500,calibrated
Trimble Navigation Ltd.,TRM115000.00,1431180098,8499,
Trimble Navigation Ltd.,TRM115000.00,1431180104,8492,calibrated
Trimble Navigation Ltd.,TRM115000.00,1431180105,8438,calibrated
Trimble Navigation Ltd.,TRM115000.00,1431180107,8493,
Trimble Navigation Ltd.,TRM115000.00,1431180119,8494,
Trimble Navigation Ltd.,TRM115000.00,1431180121,8490,
Trimble Navigation Ltd.,TRM115000.00,1431180124,8491,calibrated
Trimble Navigation Ltd.,TRM115000.00,1440905656,16841,
Trimble Navigation Ltd.,TRM115000.00,1440905661,16842,
Trimble Navigation Ltd.,TRM115000.00,1441025870,17024,
Trimble Navigation Ltd.,TRM115000.00,1441025876,17008,calibrated
Trimble Navigation Ltd.,TRM115000.00,1441025880,17011,calibrated
Trimble Navigation Ltd.,TRM115000.00,1441025883,17022,
Trimble Navigation Ltd.,TRM115000.00,1441025884,16989,calibrated
Trimble Navigation Ltd.,TRM115000.00,1441025886,16998,
Trimble Navigation Ltd.,TRM115000.00,1441025887,16992,calibrated
Trimble Navigation Ltd.,TRM115000.00,1441025888,17029,
Trimble Navigation Ltd.,TRM115000.00,1441025890,16972,calibrated
Trimble Navigation Ltd.,TRM115000.00,1441025892,17017,calibrated
Trimble Navigation Ltd.,TRM115000.00,1441025899,17021,
Trimble Navigation Ltd.,TRM115000.00,1441025900,16996,calibrated
Trimble Navigation Ltd.,TRM115000.00,1441025906,17014,calibrated
Trimble Navigation Ltd.,TRM115000.00,1441025908,17002,calibrated
Trimble Navigation Ltd.,TRM115000.00,1441025911,16995,calibrated
Trimble Navigation Ltd.,TRM115000.00,1441025913,16984,calibrated
Trimble Navigation Ltd.,TRM115000.00,1441025918,16986,calibrated
Trimble Navigation Ltd.,TRM115000.00,1441025921,17018,calibrated
Trimble Navigation Ltd.,TRM115000.00,1441025923,8459,calibrated
Trimble Navigation Ltd.,TRM115000.00,1441025925,16991,calibrated
Trimble Navigation Ltd.,TRM115000.00,1441025926,17006,calibrated
Trimble Navigation Ltd.,TRM115000.00,1441025891,17026,calibrated
Trimble Navigation Ltd.,TRM115000.00,1441052883,17003,calibrated
Trimble Navigation Ltd.,TRM115000.00,1441052884,8458,calibrated
Trimble Navigation Ltd.,TRM115000.00,1441052886,17012,calibrated
Trimble Navigation Ltd.,TRM115000.00,1441052888,17023,calibrated
Trimble Navigation Ltd.,TRM115000.00,1441052890,17010,calibrated
Trimble Navigation Ltd.,TRM115000.00,1441052891,17013,calibrated
Trimble Navigation Ltd.,TRM115000.00,1441052892,17016,calibrated
Trimble Navigation Ltd.,TRM115000.00,1441052893,17020,
Trimble Navigation Ltd.,TRM115000.00,1441052895,17007,calibrated
Trimble Navigation Ltd.,TRM115000.00,1551016643,8457,calibrated
Trimble Navigation Ltd.,TRM115000.00,1551016647,16990,calibrated
Trimble Navigation Ltd.,TRM115000.00,1551016648,16994,calibrated
Trimble Navigation Ltd.,TRM115000.00,1551016652,8455,calibrated
Trimble Navigation Ltd.,TRM115000.00,1551016653,16982,calibrated
Trimble Navigation Ltd.,TRM115000.00,1551016654,16983,calibrated
Trimble Navigation Ltd.,TRM115000.00,1551016656,16997,calibrated
Trimble Navigation Ltd.,TRM115000.00,1551016658,17025,calibrated
Trimble Navigation Ltd.,TRM115000.00,1551016662,8456,calibrated
Trimble Navigation Ltd.,TRM115000.00,1551016666,16985,calibrated
Trimble Navigation Ltd.,TRM115000.00,1551016679,16993,calibrated
Trimble Navigation Ltd.,TRM115000.00,1551016684,17027,calibrated
Trimble Navigation Ltd.,TRM115000.00,1551016690,16981,calibrated
Trimble Navigation Ltd.,TRM115000.00,1551016695,17000,calibrated
Trimble Navigation Ltd.,TRM115000.00,1551016696,17019,calibrated
Trimble Navigation Ltd.,TRM115000.00,1551016702,17005,calibrated
Trimble Navigation Ltd.,TRM115000.00,1551016786,17001,calibrated
Trimble Navigation Ltd.,TRM115000.00,1551016789,17028,
Trimble Navigation Ltd.,TRM115000.00,1551016797,17015,calibrated
Trimble Navigation Ltd.,TRM115000.00,1551016806,16999,calibrated
Trimble Navigation Ltd.,TRM115000.00,1551016808,16988,calibrated
Trimble Navigation Ltd.,TRM115000.00,1551016810,17009,calibrated
Trimble Navigation Ltd.,TRM115000.00,1551016811,17004,calibrated
Trimble Navigation Ltd.,TRM115000.00,1551017047,16987,calibrated
Trimble Navigation Ltd.,TRM115000.00,2612758627,8475,
Trimble Navigation Ltd.,TRM115000.00,2612758639,8474,
Trimble Navigation Ltd.,TRM115000.00,2612758649,8466,calibrated
Trimble Navigation Ltd.,TRM115000.00,2612758651,8471,calibrated
Trimble Navigation Ltd.,TRM115000.00,2612758665,8470,
Trimble Navigation Ltd.,TRM115000.00,2612758673,8467,calibrated
Trimble Navigation Ltd.,TRM115000.00,2612758712,8468,
Trimble Navigation Ltd.,TRM115000.00,2612758717,8469,
Trimble Navigation Ltd.,TRM115000.00,2612758740,8473,
Trimble Navigation Ltd.,TRM115000.00,2612758741,8472,calibrated
Trimble Navigation Ltd.,TRM115000.00,62143G0027,,calibrated
Trimble Navigation Ltd.,TRM115000.00,62143G0056,,calibrated
Trimble Navigation Ltd.,TRM115000.00,62143G0063,,calibrated
Trimble Navigation Ltd.,TRM115000.00,62143G0068,,calibrated
Trimble Navigation Ltd.,TRM115000.00,62143G0083,,calibrated
Trimble Navigation Ltd.,TRM115000.00,64043G0058,,calibrated
Trimble Navigation Ltd.,TRM115000.00,64043G0083,,calibrated
Trimble Navigation Ltd.,TRM115000.00,64043G0090,,calibrated
Trimble Navigation Ltd.,TRM115000.00,64043G0094,,calibrated
Trimble Navigation Ltd.,TRM115000.00,64163G0037,,
Trimble Navigation Ltd.,TRM115000.10,63383B0040,,
Trimble Navigation Ltd.,TRM22020.00+GP,1061,,
Trimble Navigation Ltd.,TRM29659.00,0220063995,,
Trimble Navigation Ltd.,TRM29659.00,0220066912,,obsolete
Trimble Navigation Ltd.,TRM29659.00,0220067545,,
Trimble Navigation Ltd.,TRM29659.00,0220067548,,
Trimble Navigation Ltd.,TRM29659.00,0220073544,,
Trimble Navigation Ltd.,TRM29659.00,0220148020,,
Trimble Navigation Ltd.,TRM29659.00,0220190193,,
Trimble Navigation Ltd.,TRM29659.00,0220190270,,
Trimble Navigation Ltd.,TRM29659.00,0220227659,,
Trimble Navigation Ltd.,TRM33429.20+GP,131754,,
Trimble Navigation Ltd.,TRM41249.00,11885765,,
Trimble Navigation Ltd.,TRM41249.00,11888944,,
Trimble Navigation Ltd.,TRM41249.00,11889136,,
Trimble Navigation Ltd.,TRM41249.00,11889217,,
Trimble Navigation Ltd.,TRM41249.00,11889428,,
Trimble Navigation Ltd.,TRM41249.00,11889599,,
Trimble Navigation Ltd.,TRM41249.00,11889680,,
Trimble Navigation Ltd.,TRM41249.00,11889810,,
Trimble Navigation Ltd.,TRM41249.00,11889815,,
Trimble Navigation Ltd.,TRM41249.00,11909132,,
Trimble Navigation Ltd.,TRM41249.00,12092000,,
Trimble Navigation Ltd.,TRM41249.00,12200392,,
Trimble Navigation Ltd.,TRM41249.00,12200503,,
Trimble Navigation Ltd.,TRM41249.00,12200543,,
