Make,Model,Serial,Number,Notes
Axis Communications AB,AXIS-221,00408C6DC9E1,10541,
Axis Communications AB,Q1808-LE,B8A44FBF8200,414203,
Axis Communications AB,Q1808-LE,B8A44FC2A6B0,414049,
Axis Communications AB,Q1808-LE,B8A44FE4A100,414113,
Mobotix AG,M12 3MP,0003c5041fc7,13288,
Mobotix AG,M12 3MP,10.3.234.85,13351,
Mobotix AG,M12 3MP,10.4.156.174,13350,
Mobotix AG,M12 3MP,10.4.162.186,13352,
Mobotix AG,M12 3MP,10.4.189.198,13369,
Mobotix AG,M12 3MP,10.4.71.129,13321,
Mobotix AG,M12 3MP,10.5.128.224,14136,
Mobotix AG,M12 3MP,10.5.158.204,14135,
Mobotix AG,M12 3MP,10.5.160.96,14137,
Mobotix AG,M12 3MP,10.5.186.107,14154,
Mobotix AG,M12 3MP,10.5.202.81,14162,
Mobotix AG,M12 3MP,10.5.217.68,14166,
Mobotix AG,M12 3MP,10.5.32.131,13896,
Mobotix AG,M12 3MP,10.6.15.32,14927,
Mobotix AG,M12 3MP,10.6.16.177,14946,
Mobotix AG,M12 3MP,10.6.9.85,14920,
Mobotix AG,M15,10.13.10.47,14947,
Mobotix AG,M15,10.13.68.240,14958,
Mobotix AG,M15,10.14.178.98,14986,
Mobotix AG,M15,10.16.105.12,16005,
Mobotix AG,M15,10.17.107.14,16011,
Mobotix AG,M15,10.18.101.137,16017,
Mobotix AG,M15,10.18.101.33,16021,
Mobotix AG,M15,10.18.168.61,16016,
Mobotix AG,M15,10.7.46.153,16028,
Mobotix AG,M15,10.20.245.115,16033,
Mobotix AG,M15,10.20.210.120,,
Mobotix AG,M16,10.26.62.41,8434,
Mobotix AG,M16,10.26.62.43,8433,
Mobotix AG,M16,10.26.194.146,16044,
Mobotix AG,M16,10.26.196.191,16043,
Mobotix AG,M16,10.26.196.188,16045,
Mobotix AG,M16,10.26.194.151,16056,
Mobotix AG,M16,10.28.95.169,,
Mobotix AG,M16,10.28.95.175,,
Mobotix AG,M16B,10.27.173.237,,
Mobotix AG,M16B,10.28.69.216,,
Mobotix AG,M16B,10.28.92.94,,
Mobotix AG,M24M-Secure,10.9.190.163,,
Mobotix AG,M24M-Secure,10.9.190.76,,
Mobotix AG,M24M-Secure,10.9.246.200,,
Olympus,CAMEDIA-C820L,24043997,10258,
Olympus,CAMEDIA-C860L,46170127,10174,
Olympus,CAMEDIA-C860L,72101420,13297,
Olympus,CAMEDIA-C920Z,62301556,,
Olympus,CAMEDIA-C920Z,62302533,9520,
Olympus,CAMEDIA-C960Z,109100682,,
Olympus,CAMEDIA-C960Z,109301691,10076,
Olympus,CAMEDIA-C990,129302126,,
Stardot Technologies,Netcam XL-3MP,0030F4CA01AA,10990,
