Make,Model,Serial,Number,Notes
Cambridge Instrument Company,GALITZIN,CHR_1,,
Columbia,COLUMBIA,HLL_1,,
Campbell Scientific,CR10X,Unknown,,Waimangu Inferno Crater 2012-19
Campbell Scientific,CR1000,4751,,
Campbell Scientific,CR6,03066,,
Campbell Scientific,CR6,04108,,
Campbell Scientific,CR6,04109,,
Campbell Scientific,CR6,04110,,
Campbell Scientific,CR6,04111,,
Campbell Scientific,CR6,04112,,
Campbell Scientific,CR6,04114,,
Campbell Scientific,CR6,04115,,
Campbell Scientific,CR6,04116,,
Campbell Scientific,CR6,04117,,
Campbell Scientific,CR6,11300,,
Campbell Scientific,CR6,11301,,
Campbell Scientific,CR6,11303,,
Campbell Scientific,CR6,11770,,
Campbell Scientific,CR6,15365,,
Campbell Scientific,CR6,15366,404990,
Campbell Scientific,CR6,15367,,
Campbell Scientific,CR6,15368,,
Campbell Scientific,CR6,15370,,
Campbell Scientific,CR6,15371,,
Campbell Scientific,CR6,15369,,
Campbell Scientific,CR6,17444,404963,
Campbell Scientific,CR6,17445,,
Campbell Scientific,CR6,18430,,
Campbell Scientific,CR6,20464,,
Campbell Scientific,CR6,20467,,
Campbell Scientific,CR6,20468,,
Campbell Scientific,CR6,20469,,
Campbell Scientific,CR6,20470,,
Campbell Scientific,CR6,20471,,
Campbell Scientific,CR6,20472,,
Campbell Scientific,CR6,20474,412348,
Campbell Scientific,CR6,20475,,
Galitzin-Wilip,GALITZIN-WILIP,WEL_1,,
Guralp,GURALP-SAM-RECORDER,S0125,,
Guralp,GURALP-SAM-RECORDER,S0143,,
Imamura,IMAMURA,TAK_1,,
Imamura,IMAMURA,WEL_1,,
GNS Science,EARSS/16,204,,
GNS Science,EARSS/16,205,,
GNS Science,EARSS/16,206,,
GNS Science,EARSS/16,207,,
GNS Science,EARSS/16,208,,
GNS Science,EARSS/16,209,,
GNS Science,EARSS/16,210,,
GNS Science,EARSS/16,211,,
GNS Science,EARSS/16,255,,
GNS Science,EARSS/3,001,,
GNS Science,EARSS/3,002,,
GNS Science,EARSS/3,003,,
GNS Science,EARSS/3,004,,
GNS Science,EARSS/3,005,,
GNS Science,EARSS/3,006,,
GNS Science,EARSS/3,007,,
GNS Science,EARSS/3,008,,
GNS Science,EARSS/3,009,,
GNS Science,EARSS/3,010,,
GNS Science,EARSS/3,011,,
GNS Science,EARSS/3,012,,
GNS Science,EARSS/3,013,,
GNS Science,EARSS/3,014,,
GNS Science,EARSS/3,015,,
GNS Science,EARSS/3,016,,
GNS Science,EARSS/3,017,,
GNS Science,EARSS/3,018,,
GNS Science,EARSS/3,019,,
GNS Science,EARSS/3,020,,
GNS Science,EARSS/3,021,,
GNS Science,EARSS/3,022,,
GNS Science,EARSS/3,023,,
GNS Science,EARSS/3,024,,
GNS Science,EARSS/3,025,,
GNS Science,EARSS/3,026,,
GNS Science,EARSS/3,027,,
GNS Science,EARSS/3,028,,
GNS Science,EARSS/3,029,,
GNS Science,EARSS/3,030,,
GNS Science,EARSS/3,031,,
GNS Science,EARSS/3,032,,
GNS Science,EARSS/3,033,,
GNS Science,EARSS/3,034,,
GNS Science,EARSS/3,035,,
GNS Science,EARSS/3,036,,
GNS Science,EARSS/3,037,,
GNS Science,EARSS/3,038,,
GNS Science,EARSS/3,039,,
GNS Science,EARSS/3,040,,
GNS Science,EARSS/3,085,,
GNS Science,EARSS/3,087,,
GNS Science,EARSS/3,099,,
GNS Science,EARSS/3,101,,
GNS Science,EARSS/3,102,,
GNS Science,EARSS/3,103,,
GNS Science,EARSS/3,104,,
GNS Science,EARSS/3,105,,
GNS Science,EARSS/3,106,,
GNS Science,EARSS/3,107,,
GNS Science,EARSS/3,108,,
GNS Science,EARSS/3,109,,
GNS Science,EARSS/3,110,,
GNS Science,EARSS/3,111,,
GNS Science,EARSS/3,112,,
GNS Science,EARSS/3,113,,
GNS Science,EARSS/3,114,,
GNS Science,EARSS/3,115,,
GNS Science,EARSS/3,116,,
GNS Science,EARSS/3,117,,
GNS Science,EARSS/3,118,,
GNS Science,EARSS/3,119,,
GNS Science,EARSS/3,120,,
GNS Science,EARSS/3,121,,
GNS Science,EARSS/3,122,,
GNS Science,EARSS/3,123,,
GNS Science,EARSS/3,124,,
GNS Science,EARSS/3,125,,
GNS Science,EARSS/3,151,,
GNS Science,EARSS/3,152,,
GNS Science,EARSS/3,153,,
GNS Science,EARSS/3,154,,
GNS Science,EARSS/3,155,,
GNS Science,EARSS/3,156,,
GNS Science,EARSS/3,181,,
GNS Science,EARSS/3,182,,
GNS Science,EARSS/3,183,,
GNS Science,EARSS/3,197,,
GNS Science,EARSS/3,199,,
GNS Science,GEOPHONE,WEL_1,,
GNS Science,RATS-RECORDER,801,,
GNS Science,RATS-RECORDER,802,,
GNS Science,RATS-RECORDER,803,,
GNS Science,RATS-RECORDER,804,,
GNS Science,RATS-RECORDER,805,,
GNS Science,RATS-RECORDER,806,,
GNS Science,RATS-RECORDER,807,,
GNS Science,RATS-RECORDER,808,,
GNS Science,RATS-RECORDER,809,,
GNS Science,RATS-RECORDER,810,,
GNS Science,RATS-RECORDER,811,,
GNS Science,RATS-RECORDER,812,,
GNS Science,RATS-RECORDER,821,,
GNS Science,RATS-RECORDER,822,,
GNS Science,RATS-RECORDER,823,,
GNS Science,RATS-RECORDER,824,,
GNS Science,RATS-RECORDER,825,,
GNS Science,SNARE/16,200,,
GNS Science,SNARE/16,201,,
GNS Science,SNARE/16,202,,
GNS Science,SNARE/16,203,,
Johnson-Matheson,JOHNSON-MATHESON,API_1,,
Jones,JONES,TON_1,,
Jones,JONES,WEL_1,,
Kinemetrics,Basalt/8,1625,15109,
Kinemetrics,Basalt/8,1626,15110,
Kinemetrics,Basalt/8,1627,15111,
Kinemetrics,KINEMETRICS PORTABLE RECORDER,PPZ_1,,
Kinemetrics,Obsidian/4,139,16126,
Kinemetrics,Obsidian/4,372,16403,
Kinemetrics,Obsidian/4,373,16404,
Kinemetrics,Obsidian/4,656,16653,
Kinemetrics,Obsidian/4,695,16675,
Kinemetrics,Obsidian/4,709,16670,
Kinemetrics,Obsidian/4,710,16669,
Kinemetrics,Obsidian/4,711,16673,
Kinemetrics,Obsidian/4,712,16677,
Kinemetrics,Obsidian/4,713,16671,
Kinemetrics,Obsidian/4,714,16674,
Kinemetrics,Obsidian/4,715,16676,
Kinemetrics,Obsidian/4,716,16672,
Kinemetrics,Q330/3,1177,10127,
Kinemetrics,Q330/3,1178,10128,
Kinemetrics,Q330/3,1179,10121,
Kinemetrics,Q330/3,1180,,
Kinemetrics,Q330/3,1181,10131,
Kinemetrics,Q330/3,1182,10132,
Kinemetrics,Q330/3,1183,10129,
Kinemetrics,Q330/3,1184,10130,
Kinemetrics,Q330/3,1185,10119,
Kinemetrics,Q330/3,1186,10120,
Kinemetrics,Q330/3,1187,10117,
Kinemetrics,Q330/3,1188,10118,
Kinemetrics,Q330/3,1189,10136,
Kinemetrics,Q330/3,1190,10135,
Kinemetrics,Q330/3,1191,10125,
Kinemetrics,Q330/3,1193,10126,
Kinemetrics,Q330/3,1194,10124,
Kinemetrics,Q330/3,1195,10123,
Kinemetrics,Q330/3,1196,10134,
Kinemetrics,Q330/3,1197,10133,
Kinemetrics,Q330/3,2108,13068,
Kinemetrics,Q330/3,2141,13067,
Kinemetrics,Q330/3,2216,13062,
Kinemetrics,Q330/3,2218,12935,
Kinemetrics,Q330/3,2220,13061,
Kinemetrics,Q330/3,2232,12936,
Kinemetrics,Q330/3,2236,12952,
Kinemetrics,Q330/3,2237,12938,
Kinemetrics,Q330/3,2238,12939,
Kinemetrics,Q330/3,2239,13069,
Kinemetrics,Q330/3,2321,12940,
Kinemetrics,Q330/3,2322,13070,
Kinemetrics,Q330/3,2323,12941,
Kinemetrics,Q330/3,2324,12942,
Kinemetrics,Q330/3,2325,12943,
Kinemetrics,Q330/3,2327,12944,
Kinemetrics,Q330/3,2328,12945,
Kinemetrics,Q330/3,2329,12946,
Kinemetrics,Q330/3,2330,12947,
Kinemetrics,Q330/3,2331,12948,
Kinemetrics,Q330/3,2332,12949,
Kinemetrics,Q330/3,2333,13063,
Kinemetrics,Q330/3,2334,12950,
Kinemetrics,Q330/3,2335,12951,
Kinemetrics,Q330/3,2336,12937,
Kinemetrics,Q330/3,2337,13065,
Kinemetrics,Q330/3,2339,12953,
Kinemetrics,Q330/3,2340,12954,
Kinemetrics,Q330/3,2342,13060,
Kinemetrics,Q330/3,2349,13058,
Kinemetrics,Q330/3,2350,13072,
Kinemetrics,Q330/3,2356,13071,
Kinemetrics,Q330/3,2357,13064,
Kinemetrics,Q330/3,2358,13066,
Kinemetrics,Q330/3,2361,13074,
Kinemetrics,Q330/3,2363,13073,
Kinemetrics,Q330/3,2364,13056,
Kinemetrics,Q330/3,2366,13057,
Kinemetrics,Q330/3,2367,13182,
Kinemetrics,Q330/3,2368,13059,
Kinemetrics,Q330/3,2455,13090,
Kinemetrics,Q330/3,2460,13087,
Kinemetrics,Q330/3,2462,13088,
Kinemetrics,Q330/3,2464,13100,
Kinemetrics,Q330/3,2466,13099,
Kinemetrics,Q330/3,2471,13093,
Kinemetrics,Q330/3,2537,13094,
Kinemetrics,Q330/3,2542,13101,
Kinemetrics,Q330/3,2546,13084,
Kinemetrics,Q330/3,2548,13086,
Kinemetrics,Q330/3,2551,13085,
Kinemetrics,Q330/3,2552,13091,
Kinemetrics,Q330/3,2553,13092,
Kinemetrics,Q330/3,2554,13096,
Kinemetrics,Q330/3,2555,13095,
Kinemetrics,Q330/3,2558,13097,
Kinemetrics,Q330/3,2559,13098,
Kinemetrics,Q330/3,2563,13083,
Kinemetrics,Q330/3,2564,13082,
Kinemetrics,Q330/3,2610,13089,
Kinemetrics,Q330/3,280,9239,Broken
Kinemetrics,Q330/3,299,9238,
Kinemetrics,Q330/3,300,9244,
Kinemetrics,Q330/3,301,9245,
Kinemetrics,Q330/3,307,9236,
Kinemetrics,Q330/3,308,9237,
