Make,Model,Serial,Number,Notes
Leica Geosystems,LEIS,0220148020,,
Leica Geosystems,LEIS,11753,,
Leica Geosystems,LEIS,324,,
Leica Geosystems,LEIS,332,,
Leica Geosystems,LEIS,333,,
Leica Geosystems,LEIS,405,,
Thales,SCIS,0220063995,,
Thales,SCIS,0220066912,,
Thales,SCIS,0220067545,,
Thales,SCIS,0220067548,,
Thales,SCIS,0220073544,,
Thales,SCIS,0220190193,,
Thales,SCIS,0220190270,,
Thales,SCIS,0220227659,,
Thales,SCIS,67548,,
Thales,SCIS,CR13573,,
Thales,SCIS,CR519993905,,
Thales,SCIS,CRN120000601,,
Thales,SNOW,11753,,
Thales,SNOW,12477,,
Thales,SNOW,12627,,
Thales,SNOW,CR16098,,
Thales,SNOW,CR620022305,,
