Make,Model,Serial Number,Asset Number,Notes
"Allen Osborne Associates, Inc.",ROGUE SNR-8000,132,,
"Allen Osborne Associates, Inc.",ROGUE SNR-8000,133,,
Leica Geosystems,LEICA CRS1000,23181,,
Leica Geosystems,LEICA CRS1000,23183,,
Leica Geosystems,LEICA CRS1000,23199,,
Leica Geosystems,LEICA CRS1000,23204,,
Leica Geosystems,LEICA CRS1000,23242,,
Leica Geosystems,LEICA CRS1000,23243,,
Leica Geosystems,LEICA CRS1000,30132,,
Leica Geosystems,LEICA CRS1000,30188,,
Leica Geosystems,LEICA GRX1200GGPRO,353205,,
Leica Geosystems,LEICA GRX1200GGPRO,463475,,
Leica Geosystems,LEICA RS500,82242,,
Thales,ASHTECH MICROZ,ZR220021105,,
Thales,ASHTECH Z-XII3,LP00155,,
Thales,ASHTECH Z-XII3,LP00611,,
Thales,ASHTECH Z-XII3,LP01192,,
Thales,ASHTECH Z-XII3,LP01199,,
Thales,ASHTECH Z-XII3,LP01211,,
Thales,ASHTECH Z-XII3,LP020000805,,
Thales,ASHTECH Z-XII3,LP02739,,
Thales,ASHTECH Z-XII3,LP02741,,
Thales,ASHTECH Z-XII3,LP03211,,
Thales,ASHTECH Z-XII3,LP419994101,,
Thales,ASHTECH Z-XII3,LP419994102,,
Thales,ASHTECH Z-XII3,LP419994103,,
Trimble,TRIMBLE 4000SSE,7590,,
Trimble,TRIMBLE 4000SSI,18169,,
Trimble,TRIMBLE 4000SSI,3609A14696,,
Trimble,TRIMBLE 4000SSI,3616A15401,,
Trimble,TRIMBLE 4000SSI,3616A15413,,
Trimble,TRIMBLE 4000SSI,3626A16313,,
Trimble,TRIMBLE 4000SSI,3626A16319,,
Trimble,TRIMBLE 4000SSI,3626A16335,,
Trimble,TRIMBLE 4000SSI,3832A23786,,
Trimble,TRIMBLE 4000SSI,3834A23793,,
Trimble,TRIMBLE 4000SSI,3866,,
Trimble,TRIMBLE 4000SSI,4016A28152,,
Trimble,TRIMBLE 5700,0220266487,,
Trimble,TRIMBLE 5700,0220267068,,
Trimble,TRIMBLE 5700,0220267073,,
Trimble,TRIMBLE 5700,0220267074,,
Trimble,TRIMBLE 5700,0220283944,,
Trimble,TRIMBLE 5700,0220284004,,
Trimble,TRIMBLE 5700,0220284692,,
Trimble,TRIMBLE 5700,0220287017,,
Trimble,TRIMBLE 5700,0220287018,,
Trimble,TRIMBLE 5700,0220287079,,
Trimble,TRIMBLE 5700,0220825490,,
Trimble,TRIMBLE 5700,0440100689,,
Trimble,TRIMBLE 5700,0440101187,,
Trimble,TRIMBLE 5700,0440101196,,
Trimble,TRIMBLE 5700,0440101356,,
Trimble,TRIMBLE 5700,0440101789,,
Trimble,TRIMBLE 5700,0440105385,,
Trimble,TRIMBLE 5700,220280300,,
Trimble,TRIMBLE NETR5,4737K07041,,
Trimble,TRIMBLE NETR9,5014K66721,13986,
Trimble,TRIMBLE NETR9,5014K66722,14078,
Trimble,TRIMBLE NETR9,5015K66760,13992,
Trimble,TRIMBLE NETR9,5015K66761,14077,
Trimble,TRIMBLE NETR9,5016K66890,13996,
Trimble,TRIMBLE NETR9,5016K66900,14064,
Trimble,TRIMBLE NETR9,5016K67013,13991,
Trimble,TRIMBLE NETR9,5016K67014,14076,
Trimble,TRIMBLE NETR9,5016K67062,14075,
Trimble,TRIMBLE NETR9,5018K67247,14066,
Trimble,TRIMBLE NETR9,5033K69573,14063,
Trimble,TRIMBLE NETR9,5033K69574,14062,
Trimble,TRIMBLE NETR9,5034K69668,13989,
Trimble,TRIMBLE NETR9,5034K69669,13999,
Trimble,TRIMBLE NETR9,5034K69671,13997,
Trimble,TRIMBLE NETR9,5034K69673,13995,
Trimble,TRIMBLE NETR9,5034K69674,14069,
Trimble,TRIMBLE NETR9,5034K69675,14070,
Trimble,TRIMBLE NETR9,5034K69678,13993,
Trimble,TRIMBLE NETR9,5034K69679,14072,
Trimble,TRIMBLE NETR9,5034K69680,14067,
Trimble,TRIMBLE NETR9,5034K69682,14074,
Trimble,TRIMBLE NETR9,5034K69683,13990,
Trimble,TRIMBLE NETR9,5034K69684,14080,
Trimble,TRIMBLE NETR9,5034K69688,14065,
Trimble,TRIMBLE NETR9,5034K69694,13985,
Trimble,TRIMBLE NETR9,5034K69695,13988,
Trimble,TRIMBLE NETR9,5034K69696,14073,
Trimble,TRIMBLE NETR9,5034K69697,13998,
Trimble,TRIMBLE NETR9,5034K69700,13994,
Trimble,TRIMBLE NETR9,5034K69703,14081,
Trimble,TRIMBLE NETR9,5034K69705,14068,
Trimble,TRIMBLE NETR9,5034K69708,14071,
Trimble,TRIMBLE NETR9,5034K69711,14082,
Trimble,TRIMBLE NETR9,5034K69713,13987,
Trimble,TRIMBLE NETR9,5034K69714,14084,
Trimble,TRIMBLE NETR9,5034K69719,14061,
Trimble,TRIMBLE NETR9,5034K69720,14083,
Trimble,TRIMBLE NETR9,5034K69722,14000,
Trimble,TRIMBLE NETR9,5034K69724,14079,
Trimble,TRIMBLE NETR9,5035K69859,14275,
Trimble,TRIMBLE NETR9,5035K69868,14252,
Trimble,TRIMBLE NETR9,5035K69875,14253,
Trimble,TRIMBLE NETR9,5035K69877,14254,
Trimble,TRIMBLE NETR9,5035K69998,14255,
Trimble,TRIMBLE NETR9,5035K70008,14256,
Trimble,TRIMBLE NETR9,5048K72002,14409,
Trimble,TRIMBLE NETR9,5048K72026,14410,
Trimble,TRIMBLE NETR9,5048K72044,14411,
Trimble,TRIMBLE NETR9,5049K72143,14257,
Trimble,TRIMBLE NETR9,5049K72152,14412,
Trimble,TRIMBLE NETR9,5049K72153,14258,
Trimble,TRIMBLE NETR9,5049K72167,14413,
Trimble,TRIMBLE NETR9,5049K72187,14259,
Trimble,TRIMBLE NETR9,5049K72203,14414,
Trimble,TRIMBLE NETR9,5049K72209,14260,
Trimble,TRIMBLE NETR9,5049K72215,14415,
Trimble,TRIMBLE NETR9,5049K72217,14418,
Trimble,TRIMBLE NETR9,5049K72221,14416,
Trimble,TRIMBLE NETR9,5049K72269,14274,
Trimble,TRIMBLE NETR9,5049K72301,14417,
Trimble,TRIMBLE NETR9,5116K75213,14561,
Trimble,TRIMBLE NETR9,5117K75239,14562,
Trimble,TRIMBLE NETR9,5117K75357,14563,
Trimble,TRIMBLE NETR9,5118K75474,14564,
Trimble,TRIMBLE NETR9,5118K75475,14565,
Trimble,TRIMBLE NETR9,5118K75487,14566,
Trimble,TRIMBLE NETR9,5119K75698,14567,
Trimble,TRIMBLE NETR9,5121K76074,14568,
Trimble,TRIMBLE NETR9,5121K76077,14569,
Trimble,TRIMBLE NETR9,5122K76160,14570,
Trimble,TRIMBLE NETR9,5152K81077,,
Trimble,TRIMBLE NETR9,5206K82071,14837,destroyed in Tongariro eruption
Trimble,TRIMBLE NETR9,5207K82212,14838,
Trimble,TRIMBLE NETR9,5207K82240,14839,
Trimble,TRIMBLE NETR9,5207K82248,14840,
Trimble,TRIMBLE NETR9,5207K82280,14841,
Trimble,TRIMBLE NETR9,5213K83563,15029,
Trimble,TRIMBLE NETR9,5213K83601,15030,
Trimble,TRIMBLE NETR9,5213K83649,15031,
Trimble,TRIMBLE NETR9,5213K83650,15032,
Trimble,TRIMBLE NETR9,5213K83652,15033,
Trimble,TRIMBLE NETR9,5213K83653,15034,
Trimble,TRIMBLE NETR9,5213K83722,15035,
Trimble,TRIMBLE NETR9,5215K84097,15036,
Trimble,TRIMBLE NETR9,5215K84098,15037,
Trimble,TRIMBLE NETR9,5215K84153,15038,
Trimble,TRIMBLE NETR9,5245K53218,15302,
Trimble,TRIMBLE NETR9,5245K54535,15301,
Trimble,TRIMBLE NETR9,5246K53593,15305,
Trimble,TRIMBLE NETR9,5246K53603,15308,
Trimble,TRIMBLE NETR9,5248K54179,15303,
Trimble,TRIMBLE NETR9,5249K40315,15304,
Trimble,TRIMBLE NETR9,5249K40325,15306,
Trimble,TRIMBLE NETR9,5249K54373,15307,
Trimble,TRIMBLE NETR9,5301K56131,15269,
Trimble,TRIMBLE NETR9,5302K41648,15268,
Trimble,TRIMBLE NETR9,5304K50023,15589,
Trimble,TRIMBLE NETR9,5306K41807,15274,
Trimble,TRIMBLE NETR9,5306K41857,15266,
Trimble,TRIMBLE NETR9,5306K41861,15265,
Trimble,TRIMBLE NETR9,5306K41886,15270,
Trimble,TRIMBLE NETR9,5306K41887,15272,
Trimble,TRIMBLE NETR9,5306K50881,15580,
