Make,Model,Serial,Number,Notes
Canterbury Seismic Instruments,CUSP-M4,3D-42200,15621,
Canterbury Seismic Instruments,CUSP-M4,3D-42204,15622,
Canterbury Seismic Instruments,CUSP-M4,3D-42207,15623,
Canterbury Seismic Instruments,CUSP-Me,3DE-20733,15163,
Canterbury Seismic Instruments,CUSP-Me,3DE-20734,15164,
Canterbury Seismic Instruments,CUSP-Me,3DE-20735,15165,
Canterbury Seismic Instruments,CUSP-Me,3DE-20736,15166,
Canterbury Seismic Instruments,CUSP-Me,3DE-20737,15167,
Canterbury Seismic Instruments,CUSP-Me,3DE-20738,15168,
Canterbury Seismic Instruments,CUSP-Me,3DE-20739,15169,
Canterbury Seismic Instruments,CUSP-Me,3DE-20740,15170,
Canterbury Seismic Instruments,CUSP-Me,3DE-20741,15171,
Canterbury Seismic Instruments,CUSP-Me,3DE-20742,15172,
Canterbury Seismic Instruments,CUSP-Me,3DE-20743,15173,
Canterbury Seismic Instruments,CUSP-Me,3DE-20745,15174,
Canterbury Seismic Instruments,CUSP-Me,3DE-20746,15175,
Canterbury Seismic Instruments,CUSP-Me,3DE-20747,15176,
Canterbury Seismic Instruments,CUSP-Me,3DE-20748,15177,
Canterbury Seismic Instruments,CUSP-Me,3DE-20749,15178,
Canterbury Seismic Instruments,CUSP-Me,3DE-20750,15588,
Canterbury Seismic Instruments,CUSP-Me,3De-20752e,15502,
Canterbury Seismic Instruments,CUSP-Me,3De-20753e,15503,
Canterbury Seismic Instruments,CUSP-Me,3De-20754e,15504,
Canterbury Seismic Instruments,CUSP-Me,3De-20755e,15505,
Canterbury Seismic Instruments,CUSP-Me,3De-20756e,15506,
Canterbury Seismic Instruments,CUSP-Me,3De-20757e,15507,
Canterbury Seismic Instruments,CUSP-Me,3De-20758e,15508,
Canterbury Seismic Instruments,CUSP-Me,3De-20759e,15509,
Canterbury Seismic Instruments,CUSP-Me,3De-20760e,15510,
Canterbury Seismic Instruments,CUSP-Me,3De-20761e,15511,
Canterbury Seismic Instruments,CUSP-Me,3De-20762e,15512,
Canterbury Seismic Instruments,CUSP-Me,3De-20763e,15513,
Canterbury Seismic Instruments,CUSP-Me,3De-20764e,15514,
Canterbury Seismic Instruments,CUSP-Me,3De-20765e,15515,
Canterbury Seismic Instruments,CUSP-Me,3De-20766e,15516,
Canterbury Seismic Instruments,CUSP-Me,3De-20767e,15517,
Canterbury Seismic Instruments,CUSP-Me,3De-20768e,15518,
Canterbury Seismic Instruments,CUSP-Me,3De-20769e,15519,
Canterbury Seismic Instruments,CUSP-Me,3De-20770e,15520,
Canterbury Seismic Instruments,CUSP-Me,3De-20771e,15521,
Canterbury Seismic Instruments,CUSP-Me,3De-20772e,15522,
Canterbury Seismic Instruments,CUSP-Me,3De-20773e,15523,
Canterbury Seismic Instruments,CUSP-Me,3De-20774e,15524,
Canterbury Seismic Instruments,CUSP-Me,3De-20775e,15525,
Canterbury Seismic Instruments,CUSP-Me,3De-20776e,15526,
Canterbury Seismic Instruments,CUSP-Me,3De-20777e,15527,
Canterbury Seismic Instruments,CUSP-Me,3De-20778e,15528,
Canterbury Seismic Instruments,CUSP-Me,3De-20779e,15529,
Canterbury Seismic Instruments,CUSP-Me,3De-20780e,15530,
Canterbury Seismic Instruments,CUSP-Me,3De-20781e,15531,
Canterbury Seismic Instruments,CUSP-Me,3De-20782e,15532,
Canterbury Seismic Instruments,CUSP-Me,3De-20783e,15533,
Canterbury Seismic Instruments,CUSP-Me,3De-20784e,15534,
Canterbury Seismic Instruments,CUSP-Me,3De-20785e,15535,
Canterbury Seismic Instruments,CUSP-Me,3De-20786e,15536,
Canterbury Seismic Instruments,CUSP-Me,3De-20787e,15537,
Canterbury Seismic Instruments,CUSP-Me,3De-20788e,15538,
Canterbury Seismic Instruments,CUSP-Me,3De-20789e,15539,
Canterbury Seismic Instruments,CUSP-Me,3De-20790e,15540,
Canterbury Seismic Instruments,CUSP-Me,3De-20791e,15541,
Canterbury Seismic Instruments,CUSP-Me,3De-20792e,15542,
Canterbury Seismic Instruments,CUSP-Me,3De-20793e,15543,
Canterbury Seismic Instruments,CUSP-Me,3De-20794e,15544,
Canterbury Seismic Instruments,CUSP-Me,3De-20795e,15545,
Canterbury Seismic Instruments,CUSP-Me,3De-20796e,15546,
Canterbury Seismic Instruments,CUSP-Me,3De-20797e,15547,
Canterbury Seismic Instruments,CUSP-Me,3De-20798e,15548,
Canterbury Seismic Instruments,CUSP-Me,3De-20799e,15549,
Canterbury Seismic Instruments,CUSP-Me,3De-20800e,15673,
Canterbury Seismic Instruments,CUSP-Me,3De-20801e,15674,
Canterbury Seismic Instruments,CUSP-Me,3De-20802e,15675,
Canterbury Seismic Instruments,CUSP-Me,3De-20803e,15676,
Canterbury Seismic Instruments,CUSP-Me,3De-20804e,15677,
Canterbury Seismic Instruments,CUSP-Me,3De-20805e,15678,
Canterbury Seismic Instruments,CUSP-Me,3De-20806e,15679,
Canterbury Seismic Instruments,CUSP-Me,3De-20807e,15705,
Canterbury Seismic Instruments,CUSP-Me,3De-20808e,15706,
Canterbury Seismic Instruments,CUSP-Me,3De-20809e,15707,
Canterbury Seismic Instruments,CUSP-Me,3De-20810e,15708,
Canterbury Seismic Instruments,CUSP-Me,3De-20811e,15709,
Canterbury Seismic Instruments,CUSP-Me,3De-20812e,15710,
Canterbury Seismic Instruments,CUSP-Me,3De-20813e,15711,
Canterbury Seismic Instruments,CUSP-Me,3De-20814e,15712,
Canterbury Seismic Instruments,CUSP-Me,3De-20815e,15713,
Canterbury Seismic Instruments,CUSP-Me,3De-20816e,15714,
Canterbury Seismic Instruments,CUSP-Me,3De-20817e,15715,
Canterbury Seismic Instruments,CUSP-Me,3De-20818e,15716,
Canterbury Seismic Instruments,CUSP-Me,3De-20819e,15717,
Canterbury Seismic Instruments,CUSP-Me,3De-20820e,15718,
Canterbury Seismic Instruments,CUSP-Me,3De-20821e,15719,
Canterbury Seismic Instruments,CUSP-Me,3De-20822e,15654,
Canterbury Seismic Instruments,CUSP-Me,3De-20823e,,
Canterbury Seismic Instruments,CUSP-Me,3De-20824e,15501,
Canterbury Seismic Instruments,CUSP-Me,3De-20825e,15550,
Canterbury Seismic Instruments,CUSP-Me,3De-20826e,15656,
Canterbury Seismic Instruments,CUSP-Me,3De-20827e,15657,
Canterbury Seismic Instruments,CUSP-Me,3De-20828e,15658,
Canterbury Seismic Instruments,CUSP-Me,3De-20829e,15659,
Canterbury Seismic Instruments,CUSP-Me,3De-20830e,15660,
Canterbury Seismic Instruments,CUSP-Me,3De-20831e,15551,
Canterbury Seismic Instruments,CUSP-Me,3De-20832e,15552,
Canterbury Seismic Instruments,CUSP-Me,3De-20833e,15661,
