Make,Model,Serial,Number,Notes
Applied Geomechanics Inc,D711-A Platform Tiltmeter,9192,14107,
Applied Geomechanics Inc,Lily tiltmeter,9259,14125,
Applied Geomechanics Inc,Lily tiltmeter,9654,14913,
Applied Geomechanics Inc,Lily tiltmeter,N7935,13322,
Applied Geomechanics Inc,Lily tiltmeter,N8994,13893,
Benioff,BENIOFF,AFI_1,,
Benioff,BENIOFF,KRP_004,,
Benioff,BENIOFF,WEL_1,,
Benioff,BENIOFF-3D,KRP_1,,
Benioff,BENIOFF-3D,SBA_1,,
Benioff,BENIOFF-3D,WEL_001,,
Benioff,BENIOFF-3D,WEL_202,,
Benioff,BENIOFF-3D,WEL_WLN,,
Benioff,BENIOFF-3D-LP,SBA_1,,
Boise State University,InfraBSU microphone,0124,14974,
Boise State University,InfraBSU microphone,0126,14979,
Boise State University,InfraBSU microphone,0137,14970,
Boise State University,InfraBSU microphone,0138,14972,
Boise State University,InfraBSU microphone,0147,14975,
Boise State University,InfraBSU microphone,0148,14971,
Boise State University,InfraBSU microphone,0149,14980,
Boise State University,InfraBSU microphone,0150,14978,
Boise State University,InfraBSU microphone,0151,14976,
Boise State University,InfraBSU microphone,0154,14969,
Boise State University,InfraBSU microphone,0157,14977,
Boise State University,InfraBSU microphone,0160,14973,
Campbell Scientific,Pulse radar water-level sensor CS475A,001,,
Campbell Scientific,Titanium pressure transducer CS456,70010135,,
Campbell Scientific,Titanium pressure transducer CS456,70010240,,
Duke University,2 Hz Duke Malin Seismometer,001,,
Duke University,2 Hz Duke Malin Seismometer,110,13272,
Duke University,2 Hz Duke Malin Seismometer,301,13820,
Duke University,2 Hz Duke Malin Seismometer,498,,
Duke University,2 Hz Duke Malin Seismometer,501,13892,
Duke University,2 Hz Duke Malin Seismometer,502,13891,
Duke University,2 Hz Duke Malin Seismometer,503,14108,
Duke University,2 Hz Duke Malin Seismometer,551,14905,
Duke University,2 Hz Duke Malin Seismometer,599,14918,
Duke University,2 Hz Duke Malin Seismometer,600,14919,
Duke University,2 Hz Duke Malin Seismometer,650,14964,
Duke University,2 Hz Duke Malin Seismometer,999991,,
Duke University,2 Hz Duke Malin Seismometer,GC2,,
Duke University,2 Hz Duke Malin Seismometer,MONT006,13271,
Duke University,2 Hz Duke Malin Seismometer,RMS-1,,
Duke University,4.5 Hz Duke Malin Seismometer,601,,
G. Streckeisen AG,STS-2,110017,9453,
G. Streckeisen AG,STS-2,110018,9357,
G. Streckeisen AG,STS-2,110019,9455,
G. Streckeisen AG,STS-2,110038,9454,
G. Streckeisen AG,STS-2,120955,13975,
G. Streckeisen AG,STS-2,30201,9210,
G. Streckeisen AG,STS-2,30202,9208,
G. Streckeisen AG,STS-2,30203,9207,
G. Streckeisen AG,STS-2,30204,9209,
G. Streckeisen AG,STS-2,60732,12994,
G. Streckeisen AG,STS-2,TMP_384,,
GNS Science (Wairakei),Temperature sensor (K-type),Inferno OF1,,
GNS Science (Wairakei),Temperature sensor (K-type),Inferno1,,
GNS Science (Wairakei),Temperature sensor (K-type),TC20121206,,
General Electric Industrial Sensing,Druck PDCR-1830,2427881,,
General Electric Industrial Sensing,Druck PTX-1730,3456634,15096,
General Electric Industrial Sensing,Druck PTX-1730,3456635,15095,
General Electric Industrial Sensing,Druck PTX-1730,3632400,15097,
General Electric Industrial Sensing,Druck PTX-1730,3632401,15098,
General Electric Industrial Sensing,Druck PTX-1830,10220190,,
General Electric Industrial Sensing,Druck PTX-1830,10236611,,
General Electric Industrial Sensing,Druck PTX-1830,10236612,16845,
General Electric Industrial Sensing,Druck PTX-1830,10236613,,
General Electric Industrial Sensing,Druck PTX-1830,10236615,,
General Electric Industrial Sensing,Druck PTX-1830,10236617,,
General Electric Industrial Sensing,Druck PTX-1830,10515689,,
General Electric Industrial Sensing,Druck PTX-1830,10515690,,
General Electric Industrial Sensing,Druck PTX-1830,10837198,,
General Electric Industrial Sensing,Druck PTX-1830,10837199,,
General Electric Industrial Sensing,Druck PTX-1830,10895482,,
General Electric Industrial Sensing,Druck PTX-1830,10895483,,
General Electric Industrial Sensing,Druck PTX-1830,10986036,,
General Electric Industrial Sensing,Druck PTX-1830,10986037,,
General Electric Industrial Sensing,Druck PTX-1830,10986040,,
General Electric Industrial Sensing,Druck PTX-1830,10986041,,
General Electric Industrial Sensing,Druck PTX-1830,10986042,,
General Electric Industrial Sensing,Druck PTX-1830,10986043,,
General Electric Industrial Sensing,Druck PTX-1830,11110767,,
General Electric Industrial Sensing,Druck PTX-1830,11450765,,
General Electric Industrial Sensing,Druck PTX-1830,11450766,,
General Electric Industrial Sensing,Druck PTX-1830,11450768,,
General Electric Industrial Sensing,Druck PTX-1830,11847697,,
General Electric Industrial Sensing,Druck PTX-1830,11847698,,
General Electric Industrial Sensing,Druck PTX-1830,2504328,,
General Electric Industrial Sensing,Druck PTX-1830,2574749,,
General Electric Industrial Sensing,Druck PTX-1830,2574760,,
General Electric Industrial Sensing,Druck PTX-1830,2574761,,
General Electric Industrial Sensing,Druck PTX-1830,2574764,,
General Electric Industrial Sensing,Druck PTX-1830,2645534,,
General Electric Industrial Sensing,Druck PTX-1830,2645535,,
General Electric Industrial Sensing,Druck PTX-1830,2648990,,
General Electric Industrial Sensing,Druck PTX-1830,2648993,,
General Electric Industrial Sensing,Druck PTX-1830,2648994,,
General Electric Industrial Sensing,Druck PTX-1830,2681503,,
General Electric Industrial Sensing,Druck PTX-1830,2681518,,
General Electric Industrial Sensing,Druck PTX-1830,2683728,,
General Electric Industrial Sensing,Druck PTX-1830,2686075,,
General Electric Industrial Sensing,Druck PTX-1830,2712264,,
General Electric Industrial Sensing,Druck PTX-1830,2722283,,
General Electric Industrial Sensing,Druck PTX-1830,2722286,,
General Electric Industrial Sensing,Druck PTX-1830,2742173,,
General Electric Industrial Sensing,Druck PTX-1830,2933712,,
General Electric Industrial Sensing,Druck PTX-1830,2933713,,
General Electric Industrial Sensing,Druck PTX-1830,2933716,,
General Electric Industrial Sensing,Druck PTX-1830,2933717,,
General Electric Industrial Sensing,Druck PTX-1830,2933719,,
General Electric Industrial Sensing,Druck PTX-1830,2933720,,
General Electric Industrial Sensing,Druck PTX-1830,2945426,,
General Electric Industrial Sensing,Druck PTX-1830,2945427,,
General Electric Industrial Sensing,Druck PTX-1830,2954239,,
General Electric Industrial Sensing,Druck PTX-1830,3022170,,
General Electric Industrial Sensing,Druck PTX-1830,3022171,,
General Electric Industrial Sensing,Druck PTX-1830,3028740,,
General Electric Industrial Sensing,Druck PTX-1830,3028741,,
General Electric Industrial Sensing,Druck PTX-1830,3047397,,
General Electric Industrial Sensing,Druck PTX-1830,3047398,,
General Electric Industrial Sensing,Druck PTX-1830,3116044,,
General Electric Industrial Sensing,Druck PTX-1830,3121351,,
General Electric Industrial Sensing,Druck PTX-1830,3121352,,
General Electric Industrial Sensing,Druck PTX-1830,3126134,,
General Electric Industrial Sensing,Druck PTX-1830,3126136,,
General Electric Industrial Sensing,Druck PTX-1830,3126137,,
General Electric Industrial Sensing,Druck PTX-1830,3133806,,
General Electric Industrial Sensing,Druck PTX-1830,3133809,,
General Electric Industrial Sensing,Druck PTX-1830,3133814,,
General Electric Industrial Sensing,Druck PTX-1830,3133818,,
General Electric Industrial Sensing,Druck PTX-1830,3133822,,
General Electric Industrial Sensing,Druck PTX-1830,3133823,,
General Electric Industrial Sensing,Druck PTX-1830,3133827,,
General Electric Industrial Sensing,Druck PTX-1830,3136132,,
General Electric Industrial Sensing,Druck PTX-1830,3136137,,
General Electric Industrial Sensing,Druck PTX-1830,3136140,,
General Electric Industrial Sensing,Druck PTX-1830,3140384,,
General Electric Industrial Sensing,Druck PTX-1830,3150034,,
General Electric Industrial Sensing,Druck PTX-1830,3150035,,
General Electric Industrial Sensing,Druck PTX-1830,3150040,,
General Electric Industrial Sensing,Druck PTX-1830,3150041,,
General Electric Industrial Sensing,Druck PTX-1830,3292452,15075,
General Electric Industrial Sensing,Druck PTX-1830,3292453,15074,
General Electric Industrial Sensing,Druck PTX-1830,3292459,15117,
General Electric Industrial Sensing,Druck PTX-1830,3501234,,
General Electric Industrial Sensing,Druck PTX-1830,3501237,,
General Electric Industrial Sensing,Druck PTX-1830,3501251,,
General Electric Industrial Sensing,Druck PTX-1830,3511015,,
General Electric Industrial Sensing,Druck PTX-1830,3511019,,
General Electric Industrial Sensing,Druck PTX-1830,3511021,,
General Electric Industrial Sensing,Druck PTX-1830,3511023,,
General Electric Industrial Sensing,Druck PTX-1830,3511025,,
General Electric Industrial Sensing,Druck PTX-1830,3554661,,
General Electric Industrial Sensing,Druck PTX-1830,3562509,,
General Electric Industrial Sensing,Druck PTX-1830,3562510,,
General Electric Industrial Sensing,Druck PTX-1830,3562511,,
General Electric Industrial Sensing,Druck PTX-1830,3562512,,
General Electric Industrial Sensing,Druck PTX-1830,3562513,,
General Electric Industrial Sensing,Druck PTX-1830,3964175,,
General Electric Industrial Sensing,Druck PTX-1830,3964177,,
General Electric Industrial Sensing,Druck PTX-1830,3964178,,
General Electric Industrial Sensing,Druck PTX-1830,3964183,16846,
General Electric Industrial Sensing,Druck PTX-1830,3964188,,
General Electric Industrial Sensing,Druck PTX-1830-LAND,2722283,,
General Electric Industrial Sensing,Druck PTX-1830-LAND,3133823,,
General Electric Industrial Sensing,Druck PTX-1830-LAND,2722283L,,
General Electric Industrial Sensing,Druck PTX-1830-LAND,2933712L,,
General Electric Industrial Sensing,Druck PTX-1830-LAND,2933716L,,
General Electric Industrial Sensing,Druck PTX-1830,10895481,,
General Electric Industrial Sensing,Druck PTX-1830,10895484,,
General Electric Industrial Sensing,Druck PTX-1830,11777121,,
General Electric Industrial Sensing,Druck PTX-1830,11777122,,
General Electric Industrial Sensing,Druck PTX-1830,11847701,,
General Electric Industrial Sensing,Druck PTX-1830,11847702,,
Geospace Technologies Corporation,GS-11D seismometer,001,,
Geospace Technologies Corporation,GS-11D seismometer,002,,
Geospace Technologies Corporation,GS-11D seismometer,003,,
Geospace Technologies Corporation,GS-11D seismometer,004,,
Geospace Technologies Corporation,GS-11D seismometer,130738-001,,
Geospace Technologies Corporation,GS-11D seismometer,130738-003,,
Geospace Technologies Corporation,GS-11D seismometer,167522-001,,
Geospace Technologies Corporation,GS-11D seismometer,167522-002,,
Geospace Technologies Corporation,GS-11D seismometer,167522-003,,
Geospace Technologies Corporation,GS-11D seismometer,167522-004,,
Geospace Technologies Corporation,GS-11D seismometer,167522-005,,
Geospace Technologies Corporation,GS-11D seismometer,17757001,,
Geospace Technologies Corporation,GS-11D seismometer,17757002,,
Geospace Technologies Corporation,GS-11D seismometer,17757003,,
Geospace Technologies Corporation,GS-11D seismometer,17757004,,
Geospace Technologies Corporation,GS-11D seismometer,17757005,,
Geospace Technologies Corporation,GS-11D seismometer,17757006,,
Geospace Technologies Corporation,GS-11D seismometer,17757007,,
Geospace Technologies Corporation,GS-11D seismometer,17757008,,
Geospace Technologies Corporation,GS-11D seismometer,17757009,,
Geospace Technologies Corporation,GS-11D seismometer,17757010,,
Geospace Technologies Corporation,GS-11D seismometer,186859-01,,
Geospace Technologies Corporation,GS-11D seismometer,186859-02,,
Geospace Technologies Corporation,GS-11D seismometer,186859-03,,
Geospace Technologies Corporation,GS-11D seismometer,186859-04,,
Geospace Technologies Corporation,GS-11D seismometer,186859-05,,
Geospace Technologies Corporation,GS-11D seismometer,186859-06,,
Geospace Technologies Corporation,GS-11D seismometer,186859-07,,
Geospace Technologies Corporation,GS-11D seismometer,186859-08,,
Geospace Technologies Corporation,GS-11D seismometer,186859-09,,
Geospace Technologies Corporation,GS-11D seismometer,195380-01,,
Geospace Technologies Corporation,GS-11D seismometer,195380-02,,
Geospace Technologies Corporation,GS-11D seismometer,195380-03,,
Geospace Technologies Corporation,GS-11D seismometer,195380-04,,
Geospace Technologies Corporation,GS-11D seismometer,195380-05,,
Geospace Technologies Corporation,GS-11D seismometer,195380-06,,
Geospace Technologies Corporation,GS-11D seismometer,195380-07,,
Geospace Technologies Corporation,GS-11D seismometer,195380-08,,
Geospace Technologies Corporation,GS-11D seismometer,195380-09,,
Geospace Technologies Corporation,GS-11D seismometer,195380-10,,
Geospace Technologies Corporation,GS-11D seismometer,MRP 014,,Double entry for MRP 14
Geospace Technologies Corporation,GS-11D seismometer,MRP 015,,
Geospace Technologies Corporation,GS-11D seismometer,MRP 016,,
Geospace Technologies Corporation,GS-11D seismometer,MRP001,,
Geospace Technologies Corporation,GS-11D seismometer,MRP002,,
Geospace Technologies Corporation,GS-11D seismometer,MRP003,,
Geospace Technologies Corporation,GS-11D seismometer,MRP004,,
Geospace Technologies Corporation,GS-11D seismometer,MRP005,,
Geospace Technologies Corporation,GS-11D seismometer,MRP006,,
Geospace Technologies Corporation,GS-11D seismometer,MRP007,,
Geospace Technologies Corporation,GS-11D seismometer,MRP008,,
Geospace Technologies Corporation,GS-11D seismometer,MRP009,,
Geospace Technologies Corporation,GS-11D seismometer,MRP010,,
