Station,Location,Place,Role,Number,Start Date,End Date
AUCT,40,Devonport Naval Base,,0,2009-03-26T00:00:00Z,9999-01-01T00:00:00Z
AUCT,41,Devonport Naval Base,,1,2009-03-26T00:00:00Z,9999-01-01T00:00:00Z
CHIT,40,Owenga,,0,2007-12-16T00:00:00Z,9999-01-01T00:00:00Z
CHIT,41,Owenga,,1,2007-12-16T00:00:00Z,9999-01-01T00:00:00Z
CHST,40,Charleston Constant Bay,,0,2015-06-25T00:00:00Z,9999-01-01T00:00:00Z
CHST,41,Charleston Constant Bay,,1,2015-06-25T00:00:00Z,9999-01-01T00:00:00Z
CPIT,40,Castlepoint,,0,2009-09-16T00:00:00Z,9999-01-01T00:00:00Z
CPIT,41,Castlepoint,,1,2009-09-16T00:00:00Z,9999-01-01T00:00:00Z
GBIT,40,Korotiti Bay,,0,2010-07-26T00:00:00Z,9999-01-01T00:00:00Z
GBIT,41,Korotiti Bay,,1,2010-07-26T00:00:00Z,9999-01-01T00:00:00Z
GIST,40,Eastland Port,,0,2008-03-10T00:00:00Z,9999-01-01T00:00:00Z
GIST,41,Eastland Port,,1,2008-03-10T00:00:00Z,9999-01-01T00:00:00Z
KAIT,40,Kaikoura North Wharf,,0,2010-05-27T00:00:00Z,9999-01-01T00:00:00Z
KAIT,41,Kaikoura North Wharf,,1,2010-05-27T00:00:00Z,9999-01-01T00:00:00Z
LOTT,40,Lottin Point,,0,2008-10-10T00:00:00Z,9999-01-01T00:00:00Z
LOTT,41,Lottin Point,,1,2008-10-10T00:00:00Z,9999-01-01T00:00:00Z
MNKT,40,Whatipu,,0,2010-07-15T00:00:00Z,9999-01-01T00:00:00Z
MNKT,41,Whatipu,,1,2010-07-15T00:00:00Z,9999-01-01T00:00:00Z
NAPT,40,Port of Napier,,0,2007-09-26T00:00:00Z,9999-01-01T00:00:00Z
NAPT,41,Port of Napier,,1,2007-09-26T00:00:00Z,9999-01-01T00:00:00Z
NBRT,40,New Brighton Pier,,0,2021-05-14T02:07:00Z,9999-01-01T00:00:00Z
NBRT,41,New Brighton Pier,,1,2021-05-14T02:07:00Z,9999-01-01T00:00:00Z
NCPT,40,North Cape,,0,2008-12-23T00:00:00Z,9999-01-01T00:00:00Z
NCPT,41,North Cape,,1,2008-12-23T00:00:00Z,9999-01-01T00:00:00Z
OTAT,40,Dunedin Tsunami,,0,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
OTAT,41,Dunedin Tsunami,,1,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
PUYT,40,Puysegur Welcome Bay,,0,2009-11-28T00:00:00Z,9999-01-01T00:00:00Z
PUYT,41,Puysegur Welcome Bay,,1,2009-11-28T00:00:00Z,9999-01-01T00:00:00Z
RBCT,40,Raoul Island Boat Cove,,0,2009-05-18T00:00:00Z,9999-01-01T00:00:00Z
RBCT,41,Raoul Island Boat Cove,,1,2009-05-18T00:00:00Z,9999-01-01T00:00:00Z
RFRT,40,Raoul Island Fishing Rock,,0,2009-05-18T00:00:00Z,9999-01-01T00:00:00Z
RFRT,41,Raoul Island Fishing Rock,,1,2009-05-18T00:00:00Z,9999-01-01T00:00:00Z
SUMT,40,Sumner Head,,0,2010-08-11T00:00:00Z,2022-03-31T20:00:00Z
SUMT,41,Sumner Head,,1,2010-08-11T00:00:00Z,2022-03-31T20:00:00Z
TAUT,40,Port of Tauranga,,0,2008-05-21T00:00:00Z,9999-01-01T00:00:00Z
TAUT,41,Port of Tauranga,,1,2008-05-21T00:00:00Z,9999-01-01T00:00:00Z
WLGT,40,Queen's Wharf Shed 1,,0,2007-03-06T00:00:00Z,9999-01-01T00:00:00Z
WLGT,41,Queen's Wharf Shed 1,,1,2007-03-06T00:00:00Z,9999-01-01T00:00:00Z
