Make,Model,Serial,Place,Role,Start Date,End Date
Kinemetrics,Q330/3,2551,Castlepoint Station,,2009-07-07T00:00:01Z,2023-02-09T23:53:00Z
Kinemetrics,Q330/3,2555,Castlepoint,,2009-09-08T00:00:01Z,2021-07-26T08:15:00Z
Nanometrics,Centaur CTR4-6S,7980,Castlepoint,,2021-11-23T02:15:00Z,9999-01-01T00:00:00Z
Nanometrics,Centaur CTR4-6S,8748,Castlepoint Station,,2023-02-10T02:04:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330S/3,5167,Charleston Constant Bay,,2015-06-25T00:00:01Z,2021-12-15T07:39:00Z
Nanometrics,Centaur CTR4-6S,8749,Charleston Constant Bay,,2021-12-15T08:29:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2610,Devonport Naval Base,,2009-03-26T14:10:02Z,2021-10-17T20:46:00Z
Nanometrics,Centaur CTR4-6S,8747,Devonport Naval Base,,2021-10-17T21:48:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2563,Dunedin Tsunami,,2010-02-25T01:00:01Z,2021-05-25T23:43:00Z
Nanometrics,Centaur CTR4-6S,7972,Dunedin Tsunami,,2021-05-26T02:19:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,1181,Eastland Port,,2008-02-13T00:00:01Z,2021-05-11T23:10:00Z
Nanometrics,Centaur CTR4-6S,7985,Eastland Port,,2021-05-11T23:55:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2546,Kaikoura North Wharf,,2010-05-27T01:00:01Z,2021-11-02T01:29:00Z
Nanometrics,Centaur CTR4-6S,8746,Kaikoura North Wharf,,2021-11-02T02:57:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2564,Korotiti Bay,,2010-05-09T00:00:01Z,2017-12-12T02:44:00Z
Kinemetrics,Q330S/6,6068,Korotiti Bay,,2017-12-12T02:45:00Z,2021-11-04T23:03:00Z
Nanometrics,Centaur CTR4-6S,8752,Korotiti Bay,,2021-11-08T19:53:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2328,Lottin Point,,2008-10-03T06:00:01Z,2021-07-15T20:03:00Z
Nanometrics,Centaur CTR4-6S,8001,Lottin Point,,2021-07-15T22:18:00Z,9999-01-01T00:00:00Z
Nanometrics,Centaur CTR4-6S,7977,New Brighton Pier,,2021-05-14T02:07:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2554,North Cape,,2008-12-10T06:10:01Z,2011-09-23T01:00:00Z
Kinemetrics,Q330/3,550,North Cape,,2011-09-23T01:00:01Z,2014-01-22T22:00:00Z
Kinemetrics,Q330S/3,5158,North Cape,,2014-01-23T00:00:01Z,2020-01-15T03:00:00Z
Kinemetrics,Q330S/3,5175,North Cape,,2020-01-15T03:50:00Z,2023-05-31T22:22:00Z
Nanometrics,Centaur CTR4-6S,10173,North Cape,,2023-06-01T21:01:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2232,Owenga,,2007-12-15T12:00:01Z,2021-11-24T19:30:00Z
Nanometrics,Centaur CTR4-6S,7970,Owenga,,2021-11-24T21:30:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,938,Port of Napier,,2007-09-11T12:00:01Z,2021-06-02T01:45:00Z
Nanometrics,Centaur CTR4-6S,7934,Port of Napier,,2021-06-02T04:55:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2366,Port of Tauranga,,2008-05-21T02:00:01Z,2016-05-10T23:30:00Z
Kinemetrics,Q330S/3,5616,Port of Tauranga,,2016-05-10T23:30:01Z,2016-05-10T23:31:00Z
Kinemetrics,Q330S/3,5719,Port of Tauranga,,2016-05-10T23:31:01Z,2019-12-04T10:52:00Z
