Make,Model,Serial,Station,Location,Azimuth,Method,Dip,Depth,North,East,Scale Factor,Scale Bias,Start Date,End Date
General Electric,Druck PDCR-1830,2427881,WLGT,41,0,,90,0,0,0,1.03,0,2007-03-06T00:00:02Z,2007-05-22T23:30:00Z
General Electric,Druck PTX-1830,10220190,GBIT,40,0,,0,0,0,0,1.03,0,2017-12-12T02:45:00Z,2020-06-05T22:00:00Z
General Electric,Druck PTX-1830,10236611,OTAT,40,0,,90,7.96,0,0,1.03,0,2019-09-30T02:20:00Z,2021-05-25T23:43:00Z
General Electric,Druck PTX-1830,10236613,NAPT,40,0,,90,5.969,0,0,1.03,0,2018-04-10T04:40:00Z,9999-01-01T00:00:00Z
General Electric,Druck PTX-1830,10236615,CPIT,40,0,,90,0,0,0,1.03,0,2017-05-10T02:25:21Z,2021-07-26T08:15:00Z
General Electric,Druck PTX-1830,10236617,NAPT,41,0,,90,5.969,0,0,1.03,0,2018-04-10T04:40:00Z,9999-01-01T00:00:00Z
General Electric,Druck PTX-1830,10515689,GBIT,41,0,,0,0,0,0,1.03,0,2017-12-12T02:45:00Z,2020-06-05T22:00:00Z
General Electric,Druck PTX-1830,10515690,CPIT,41,0,,90,0,0,0,1.03,0,2017-05-10T02:25:21Z,2021-07-26T08:15:00Z
General Electric,Druck PTX-1830,10837198,LOTT,40,0,,0,0,0,0,1.03,0,2018-03-28T02:20:00Z,9999-01-01T00:00:00Z
General Electric,Druck PTX-1830,10837199,LOTT,41,0,,0,0,0,0,1.03,0,2018-03-28T02:20:00Z,9999-01-01T00:00:00Z
General Electric,Druck PTX-1830,10895481,MNKT,40,0,,0,0,0,0,1.03,0,2018-10-03T23:40:00Z,2021-03-09T08:30:00Z
General Electric,Druck PTX-1830,10895482,RBCT,40,0,,0,0,0,0,1.03,0,2018-03-05T03:00:00Z,2022-05-25T01:27:05Z
General Electric,Druck PTX-1830,10895483,RBCT,41,0,,0,0,0,0,1.03,0,2018-03-05T03:00:00Z,2022-05-25T01:27:05Z
General Electric,Druck PTX-1830,10895484,MNKT,41,0,,0,0,0,0,1.03,0,2018-10-03T23:40:00Z,2021-03-09T08:30:00Z
General Electric,Druck PTX-1830,10986036,GBIT,40,0,,0,0,0,0,1.03,0,2020-06-07T05:18:00Z,2023-05-15T20:45:00Z
General Electric,Druck PTX-1830,10986037,GBIT,41,0,,0,0,0,0,1.03,0,2020-06-07T05:18:00Z,2023-05-15T20:45:00Z
General Electric,Druck PTX-1830,10986040,NCPT,41,0,,0,0,0,0,1.03,0,2018-07-19T00:15:00Z,2020-11-17T20:59:00Z
General Electric,Druck PTX-1830,10986041,NCPT,40,0,,0,0,0,0,1.03,0,2018-07-19T00:15:00Z,2020-11-17T20:59:00Z
General Electric,Druck PTX-1830,10986042,OTAT,41,0,,90,7.96,0,0,1.03,0,2019-09-30T02:20:00Z,2021-05-25T23:43:00Z
General Electric,Druck PTX-1830,10986043,NBRT,41,0,,90,0,0,0,1.03,0,2021-05-14T02:07:00Z,9999-01-01T00:00:00Z
General Electric,Druck PTX-1830,11110767,PUYT,40,0,,0,0,0,0,1.03,0,2019-02-20T06:20:00Z,9999-01-01T00:00:00Z
General Electric,Druck PTX-1830,11450759,CPIT,41,0,,90,0,0,0,1.03,0,2021-11-23T02:15:00Z,9999-01-01T00:00:00Z
General Electric,Druck PTX-1830,11450760,CPIT,40,0,,90,0,0,0,1.03,0,2021-11-23T02:15:00Z,9999-01-01T00:00:00Z
General Electric,Druck PTX-1830,11450765,NBRT,40,0,,90,0,0,0,1.03,0,2021-05-14T02:07:00Z,9999-01-01T00:00:00Z
General Electric,Druck PTX-1830,11450766,TAUT,40,0,,90,0,0,0,1.03,0,2020-05-22T05:45:00Z,9999-01-01T00:00:00Z
General Electric,Druck PTX-1830,11450768,TAUT,41,0,,90,0,0,0,1.03,0,2020-05-22T05:45:00Z,9999-01-01T00:00:00Z
General Electric,Druck PTX-1830,11768737,RFRT,40,0,,0,0,0,0,1.03,0,2021-10-22T01:57:00Z,2022-01-16T20:33:31Z
General Electric,Druck PTX-1830,11777121,NCPT,40,0,,0,0,0,0,1.03,0,2020-11-19T00:40:00Z,9999-01-01T00:00:00Z
General Electric,Druck PTX-1830,11777122,NCPT,41,0,,0,0,0,0,1.03,0,2020-11-19T00:40:00Z,9999-01-01T00:00:00Z
General Electric,Druck PTX-1830,11847697,OTAT,41,0,,90,7.96,0,0,1.03,0,2021-05-26T02:19:00Z,9999-01-01T00:00:00Z
General Electric,Druck PTX-1830,11847698,OTAT,40,0,,90,7.96,0,0,1.03,0,2021-05-26T02:19:00Z,9999-01-01T00:00:00Z
