Station,Location,Band,Source,Sampling Rate,Axial,Triggered,Start Date,End Date
AUCT,40,V,T,0.1,false,false,2009-03-26T00:00:00Z,2021-10-17T20:46:00Z
AUCT,40,L,T,1,false,false,2009-03-26T00:00:00Z,9999-01-01T00:00:00Z
AUCT,40,B,T,10,false,false,2009-03-26T00:00:00Z,9999-01-01T00:00:00Z
AUCT,41,V,T,0.1,false,false,2009-03-26T00:00:00Z,2021-10-17T20:46:00Z
AUCT,41,L,T,1,false,false,2009-03-26T00:00:00Z,9999-01-01T00:00:00Z
AUCT,41,B,T,10,false,false,2009-03-26T00:00:00Z,9999-01-01T00:00:00Z
CHIT,40,L,T,1,false,false,2007-12-16T00:00:00Z,9999-01-01T00:00:00Z
CHIT,40,B,T,10,false,false,2007-12-16T00:00:00Z,9999-01-01T00:00:00Z
CHIT,41,L,T,1,false,false,2007-12-16T00:00:00Z,9999-01-01T00:00:00Z
CHIT,41,B,T,10,false,false,2007-12-16T00:00:00Z,9999-01-01T00:00:00Z
CHST,40,L,T,1,false,false,2015-06-25T00:00:00Z,9999-01-01T00:00:00Z
CHST,40,B,T,10,false,false,2015-06-25T00:00:00Z,9999-01-01T00:00:00Z
CHST,41,L,T,1,false,false,2015-06-25T00:00:00Z,9999-01-01T00:00:00Z
CHST,41,B,T,10,false,false,2015-06-25T00:00:00Z,9999-01-01T00:00:00Z
CPIT,40,L,T,1,false,false,2009-09-16T00:00:00Z,9999-01-01T00:00:00Z
CPIT,40,B,T,10,false,false,2009-09-16T00:00:00Z,9999-01-01T00:00:00Z
CPIT,41,L,T,1,false,false,2009-09-16T00:00:00Z,9999-01-01T00:00:00Z
CPIT,41,B,T,10,false,false,2009-09-16T00:00:00Z,9999-01-01T00:00:00Z
FWVZ,10,B,H,40,false,false,1999-05-11T00:00:00Z,2004-09-12T23:00:30Z
FWVZ,30,B,D,40,false,false,2001-07-05T01:30:00Z,2004-09-12T23:00:30Z
GBIH,41,H,D,200,false,false,2007-06-12T00:00:00Z,9999-01-01T00:00:00Z
GBIT,40,L,T,1,false,false,2010-07-26T00:00:00Z,9999-01-01T00:00:00Z
GBIT,40,B,T,10,false,false,2010-07-26T00:00:00Z,9999-01-01T00:00:00Z
GBIT,41,L,T,1,false,false,2010-07-26T00:00:00Z,9999-01-01T00:00:00Z
GBIT,41,B,T,10,false,false,2010-07-26T00:00:00Z,9999-01-01T00:00:00Z
GIST,40,L,T,1,false,false,2008-03-10T00:00:00Z,9999-01-01T00:00:00Z
GIST,40,B,T,10,false,false,2008-03-10T00:00:00Z,9999-01-01T00:00:00Z
GIST,41,L,T,1,false,false,2008-03-10T00:00:00Z,9999-01-01T00:00:00Z
GIST,41,B,T,10,false,false,2008-03-10T00:00:00Z,9999-01-01T00:00:00Z
GLKZ,40,L,T,1,false,false,2009-05-19T00:00:00Z,2023-01-30T20:17:21Z
GLKZ,40,B,T,10,false,false,2009-05-19T00:00:00Z,2023-01-30T20:17:32Z
HRMT,40,L,T,1,false,false,2022-12-22T00:31:15Z,9999-01-01T00:00:00Z
HRMT,40,B,T,10,false,false,2022-12-22T00:31:15Z,9999-01-01T00:00:00Z
INFR,41,,,1,false,false,2013-05-21T00:10:00Z,9999-01-01T00:00:00Z
KAIT,40,L,T,1,false,false,2010-05-27T00:00:00Z,9999-01-01T00:00:00Z
KAIT,40,B,T,10,false,false,2010-05-27T00:00:00Z,9999-01-01T00:00:00Z
KAIT,41,L,T,1,false,false,2010-05-27T00:00:00Z,9999-01-01T00:00:00Z
KAIT,41,B,T,10,false,false,2010-05-27T00:00:00Z,9999-01-01T00:00:00Z
LOTT,40,L,T,1,false,false,2008-10-10T00:00:00Z,9999-01-01T00:00:00Z
LOTT,40,B,T,10,false,false,2008-10-10T00:00:00Z,9999-01-01T00:00:00Z
LOTT,41,L,T,1,false,false,2008-10-10T00:00:00Z,9999-01-01T00:00:00Z
LOTT,41,B,T,10,false,false,2008-10-10T00:00:00Z,9999-01-01T00:00:00Z
MNKT,40,L,T,1,false,false,2010-07-15T00:00:00Z,9999-01-01T00:00:00Z
MNKT,40,B,T,10,false,false,2010-07-15T00:00:00Z,9999-01-01T00:00:00Z
MNKT,41,L,T,1,false,false,2010-07-15T00:00:00Z,9999-01-01T00:00:00Z
MNKT,41,B,T,10,false,false,2010-07-15T00:00:00Z,9999-01-01T00:00:00Z
NAPT,40,L,T,1,false,false,2007-09-26T00:00:00Z,9999-01-01T00:00:00Z
NAPT,40,B,T,10,false,false,2007-09-26T00:00:00Z,9999-01-01T00:00:00Z
NAPT,41,L,T,1,false,false,2007-09-26T00:00:00Z,9999-01-01T00:00:00Z
NAPT,41,B,T,10,false,false,2007-09-26T00:00:00Z,9999-01-01T00:00:00Z
NBRT,40,L,T,1,false,false,2021-05-14T02:07:00Z,9999-01-01T00:00:00Z
NBRT,40,B,T,10,false,false,2021-05-14T02:07:00Z,9999-01-01T00:00:00Z
NBRT,41,L,T,1,false,false,2021-05-14T02:07:00Z,9999-01-01T00:00:00Z
NBRT,41,B,T,10,false,false,2021-05-14T02:07:00Z,9999-01-01T00:00:00Z
NCPT,40,L,T,1,false,false,2008-12-23T00:00:00Z,9999-01-01T00:00:00Z
NCPT,40,B,T,10,false,false,2008-12-23T00:00:00Z,9999-01-01T00:00:00Z
NCPT,41,L,T,1,false,false,2008-12-23T00:00:00Z,9999-01-01T00:00:00Z
NCPT,41,B,T,10,false,false,2008-12-23T00:00:00Z,9999-01-01T00:00:00Z
NZA,40,W,T,-900,false,false,2019-12-21T17:00:00Z,2021-12-17T01:00:00Z
NZA,40,U,T,-15,false,false,2019-12-21T17:00:00Z,2021-12-17T01:00:00Z
NZA,41,W,T,-900,false,false,2021-12-18T00:00:00Z,2023-12-15T00:00:00Z
NZA,41,U,T,-15,false,false,2021-12-18T00:00:00Z,2023-12-15T00:00:00Z
NZB,40,W,T,-900,false,false,2020-09-18T21:12:30Z,2022-08-14T22:59:45Z
NZB,40,U,T,-15,false,false,2020-09-18T21:12:30Z,2022-08-14T22:59:45Z
NZB,41,W,T,-900,false,false,2022-08-15T20:15:00Z,2023-12-06T00:00:00Z
NZB,41,U,T,-15,false,false,2022-08-15T20:15:00Z,2023-12-06T00:00:00Z
NZC,40,W,T,-900,false,false,2019-12-12T18:00:00Z,2021-12-10T01:00:00Z
NZC,40,U,T,-15,false,false,2019-12-12T18:00:00Z,2021-12-10T01:00:00Z
NZC,41,W,T,-900,false,false,2021-12-11T00:00:00Z,2023-12-08T00:00:00Z
NZC,41,U,T,-15,false,false,2021-12-11T00:00:00Z,2023-12-08T00:00:00Z
NZD,40,W,T,-900,false,false,2021-07-23T00:00:00Z,2023-06-11T18:00:00Z
NZD,40,U,T,-15,false,false,2021-07-23T00:00:00Z,2023-06-11T18:00:00Z
NZD,41,W,T,-900,false,false,2023-06-13T21:15:00Z,9999-01-01T00:00:00Z
NZD,41,U,T,-15,false,false,2023-06-13T21:15:00Z,9999-01-01T00:00:00Z
NZE,40,W,T,-900,false,false,2019-12-18T17:00:00Z,2021-12-11T23:59:59Z
NZE,40,U,T,-15,false,false,2019-12-18T17:00:00Z,2021-12-11T23:59:59Z
NZE,41,W,T,-900,false,false,2021-12-14T00:00:00Z,2023-12-09T23:00:00Z
NZE,41,U,T,-15,false,false,2021-12-14T00:00:00Z,2023-12-09T23:00:00Z
NZF,40,W,T,-900,false,false,2019-12-17T00:00:00Z,2020-03-25T00:00:00Z
NZF,40,U,T,-15,false,false,2019-12-17T00:00:00Z,2020-03-25T00:00:00Z
NZF,41,W,T,-900,false,false,2020-08-31T23:10:15Z,2020-09-26T09:00:00Z
NZF,41,W,T,-900,false,false,2021-07-20T23:15:00Z,2022-08-10T00:59:45Z
