Station,Location,Latitude,Longitude,Elevation,Depth,Datum,Survey,Start Date,End Date
AUCT,40,-36.8314371,174.7865372,0,,WGS84,Unknown,2009-03-26T00:00:00Z,9999-01-01T00:00:00Z
AUCT,41,-36.8314371,174.7865372,0,,WGS84,Unknown,2009-03-26T00:00:00Z,9999-01-01T00:00:00Z
CHIT,40,-44.024042464,-176.36747635,2,,WGS84,External GPS Device,2007-12-15T12:00:00Z,9999-01-01T00:00:00Z
CHIT,41,-44.024042464,-176.36747635,2,,WGS84,External GPS Device,2007-12-15T12:00:00Z,9999-01-01T00:00:00Z
CHST,40,-41.903007,171.434114,4,,WGS84,Topographic Map,2015-06-24T00:00:00Z,9999-01-01T00:00:00Z
CHST,41,-41.903007,171.434114,4,,WGS84,Topographic Map,2015-06-24T00:00:00Z,9999-01-01T00:00:00Z
CPIT,40,-40.89929,176.2316763,0,,NZGD2000,External GPS Device,2009-09-16T03:00:00Z,9999-01-01T00:00:00Z
CPIT,41,-40.89929,176.2316763,0,,NZGD2000,External GPS Device,2009-09-16T03:00:00Z,9999-01-01T00:00:00Z
GBIT,40,-36.189,175.488,-4,,WGS84,External GPS Device,2010-07-26T00:00:00Z,9999-01-01T00:00:00Z
GBIT,41,-36.189,175.488,-4,,WGS84,External GPS Device,2010-07-26T00:00:00Z,9999-01-01T00:00:00Z
GIST,40,-38.6754097,178.0228774,0,,NZGD2000,External GPS Device,2008-02-12T04:00:00Z,9999-01-01T00:00:00Z
GIST,41,-38.6754097,178.0228774,0,,NZGD2000,External GPS Device,2008-02-12T04:00:00Z,9999-01-01T00:00:00Z
KAIT,40,-42.41288,173.70277,0,,WGS84,External GPS Device,2010-05-27T01:30:00Z,9999-01-01T00:00:00Z
KAIT,41,-42.41288,173.70277,0,,WGS84,External GPS Device,2010-05-27T01:30:00Z,9999-01-01T00:00:00Z
LOTT,40,-37.5503977,178.1590412,0,,NZGD2000,Site Survey,2008-10-03T06:00:00Z,9999-01-01T00:00:00Z
LOTT,41,-37.5503977,178.1590412,0,,NZGD2000,Site Survey,2008-10-03T06:00:00Z,9999-01-01T00:00:00Z
MNKT,40,-37.0465665,174.5117476,0,,WGS84,External GPS Device,2010-07-15T03:00:00Z,9999-01-01T00:00:00Z
MNKT,41,-37.0465665,174.5117476,0,,WGS84,External GPS Device,2010-07-15T03:00:00Z,9999-01-01T00:00:00Z
NAPT,40,-39.4756612,176.920066,0,,NZGD2000,Site Survey,2007-09-12T00:00:00Z,9999-01-01T00:00:00Z
NAPT,41,-39.4756612,176.920066,0,,NZGD2000,Site Survey,2007-09-12T00:00:00Z,9999-01-01T00:00:00Z
NBRT,40,-43.5059694,172.7349917,1,,WGS84,Topographic Map,2021-05-14T02:07:00Z,9999-01-01T00:00:00Z
NBRT,41,-43.5059694,172.7349917,1,,WGS84,Topographic Map,2021-05-14T02:07:00Z,9999-01-01T00:00:00Z
NCPT,40,-34.4148306,173.0486955,-4,,NZGD2000,Topographic Map,2008-12-10T06:00:00Z,9999-01-01T00:00:00Z
NCPT,41,-34.4148306,173.0486955,-4,,NZGD2000,Topographic Map,2008-12-10T06:00:00Z,9999-01-01T00:00:00Z
NZA,40,-42.3707,176.9109,0,2690,WGS84,Unknown,2019-12-21T17:00:00Z,2021-12-17T01:00:00Z
NZA,41,-42.3717,176.9093,0,2635,WGS84,Unknown,2021-12-18T00:00:00Z,2023-12-15T00:00:00Z
NZA,42,-42.369,176.912,0,2634,WGS84,Unknown,2023-12-16T00:15:00Z,9999-01-01T00:00:00Z
NZAS,20,-46.586807,168.378357,13,,WGS84,Internal GPS Clock,2008-10-08T22:00:00Z,2015-06-30T23:59:59Z
NZB,40,-40.6003,179.0996,0,3184,WGS84,Unknown,2020-09-18T21:12:30Z,2022-08-14T22:59:45Z
NZB,41,-40.5992,179.0962,0,3184,WGS84,Unknown,2022-08-15T20:15:00Z,2023-12-06T00:00:00Z
NZB,42,-40.5979,179.1005,0,3184,WGS84,Unknown,2023-12-07T14:15:00Z,9999-01-01T00:00:00Z
NZC,40,-38.2001,-179.7978,0,3545,WGS84,Unknown,2019-12-12T18:00:00Z,2021-12-10T01:00:00Z
NZC,41,-38.2004,-179.7978,0,3545,WGS84,Unknown,2021-12-11T00:00:00Z,2023-12-08T00:00:00Z
NZC,42,-38.1969,-179.7968,0,3545,WGS84,Unknown,2023-12-09T01:15:00Z,9999-01-01T00:00:00Z
NZD,40,-36.0998,178.6037,0,2445,WGS84,Unknown,2021-07-23T00:00:00Z,2023-06-11T18:00:00Z
NZD,41,-36.1,178.6009,0,2446,WGS84,Unknown,2023-06-13T21:15:00Z,9999-01-01T00:00:00Z
NZE,40,-36.0493,-177.708,0,5779,WGS84,Unknown,2019-12-18T17:00:00Z,2021-12-12T21:00:00Z
NZE,41,-36.0499,-177.697,0,5777,WGS84,Unknown,2021-12-13T00:00:00Z,2023-12-09T23:00:00Z
NZE,42,-36.05,-177.6986,0,5777,WGS84,Unknown,2023-12-12T20:15:00Z,9999-01-01T00:00:00Z
NZF,40,-29.6843,-175.0126,0,5060,WGS84,Unknown,2019-12-17T00:00:00Z,2020-03-25T00:00:00Z
NZF,41,-29.6823,-175.0124,0,5059,WGS84,Unknown,2020-08-31T23:10:15Z,2022-08-10T00:59:45Z
NZF,42,-29.6826,-175.0125,0,5060,WGS84,Unknown,2022-08-11T00:15:00Z,9999-01-01T00:00:00Z
NZG,40,-23.3516,-173.4012,0,5742,WGS84,Unknown,2020-09-10T22:57:30Z,2022-07-29T18:02:45Z
NZG,41,-23.3517,-173.4018,0,5741,WGS84,Unknown,2022-07-30T20:15:00Z,9999-01-01T00:00:00Z
NZH,40,-20.0896,-171.8599,0,5530,WGS84,Unknown,2020-09-03T22:24:30Z,2022-08-01T00:12:30Z
NZH,41,-20.0885,-171.8630,0,5531,WGS84,Unknown,2022-08-01T20:15:00Z,9999-01-01T00:00:00Z
NZI,40,-16.8921,-171.1904,0,5237,WGS84,Unknown,2020-09-08T03:15:45Z,2022-08-02T21:59:30Z
NZI,41,-16.8890,-171.1905,0,5237,WGS84,Unknown,2022-08-03T21:15:00Z,9999-01-01T00:00:00Z
NZJ,40,-26.6672,163.9549,0,1912,WGS84,Unknown,2021-07-09T00:00:00Z,2023-05-28T18:00:00Z
NZJ,41,-26.6685,163.9536,0,1917,WGS84,Unknown,2023-05-29T22:15:00Z,9999-01-01T00:00:00Z
NZK,40,-24.3093,169.4988,0,2098,WGS84,Unknown,2021-07-15T00:00:00Z,2023-06-06T00:00:00Z
NZK,41,-24.3086,169.5001,0,2098,WGS84,Unknown,2023-06-06T21:00:00Z,9999-01-01T00:00:00Z
NZL,40,-19.3096,166.782,0,3884,WGS84,Unknown,2021-07-12T00:00:00Z,2023-06-03T00:00:00Z
NZL,41,-19.2876,166.811,0,3863,WGS84,Unknown,2023-06-03T20:15:00Z,9999-01-01T00:00:00Z
OTAT,40,-45.8143493,170.62939,0,,WGS84,Site Survey,2010-02-25T01:00:00Z,9999-01-01T00:00:00Z
OTAT,41,-45.8143493,170.62939,0,,WGS84,Site Survey,2010-02-25T01:00:00Z,9999-01-01T00:00:00Z
PUYT,40,-46.0847836,166.5894083,0,,WGS84,Unknown,2009-11-28T00:00:00Z,9999-01-01T00:00:00Z
PUYT,41,-46.0847836,166.5894083,0,,WGS84,Unknown,2009-11-28T00:00:00Z,9999-01-01T00:00:00Z
RBCT,40,-29.280016,-177.8944,0,,WGS84,Topographic Map,2009-05-18T00:00:04Z,9999-01-01T00:00:00Z
RBCT,41,-29.280016,-177.8944,0,,WGS84,Topographic Map,2009-05-18T00:00:04Z,9999-01-01T00:00:00Z
RFRT,40,-29.251144,-177.903842,2,,NZGD2000,Topographic Map,2009-05-18T00:00:04Z,9999-01-01T00:00:00Z
RFRT,41,-29.251144,-177.903842,2,,NZGD2000,Topographic Map,2009-05-18T00:00:04Z,9999-01-01T00:00:00Z
SUMT,40,-43.570101,172.773828,0,,NZGD2000,Unknown,2010-08-10T23:30:00Z,2022-03-31T20:00:00Z
SUMT,41,-43.570101,172.773828,0,,NZGD2000,Unknown,2010-08-10T23:30:00Z,2022-03-31T20:00:00Z
TAUT,40,-37.6410885,176.1811791,0,,NZGD2000,External GPS Device,2008-05-21T02:00:02Z,9999-01-01T00:00:00Z
TAUT,41,-37.6410885,176.1811791,0,,NZGD2000,External GPS Device,2008-05-21T02:00:02Z,9999-01-01T00:00:00Z
WLGT,40,-41.2844758,174.7798536,3.413,,NZGD2000,Site Survey,2007-03-06T00:00:02Z,9999-01-01T00:00:00Z
WLGT,41,-41.2844758,174.7798536,3.413,,NZGD2000,Site Survey,2007-03-06T00:00:02Z,9999-01-01T00:00:00Z
