Station,Network,Name,Latitude,Longitude,Elevation,Depth,Datum,Start Date,End Date
AUCT,TG,Auckland,-36.8314371,174.7865372,0,,WGS84,2009-03-26T00:00:00Z,9999-01-01T00:00:00Z
CHIT,TG,Chatham Island,-44.024042464,-176.36747635,2,,WGS84,2007-12-15T12:00:00Z,9999-01-01T00:00:00Z
CHST,TG,Charleston,-41.903007,171.434114,4,,WGS84,2015-06-24T00:00:00Z,9999-01-01T00:00:00Z
CPIT,TG,Castlepoint,-40.89929,176.2316763,0,,NZGD2000,2009-09-16T00:00:00Z,9999-01-01T00:00:00Z
GBIT,TG,Great Barrier Island,-36.1890459,175.4888681,-4,,WGS84,2010-07-26T00:00:00Z,9999-01-01T00:00:00Z
GIST,TG,Gisborne,-38.6754097,178.0228774,0,,NZGD2000,2008-02-12T04:00:00Z,9999-01-01T00:00:00Z
KAIT,TG,Kaikoura,-42.41288,173.70277,0,,WGS84,2010-05-27T00:00:00Z,9999-01-01T00:00:00Z
LOTT,TG,East Cape,-37.5503977,178.1590412,0,,NZGD2000,2008-10-03T06:00:00Z,9999-01-01T00:00:00Z
MNKT,TG,Manukau,-37.0465665,174.5117476,0,,WGS84,2010-07-15T00:00:00Z,9999-01-01T00:00:00Z
MNMZ,TP,Mangamawhitiwhiti,-39.021589,175.835268,469,,WGS84,2023-09-14T22:37:00Z,9999-01-01T00:00:00Z
NAPT,TG,Napier,-39.4756612,176.920066,0,,NZGD2000,2007-09-12T00:00:00Z,9999-01-01T00:00:00Z
NBRT,TG,New Brighton Pier,-43.5059694,172.7349917,0,,WGS84,2021-05-14T02:07:00Z,9999-01-01T00:00:00Z
NCPT,TG,North Cape,-34.4148306,173.0486955,-4,,NZGD2000,2008-12-10T06:00:00Z,9999-01-01T00:00:00Z
NZA,TD,Offshore Wellington Hikurangi,-42.371,176.911,0,2690,WGS84,2019-12-21T17:00:00Z,9999-01-01T00:00:00Z
NZB,TD,Offshore Hawke's Bay Hikurangi,-40.5992,179.0962,0,3184,WGS84,2020-09-18T00:00:00Z,9999-01-01T00:00:00Z
NZC,TD,Offshore Gisborne Hikurangi,-38.2,-179.797,0,3545,WGS84,2019-12-12T18:00:00Z,9999-01-01T00:00:00Z
NZD,TD,Offshore Bay of Plenty Kermadec,-36.0998,178.6037,0,2445,WGS84,2021-07-23T00:00:00Z,9999-01-01T00:00:00Z
NZE,TD,Offshore East Cape Kermadec,-36.049,-177.708,0,5779,WGS84,2019-12-18T17:00:00Z,9999-01-01T00:00:00Z
NZF,TD,Offshore Raoul Island Kermadec,-29.6826,-175.0125,0,5060,WGS84,2019-12-17T00:00:00Z,9999-01-01T00:00:00Z
NZG,TD,Offshore Tongatapu Tonga,-23.3517,-173.4018,0,5741,WGS84,2020-09-10T00:00:00Z,9999-01-01T00:00:00Z
NZH,TD,Offshore Niue Tonga,-20.0885,-171.8630,0,5531,WGS84,2020-09-04T00:00:00Z,9999-01-01T00:00:00Z
NZI,TD,Offshore Samoa Tonga,-16.8890,-171.1905,0,5237,WGS84,2020-09-08T00:00:00Z,9999-01-01T00:00:00Z
NZJ,TD,Offshore Norfolk Island New Hebrides,-26.6672,163.9549,0,1912,WGS84,2021-07-09T00:00:00Z,9999-01-01T00:00:00Z
NZK,TD,Offshore New Caledonia New Hebrides,-24.3093,169.4988,0,2098,WGS84,2021-07-15T00:00:00Z,9999-01-01T00:00:00Z
NZL,TD,Offshore Vanuatu New Hebrides,-19.3096,166.782,0,3884,WGS84,2021-07-12T00:00:00Z,9999-01-01T00:00:00Z
OTAT,TG,Dunedin,-45.8143493,170.62939,0,,WGS84,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
PUYT,TG,Puysegur,-46.0847836,166.5894083,0,,WGS84,2009-11-28T00:00:00Z,9999-01-01T00:00:00Z
RBCT,TG,Raoul Island Boat Cove,-29.280016,-177.8944,0,,WGS84,2009-05-18T00:00:00Z,9999-01-01T00:00:00Z
RFRT,TG,Raoul Island Fishing Rock,-29.251144,-177.903842,2,,NZGD2000,2009-05-18T00:00:00Z,9999-01-01T00:00:00Z
SUMT,TG,Christchurch,-43.570101,172.773828,0,,NZGD2000,2010-08-10T23:30:00Z,2022-03-31T20:00:00Z
TAUT,TG,Tauranga,-37.6410885,176.1811791,0,,NZGD2000,2008-05-21T00:00:00Z,9999-01-01T00:00:00Z
WLGT,TG,Wellington,-41.2844758,174.7798536,3.413,,NZGD2000,2007-03-06T00:00:00Z,9999-01-01T00:00:00Z
