Station Code,Location Code,Datalogger Place,Datalogger Role,Start Date,End Date
AUCT,40,Devonport Naval Base,,2009-03-26T00:00:00Z,9999-01-01T00:00:00Z
AUCT,41,Devonport Naval Base,,2009-03-26T00:00:00Z,9999-01-01T00:00:00Z
CHIT,40,Owenga,,2007-12-16T00:00:00Z,9999-01-01T00:00:00Z
CHIT,41,Owenga,,2007-12-16T00:00:00Z,9999-01-01T00:00:00Z
CHST,40,Charleston Constant Bay,,2015-06-25T00:00:00Z,9999-01-01T00:00:00Z
CHST,41,Charleston Constant Bay,,2015-06-25T00:00:00Z,9999-01-01T00:00:00Z
CPIT,40,Castlepoint Tsunami,,2009-09-16T00:00:00Z,9999-01-01T00:00:00Z
CPIT,41,Castlepoint Tsunami,,2009-09-16T00:00:00Z,9999-01-01T00:00:00Z
GBIT,40,Great Barrier Island Navy Field Station,,2010-07-26T00:00:00Z,9999-01-01T00:00:00Z
GBIT,41,Great Barrier Island Navy Field Station,,2010-07-26T00:00:00Z,9999-01-01T00:00:00Z
GIST,40,Eastland Port,,2008-03-10T00:00:00Z,9999-01-01T00:00:00Z
GIST,41,Eastland Port,,2008-03-10T00:00:00Z,9999-01-01T00:00:00Z
KAIT,40,Kaikoura North Wharf,,2010-05-27T00:00:00Z,9999-01-01T00:00:00Z
KAIT,41,Kaikoura North Wharf,,2010-05-27T00:00:00Z,9999-01-01T00:00:00Z
LOTT,40,Lottin Point,,2008-10-10T00:00:00Z,9999-01-01T00:00:00Z
LOTT,41,Lottin Point,,2008-10-10T00:00:00Z,9999-01-01T00:00:00Z
MNKT,40,Whatipu,,2010-07-15T00:00:00Z,9999-01-01T00:00:00Z
MNKT,41,Whatipu,,2010-07-15T00:00:00Z,9999-01-01T00:00:00Z
NAPT,40,Port of Napier,,2007-09-26T00:00:00Z,9999-01-01T00:00:00Z
NAPT,41,Port of Napier,,2007-09-26T00:00:00Z,9999-01-01T00:00:00Z
NCPT,40,North Cape,,2008-12-23T00:00:00Z,9999-01-01T00:00:00Z
NCPT,41,North Cape,,2008-12-23T00:00:00Z,9999-01-01T00:00:00Z
OTAT,40,Dunedin Tsunami,,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
OTAT,41,Dunedin Tsunami,,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
PUYT,40,Puysegur Welcome Bay,,2009-11-28T00:00:00Z,9999-01-01T00:00:00Z
PUYT,41,Puysegur Welcome Bay,,2009-11-28T00:00:00Z,9999-01-01T00:00:00Z
RBCT,40,Raoul Island Boat Cove,,2009-05-18T00:00:00Z,9999-01-01T00:00:00Z
RBCT,41,Raoul Island Boat Cove,,2009-05-18T00:00:00Z,9999-01-01T00:00:00Z
RFRT,40,Raoul Island Fishing Rock,,2009-05-18T00:00:00Z,9999-01-01T00:00:00Z
RFRT,41,Raoul Island Fishing Rock,,2009-05-18T00:00:00Z,9999-01-01T00:00:00Z
SUMT,40,Sumner Head,,2010-08-11T00:00:00Z,9999-01-01T00:00:00Z
SUMT,41,Sumner Head,,2010-08-11T00:00:00Z,9999-01-01T00:00:00Z
TAUT,40,Port of Tauranga,,2008-05-21T00:00:00Z,9999-01-01T00:00:00Z
TAUT,41,Port of Tauranga,,2008-05-21T00:00:00Z,9999-01-01T00:00:00Z
WLGT,40,Queen's Wharf Shed 1,,2007-03-06T00:00:00Z,9999-01-01T00:00:00Z
WLGT,41,Queen's Wharf Shed 1,,2007-03-06T00:00:00Z,9999-01-01T00:00:00Z
