Antenna Make,Antenna Model,Serial Number,Mark Code,Antenna Height,Offset North,Offset East,Installation Date,Removal Date
Thales,Ashtech chokering 700936B,11753,WGTN,0.0017,0,0,1996-05-22T11:00:00Z,2005-03-20T14:30:00Z
Thales,Ashtech chokering 700936C,12413,GRAC,0,0,0,1998-07-09T12:00:00Z,1999-12-27T11:00:00Z
Thales,Ashtech chokering 700936C,12413,GRAC,0,0,0,2001-01-24T11:00:00Z,2001-01-27T11:00:00Z
Thales,Ashtech chokering 700936C,12477,NIUC,0,0,0,1996-11-12T10:00:00Z,9999-01-01T02:59:32Z
Thales,Ashtech chokering 700936C,12611,VAVS,0.0098,0,0,2000-09-20T11:00:00Z,2008-09-25T12:00:00Z
Thales,Ashtech chokering 700936C,12627,FALE,0,0,0,1996-11-11T11:00:30Z,2003-09-17T12:00:00Z
Thales,Ashtech chokering 700936D,CR13573,HOKI,0.0032,0,0,2000-01-19T10:59:00Z,2003-09-05T12:00:00Z
Thales,Ashtech chokering 700936E,CR16098,HOKI,0.0031,0,0,1998-07-05T11:59:00Z,2000-01-19T11:01:00Z
Thales,Ashtech chokering 701933B,CRN120000601,PAEK,0.0002,0,0,2000-04-10T11:59:02Z,2006-09-10T11:35:00Z
Thales,Ashtech chokering 701933B,CRN120000601,PAEK,0.0002,0,0,2000-04-10T11:59:02Z,2006-09-10T11:35:00Z
Thales,Ashtech chokering 701945C,CR519993903,GRAC,0,0,0,2000-01-25T11:00:00Z,2001-01-04T11:00:00Z
Thales,Ashtech chokering 701945C,CR519993903,CHAT,0.0062,0,0,2001-11-27T11:08:00Z,2012-05-23T08:00:00Z
Thales,Ashtech chokering 701945C,CR519993904,VAVS,0.006,0,0,2000-09-19T11:00:00Z,2000-09-20T13:00:00Z
Thales,Ashtech chokering 701945C,CR519993904,AUCK,0.0016,0,0,2001-10-27T11:00:10Z,2005-11-02T16:00:00Z
Thales,Ashtech chokering 701945C,CR519993905,MQZG,0.0002,0,0,2001-09-02T11:00:00Z,2005-02-27T15:00:00Z
Thales,Ashtech chokering 701945E,CR620022305,FALE,0,0,0,2003-09-17T11:00:30Z,2010-10-21T09:10:01Z
