Sensor Make,Sensor Model,Serial Number,Mark Code,Installation Date,Removal Date
Trimble,Chokering Model 29659.00,0220063995,CNCL,2000-08-02T11:59:01Z,9998-12-31T21:09:17Z
Trimble,Chokering Model 29659.00,0220066912,MTJO,2000-08-14T11:59:52Z,2011-02-07T09:35:00Z
Trimble,Chokering Model 29659.00,0220067545,WAKA,2000-11-01T11:00:00Z,2001-12-12T11:00:00Z
Trimble,Chokering Model 29659.00,0220067548,CNCL,2000-02-04T10:59:01Z,2000-03-08T10:59:59Z
Trimble,Chokering Model 29659.00,0220067548,CNCL,2000-03-08T11:00:00Z,2000-08-02T12:00:00Z
Trimble,Chokering Model 29659.00,0220067548,WAKA,2002-05-30T12:01:00Z,9999-01-01T00:12:31Z
Trimble,Chokering Model 29659.00,0220073544,NETT,2000-02-06T10:59:59Z,2000-02-09T11:00:00Z
Trimble,Chokering Model 29659.00,0220073544,NETT,2000-02-09T11:00:01Z,2008-03-17T15:00:01Z
Trimble,Chokering Model 29659.00,0220148020,MQZG,1999-09-26T11:59:00Z,2000-01-20T11:00:00Z
Trimble,Chokering Model 29659.00,0220148020,MQZG,2000-01-20T11:00:01Z,2001-09-02T15:00:00Z
Trimble,Chokering Model 29659.00,0220190193,KARA,2000-02-04T10:30:00Z,2000-03-08T11:00:00Z
Trimble,Chokering Model 29659.00,0220190193,KARA,2000-03-08T11:00:00Z,2004-11-28T11:00:00Z
Trimble,Chokering Model 29659.00,0220190193,KARA,2004-11-28T11:00:00Z,2004-12-04T05:30:00Z
Trimble,Chokering Model 29659.00,0220190270,QUAR,2000-02-04T10:59:00Z,2000-03-08T11:00:00Z
Trimble,Chokering Model 29659.00,0220190270,QUAR,2000-03-08T11:00:01Z,2015-09-24T13:00:00Z
Trimble,Chokering Model 29659.00,0220227659,KARA,2004-12-04T05:30:01Z,9998-12-31T11:00:00Z
Trimble,TRM22020.00+GP,1061,OUSD,1995-01-15T11:00:00Z,2006-06-20T11:59:59Z
Trimble,TRM33429.20+GP,131754,GRAC,2001-01-27T11:00:00Z,2006-08-27T12:00:00Z
Trimble,Zephyr - Stealth Ground Plane,11885765,HOKI,2003-09-04T15:00:00Z,2011-02-08T06:44:00Z
Trimble,Zephyr - Stealth Ground Plane,11888944,WHNG,2003-04-01T15:00:00Z,2010-11-22T08:00:00Z
Trimble,Zephyr - Stealth Ground Plane,11889217,TRNG,2003-02-16T14:00:00Z,2010-12-06T10:25:00Z
Trimble,Zephyr - Stealth Ground Plane,11889428,CORM,2003-05-09T11:58:59Z,2011-02-10T10:59:59Z
Trimble,Zephyr - Stealth Ground Plane,11889599,NPLY,2003-03-19T15:00:00Z,2010-11-23T11:50:00Z
Trimble,Zephyr - Stealth Ground Plane,11889680,GISB,2002-06-27T15:00:00Z,2011-01-18T15:00:00Z
Trimble,Zephyr - Stealth Ground Plane,11889810,DNVK,2002-09-30T15:00:00Z,2010-12-07T09:07:00Z
Trimble,Zephyr - Stealth Ground Plane,11889815,WANG,2003-04-16T15:00:00Z,2010-11-03T11:00:01Z
Trimble,Zephyr - Stealth Ground Plane,11909132,HAST,2002-09-09T15:00:00Z,2010-12-15T06:46:00Z
Trimble,Zephyr - Stealth Ground Plane,12092000,HAMT,2003-04-30T15:00:00Z,2011-01-23T11:30:00Z
Trimble,Zephyr - Stealth Ground Plane,12200392,MAST,2002-12-31T10:59:59Z,2010-11-04T12:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12200503,HIKB,2003-05-15T15:00:00Z,2011-01-12T15:12:00Z
Trimble,Zephyr - Stealth Ground Plane,12200543,TAUP,2002-03-21T11:59:59Z,2010-12-01T09:03:00Z
Trimble,Zephyr - Stealth Ground Plane,12214598,VGDR,2004-05-15T11:59:59Z,2004-05-19T12:00:01Z
Trimble,Zephyr - Stealth Ground Plane,12235000,VGWT,2005-02-28T10:59:59Z,2005-03-07T12:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12337737,HORN,2002-12-31T10:59:59Z,9998-12-31T23:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12379120,VGTS,2005-03-16T10:59:59Z,9998-12-31T23:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12379189,NIUM,2005-09-14T11:00:00Z,2014-03-12T12:30:00Z
Trimble,Zephyr - Stealth Ground Plane,12379191,MQZG,2005-02-27T14:00:00Z,2011-02-09T10:21:00Z
Trimble,Zephyr - Stealth Ground Plane,12379323,RGAR,2007-11-06T13:30:02Z,9998-12-31T20:59:37Z
Trimble,Zephyr - Stealth Ground Plane,12379437,VGMO,2005-03-30T11:59:59Z,9998-12-31T23:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12421105,TORY,2005-04-19T15:00:00Z,2011-11-16T08:16:30Z
Trimble,Zephyr - Stealth Ground Plane,12421106,DURV,2005-03-08T14:00:00Z,9998-12-31T23:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12421111,VGMT,2005-01-31T10:59:59Z,2011-01-16T12:25:00Z
Trimble,Zephyr - Stealth Ground Plane,12421112,KOKO,2004-11-02T10:59:02Z,9998-12-31T23:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12421121,VGWH,2005-02-24T10:59:00Z,9998-12-31T23:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12421175,PAWA,2005-03-21T15:00:00Z,9998-12-31T23:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12421180,WEST,2004-09-22T15:00:00Z,2011-01-25T11:55:00Z
Trimble,Zephyr - Stealth Ground Plane,12421183,RGMK,2004-10-05T12:59:59Z,9998-12-31T23:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12421184,SCTB,2004-10-28T10:59:00Z,2010-10-25T10:00:01Z
Trimble,Zephyr - Stealth Ground Plane,12421227,MANG,2005-02-10T11:55:00Z,2007-06-19T15:16:01Z
Trimble,Zephyr - Stealth Ground Plane,12466213,RGLI,2005-11-15T06:00:02Z,2013-05-08T12:00:01Z
Trimble,Zephyr - Stealth Ground Plane,12466228,PAEK,2006-09-10T15:00:00Z,2015-09-13T13:30:00Z
Trimble,Zephyr - Stealth Ground Plane,12466301,MAUI,2006-05-23T12:30:00Z,9998-12-31T22:47:13Z
Trimble,Zephyr - Stealth Ground Plane,12466307,CNST,2007-08-20T12:35:00Z,9999-01-01T02:15:25Z
Trimble,Zephyr - Stealth Ground Plane,12475033,LEXA,2004-03-15T10:59:00Z,2010-12-19T12:43:00Z
Trimble,Zephyr - Stealth Ground Plane,12475288,MATW,2004-04-07T15:00:00Z,2008-07-27T12:00:01Z
Trimble,Zephyr - Stealth Ground Plane,12481342,TRAV,2005-06-22T11:59:00Z,9998-12-31T23:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12481350,WAIM,2004-12-16T10:59:59Z,2010-11-21T16:50:00Z
Trimble,Zephyr - Stealth Ground Plane,12481380,VGPK,2005-01-20T10:59:59Z,9998-12-31T23:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12482205,VGDR,2006-01-09T07:59:59Z,2006-04-20T12:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12482205,ATIA,2006-10-10T10:00:00Z,2006-11-06T07:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12482205,VGDR,2007-01-26T08:30:00Z,2007-04-19T10:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12482205,VGDR,2008-01-16T10:00:00Z,2008-04-09T11:30:00Z
Trimble,Zephyr - Stealth Ground Plane,12482205,VGDR,2008-12-22T10:30:00Z,2009-03-24T07:05:00Z
Trimble,Zephyr - Stealth Ground Plane,12482205,VGDR,2010-01-28T09:00:00Z,2010-04-08T15:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12482226,VGTR,2005-02-10T10:59:59Z,9998-12-31T23:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12545551,NLSN,2004-02-08T10:59:02Z,2011-01-24T14:15:00Z
Trimble,Zephyr - Stealth Ground Plane,12545600,VGOT,2004-05-15T11:59:59Z,2004-05-19T12:00:01Z
Trimble,Zephyr - Stealth Ground Plane,12545617,GLDB,2004-02-01T10:59:01Z,2011-01-24T17:20:00Z
Trimble,Zephyr - Stealth Ground Plane,12547942,PARW,2004-07-14T15:00:00Z,9998-12-31T23:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12547955,KAPT,2004-06-09T11:59:59Z,9998-12-31T23:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12547997,MAVL,2004-05-16T11:59:59Z,2010-12-20T07:58:00Z
Trimble,Zephyr - Stealth Ground Plane,12560324,CMBL,2004-01-26T11:00:00Z,9998-12-31T23:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12560359,RIPA,2004-02-19T10:59:00Z,9998-12-31T23:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12561250,VGFW,2004-03-18T12:00:00Z,9998-12-31T23:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12561323,VGOB,2004-02-10T09:59:00Z,9998-12-31T23:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12561378,LKTA,2004-01-31T10:59:01Z,2011-02-07T10:48:00Z
Trimble,Zephyr - Stealth Ground Plane,12561415,VGWN,2004-05-17T11:59:00Z,9998-12-31T23:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12578128,KAIK,2004-01-30T14:00:00Z,2011-01-27T09:25:00Z
Trimble,Zephyr - Stealth Ground Plane,12589818,MAHO,2004-02-02T10:59:00Z,2011-01-10T12:25:01Z
Trimble,Zephyr - Stealth Ground Plane,12589847,BLUF,2004-03-10T11:00:00Z,2010-11-24T15:42:00Z
Trimble,Zephyr - Stealth Ground Plane,12589847,BLUF,2004-03-10T11:00:00Z,2010-11-24T15:42:00Z
Trimble,Zephyr - Stealth Ground Plane,12589901,HAAS,2004-06-22T12:36:00Z,2011-02-08T06:44:00Z
Trimble,Zephyr - Stealth Ground Plane,12589930,TAKP,2004-01-29T12:00:00Z,2015-11-10T12:09:00Z
Trimble,Zephyr - Stealth Ground Plane,12590014,PUKE,2004-02-15T10:59:00Z,9998-12-31T23:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12611598,UTK4,2008-07-16T12:00:10Z,9999-01-01T02:35:56Z
Trimble,Zephyr - Stealth Ground Plane,12611794,RGTA,2007-11-21T11:00:00Z,9999-01-01T05:19:20Z
Trimble,Zephyr - Stealth Ground Plane,12611896,CLS4,2011-06-21T10:13:00Z,2011-10-30T07:30:00Z
Trimble,Zephyr - Stealth Ground Plane,12611896,NLS2,2011-12-19T14:25:00Z,2013-11-14T08:15:00Z
Trimble,Zephyr - Stealth Ground Plane,12612000,VGKR,2005-11-29T13:00:00Z,9999-01-01T03:17:31Z
Trimble,Zephyr - Stealth Ground Plane,12612069,HANA,2007-08-04T17:45:00Z,2012-05-31T12:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12621961,BIRF,2005-01-21T11:00:00Z,2015-10-07T12:00:01Z
Trimble,Zephyr - Stealth Ground Plane,12626083,RGOP,2007-02-20T12:00:00Z,9998-12-31T17:41:05Z
Trimble,Zephyr - Stealth Ground Plane,12626091,TINT,2006-03-06T11:00:30Z,9998-12-31T22:08:00Z
Trimble,Zephyr - Stealth Ground Plane,12626092,PORA,2006-03-13T23:00:30Z,2015-09-30T09:55:02Z
Trimble,Zephyr - Stealth Ground Plane,12626150,DUND,2005-08-23T11:59:01Z,2010-11-23T14:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12626169,TGHR,2006-04-11T03:00:00Z,9999-01-01T05:19:46Z
Trimble,Zephyr - Stealth Ground Plane,12626197,RGUT,2005-12-13T12:00:00Z,9999-01-01T03:20:13Z
Trimble,Zephyr - Stealth Ground Plane,12626208,TGOH,2006-05-21T14:00:00Z,9999-01-01T01:43:48Z
Trimble,Zephyr - Stealth Ground Plane,12626224,UTK1,2008-07-16T12:00:10Z,9999-01-01T02:32:26Z
Trimble,Zephyr - Stealth Ground Plane,12652338,CAST,2006-02-08T13:59:00Z,2015-10-05T12:02:00Z
Trimble,Zephyr - Stealth Ground Plane,12652347,AVLN,2006-02-22T12:25:50Z,9999-01-01T01:57:50Z
Trimble,Zephyr - Stealth Ground Plane,12652393,TGRA,2006-04-10T11:59:00Z,9999-01-01T05:18:12Z
Trimble,Zephyr - Stealth Ground Plane,12652400,WPAW,2006-04-19T12:01:00Z,9998-12-31T21:20:21Z
Trimble,Zephyr - Stealth Ground Plane,12652405,VGOT,2006-06-07T13:59:59Z,9998-12-31T23:12:07Z
Trimble,Zephyr - Stealth Ground Plane,12652444,TGTK,2006-04-26T12:00:01Z,9998-12-31T19:32:28Z
Trimble,Zephyr - Stealth Ground Plane,12652475,WPUK,2006-04-19T08:30:00Z,9998-12-31T21:14:43Z
Trimble,Zephyr - Stealth Ground Plane,12652493,PYGR,2006-12-31T11:00:00Z,9999-01-01T00:18:52Z
Trimble,Zephyr - Stealth Ground Plane,12652499,RGRR,2007-12-10T12:00:00Z,2013-04-18T12:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12668767,KAHU,2006-04-18T12:01:00Z,9999-01-01T01:18:04Z
Trimble,Zephyr - Stealth Ground Plane,12668782,CKID,2006-05-22T13:59:00Z,2010-07-14T12:00:00Z
