Sensor Model,Sensor Pin,Installation Azimuth,Installation Dip
2 Hz Duke Malin Seismometer,0,0,-90
2 Hz Duke Malin Seismometer,1,0,0
2 Hz Duke Malin Seismometer,2,90,0
270-600/12V,0,0,0
270-600/24V,0,0,0
270-800/12V,0,0,0
4.5 Hz Duke Malin Seismometer,0,0,-90
4.5 Hz Duke Malin Seismometer,1,0,0
4.5 Hz Duke Malin Seismometer,2,90,0
CMG-3ESP,0,0,-90
CMG-3ESP,1,0,0
CMG-3ESP,2,90,0
CMG-3ESP-Z,0,0,-90
CMG-3ESP-Z,1,0,0
CMG-3ESP-Z,2,90,0
CMG-3ESPC,0,0,-90
CMG-3ESPC,1,0,0
CMG-3ESPC,2,90,0
CMG-3T,0,0,-90
CMG-3T,1,0,0
CMG-3T,2,90,0
CMG-3TB,0,0,-90
CMG-3TB,1,0,0
CMG-3TB,2,90,0
CMG-3TB-GN,0,0,-90
CMG-3TB-GN,1,0,0
CMG-3TB-GN,2,90,0
CMG-40T-30S,0,0,-90
CMG-40T-30S,1,0,0
CMG-40T-30S,2,90,0
CMG-40T-60S,0,0,-90
CMG-40T-60S,1,0,0
CMG-40T-60S,2,90,0
CMG-6T,0,0,-90
CMG-6T,1,0,0
CMG-6T,2,90,0
CUSP-Me SENSOR,0,90,0
CUSP-Me SENSOR,1,0,0
CUSP-Me SENSOR,2,0,-90
CUSP3A SENSOR,0,90,0
CUSP3A SENSOR,1,0,0
CUSP3A SENSOR,2,0,-90
CUSP3B SENSOR,0,90,0
CUSP3B SENSOR,1,0,0
CUSP3B SENSOR,2,0,-90
CUSP3C SENSOR,0,90,0
CUSP3C SENSOR,1,0,0
CUSP3C SENSOR,2,0,-90
CUSP3C3 SENSOR,0,90,0
CUSP3C3 SENSOR,1,0,0
CUSP3C3 SENSOR,2,0,-90
CUSP3D SENSOR,0,90,0
CUSP3D SENSOR,1,0,0
CUSP3D SENSOR,2,0,-90
CUSPM SENSOR,0,90,0
CUSPM SENSOR,1,0,0
CUSPM SENSOR,2,0,-90
Druck PTX-1830,0,0,0
Druck PTX-1830-LAND,0,0,0
FBA-23-DECK,0,180,0
FBA-23-DECK,1,0,90
FBA-23-DECK,2,270,0
FBA-ES-T,0,0,-90
FBA-ES-T,1,0,0
FBA-ES-T,2,90,0
FBA-ES-T-BASALT,0,0,-90
FBA-ES-T-BASALT,1,0,0
FBA-ES-T-BASALT,2,90,0
FBA-ES-T-DECK,0,90,0
FBA-ES-T-DECK,1,0,0
FBA-ES-T-DECK,2,0,-90
FBA-ES-T-ISO,0,0,-90
FBA-ES-T-ISO,1,0,0
FBA-ES-T-ISO,2,90,0
GS-11D seismometer,0,0,-90
GS-11D seismometer,1,0,0
GS-11D seismometer,2,90,0
IESE HS-1-LT Mini 4.5Hz,0,0,-90
IESE HS-1-LT Mini 4.5Hz,1,0,0
IESE HS-1-LT Mini 4.5Hz,2,90,0
IESE S10g-4.5 (with preamp),0,0,-90
IESE S10g-4.5 (with preamp),1,0,0
IESE S10g-4.5 (with preamp),2,90,0
IESE S10g-4.5 (without preamp),0,0,-90
IESE S10g-4.5 (without preamp),1,0,0
IESE S10g-4.5 (without preamp),2,90,0
IESE S31f-15 (with preamp),0,0,-90
IESE S31f-15 (with preamp),1,0,0
IESE S31f-15 (with preamp),2,90,0
InfraBSU microphone,0,0,0
Kinemetrics SBEPI,0,0,-90
Kinemetrics SBEPI,1,0,0
Kinemetrics SBEPI,2,90,0
L4C,0,0,-90
L4C-3D,0,0,-90
L4C-3D,1,0,0
L4C-3D,2,90,0
LE-3Dlite,0,0,-90
LE-3Dlite,1,0,0
LE-3Dlite,2,90,0
LE-3DliteMkII,0,0,-90
LE-3DliteMkII,1,0,0
LE-3DliteMkII,2,90,0
LM35,0,0,0
Nanometrics Trillium 120QA,0,0,-90
Nanometrics Trillium 120QA,1,0,0
Nanometrics Trillium 120QA,2,90,0
SDP,0,0,0
SDP,1,90,0
SDP,2,0,-90
SSA-320,0,0,0
SSA-320,1,90,0
SSA-320,2,0,-90
STS-2,0,0,-90
STS-2,1,0,0
STS-2,2,90,0
Scout Hydrophone,0,0,0
