Station Code,Location Code,Datalogger Place,Offset,Length,Start Date,End Date
ABAZ,10,Whangaparaoa Navy Base Q330,0,3,2008-10-12T15:00:00Z,9999-01-01T00:00:00Z
AC1A,10,Wards Pass #1 Orion,0,3,2001-09-11T15:00:01Z,2002-01-22T09:00:00Z
AC2A,10,Wards Pass #2 Orion,0,3,2001-09-12T14:00:01Z,2002-01-22T09:00:00Z
AC3A,10,Acheron Orion,0,3,2001-07-31T11:00:00Z,2002-01-22T10:00:00Z
AC5A,10,Wards Pass #5 Orion,0,3,2001-07-31T16:00:00Z,2001-11-27T10:00:00Z
AIRO,10,Airedale Taurus,0,3,2014-09-17T15:00:00Z,2015-04-14T14:00:00Z
AKCZ,10,Akaroa Harbour Q330,0,3,2012-02-29T11:00:00Z,9999-01-01T00:00:00Z
ALRZ,10,Allen Road Cliffs Q330,0,3,2007-11-06T13:00:00Z,9999-01-01T00:00:00Z
AMCZ,10,"Amberley, Maskells Rd Q330",0,3,2012-06-26T11:00:01Z,9999-01-01T00:00:00Z
AMF,10,Ambury Farm Q330,0,3,2008-03-11T09:01:00Z,2008-03-13T11:00:00Z
AN01,10,"Cape Bird, Antarctica Orion",0,3,1999-10-29T11:00:02Z,2000-01-21T10:59:59Z
AN02,10,"Cape Roberts, Antarctica Orion",0,3,1999-11-01T11:00:02Z,2000-01-21T11:00:00Z
AN04,10,"Marble Point, Antarctica Orion",0,3,1999-11-02T11:00:02Z,2000-01-21T11:00:00Z
AN05,10,"Butter Point, Antarctica Orion",0,3,1999-11-02T11:00:02Z,2000-01-21T11:00:00Z
AN06,10,"Lower Wright Valley, Antarctica Orion",0,3,1999-11-07T11:00:02Z,2000-01-21T11:00:00Z
AN07,10,"Labyrinth, Antarctica Orion",0,3,1999-11-07T11:00:02Z,2000-01-22T11:00:00Z
AN08,10,"Mount Fleming, Antarctica Orion",0,3,1999-11-08T11:00:02Z,2000-01-22T11:00:00Z
AN10,10,"Lake Chad, Antarctica Orion",0,3,1999-12-06T11:00:02Z,2000-01-20T11:00:00Z
ANWZ,10,Angora Road Q330,0,3,2008-08-06T12:05:00Z,9999-01-01T00:00:00Z
APZ,10,The Paps Q330,0,3,2006-05-06T15:23:54Z,2007-05-02T10:00:00Z
APZ,10,The Paps Q330,3,3,2007-05-02T10:00:01Z,9999-01-01T00:00:00Z
APZ,20,The Paps Q330,0,3,2007-05-02T10:00:01Z,9999-01-01T00:00:00Z
ARAZ,10,Aratiatia Landcorp Farm Q330,0,3,2007-05-20T11:00:00Z,9999-01-01T00:00:00Z
ARCZ,10,Arundel Q330s,0,3,2014-05-12T12:05:00Z,9999-01-01T00:00:00Z
ARHZ,10,Aropaoanui Q330,0,3,2010-03-11T08:16:00Z,9999-01-01T00:00:00Z
AUCT,40,Devonport Naval Base Q330,0,1,2009-03-26T01:10:02Z,9999-01-01T00:00:00Z
AUCT,41,Devonport Naval Base Q330,1,1,2009-03-26T01:10:02Z,9999-01-01T00:00:00Z
AVIO,10,Aviemore Taurus,0,3,2014-09-17T10:30:00Z,2015-04-14T12:00:00Z
AWAZ,10,Awhitu Peninsula Q330,0,3,2010-12-13T12:00:00Z,9999-01-01T00:00:00Z
BB0,10,"Mount Priestley, David Glacier, Antarctica Orion",0,3,2003-11-11T11:00:00Z,2004-01-20T11:00:00Z
BB1,10,"Mount Joyce, David Glacier, Antarctica Orion",0,3,2003-11-12T11:00:01Z,2004-01-21T11:00:00Z
BB2,10,"Hughes Bluff, David Glacier, Antarctica Orion",0,3,2003-11-16T11:00:00Z,2004-01-21T11:00:00Z
BB4,10,"Trio, David Glacier, Antarctica Orion",0,3,2003-11-13T11:00:00Z,2004-01-20T11:00:00Z
BBCX,10,Breaker Bay Cliff Q330s,0,3,2015-03-23T11:10:00Z,9999-01-01T00:00:00Z
BBCX,20,Breaker Bay Cliff Q330s,0,3,2014-08-24T12:05:00Z,9999-01-01T00:00:00Z
BCKZ,30,Raoul Island Boat Cove Q330,2,1,2009-05-17T13:00:00Z,9999-01-01T00:00:00Z
BCOF,10,North of Bare Cone Taurus,0,3,2007-10-17T09:20:02Z,2007-11-27T09:00:00Z
BFZ,10,Birch Farm Q330hr,0,3,2008-11-09T09:13:01Z,9999-01-01T00:00:00Z
BFZ,10,Birch Farm Q4120,3,3,2003-07-29T17:00:00Z,2008-11-09T09:13:00Z
BFZ,20,Birch Farm Q330hr,3,3,2008-11-09T09:13:01Z,9999-01-01T00:00:00Z
BFZ,20,Birch Farm Q4120,0,3,2003-07-29T17:00:00Z,2008-11-09T09:13:00Z
BHHZ,10,Black Hill Station Q330,0,3,2008-06-11T12:00:01Z,9999-01-01T00:00:00Z
BHW,10,Baring Head Q330,0,3,2003-06-13T22:00:00Z,9999-01-01T00:00:00Z
