Manufacturer,Make,Model,Serial Number,Notes
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3DE-20733,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3DE-20734,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3DE-20735,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3DE-20736,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3DE-20737,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3DE-20738,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3DE-20739,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3DE-20740,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3DE-20741,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3DE-20742,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3DE-20743,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3DE-20745,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3DE-20746,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3DE-20747,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3DE-20748,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3DE-20749,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20752e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20753e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20754e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20755e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20756e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20757e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20758e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20759e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20760e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20761e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20762e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20763e,
