Datalogger Make,Datalogger Model,Serial Number,Deployment Place,Installation Date,Removal Date
CSI,CUSP-Me BOX,3DE-20733,Tunnel Road Rail Overpass Cusp-Me,2013-07-31T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,3DE-20734,Tunnel Road Rail Overpass Cusp-Me,2013-07-31T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,3DE-20735,Tunnel Road Rail Overpass Cusp-Me,2013-07-31T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,3DE-20736,Tunnel Road Rail Overpass Cusp-Me,2013-07-31T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,3DE-20737,Tunnel Road Rail Overpass Cusp-Me,2013-07-31T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,3DE-20738,Tunnel Road Rail Overpass Cusp-Me,2013-07-31T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,3DE-20739,Tunnel Road Rail Overpass Cusp-Me,2013-07-31T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,3DE-20740,Tunnel Road Rail Overpass Cusp-Me,2013-07-31T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,3DE-20741,Tunnel Road Road Overpass Cusp-Me,2013-07-31T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,3DE-20742,Tunnel Road Road Overpass Cusp-Me,2013-07-31T12:00:01Z,2014-06-30T12:00:01Z
CSI,CUSP-Me BOX,3DE-20742,Wellington Stout Street Building Array (MBIE) Cusp-Me,2014-06-30T12:00:02Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,3DE-20743,Tunnel Road Road Overpass Cusp-Me,2013-07-31T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,3DE-20745,Tunnel Road Road Overpass Cusp-Me,2013-07-31T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,3DE-20746,Tunnel Road Road Overpass Cusp-Me,2013-07-31T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,3DE-20747,Tunnel Road Road Overpass Cusp-Me,2013-07-31T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,3DE-20748,Tunnel Road Road Overpass Cusp-Me,2013-07-31T12:00:01Z,9999-01-01T00:00:00Z
