Datalogger Make,Datalogger Model,Serial Number,Deployment Place,Deployment Role,Installation Date,Removal Date
GNSScience,EARSS/16,204,Taranaki Emergency Management Office,EARSS Network,1993-12-14T23:51:00Z,2002-09-18T21:00:00Z
GNSScience,EARSS/16,207,Chateau Observatory,EARSS Network,1993-11-12T03:00:00Z,1998-06-11T09:00:00Z
GNSScience,EARSS/16,209,Wellington Dominion Observatory,EARSS Network,1995-03-10T23:59:00Z,1998-01-27T01:00:00Z
GNSScience,EARSS/16,209,Victoria University,EARSS Network,1998-03-02T03:48:00Z,2004-06-08T01:00:00Z
GNSScience,EARSS/3,001,Wellington Dominion Observatory,Earss,1987-08-18T10:48:00Z,2003-09-19T23:10:00Z
GNSScience,EARSS/3,002,Mangahao Dams,Short Period,1988-01-19T03:23:00Z,1990-01-11T21:18:00Z
GNSScience,EARSS/3,002,Matahi Valley,Short Period,1990-10-09T06:44:00Z,2001-12-20T06:52:00Z
GNSScience,EARSS/3,003,Pongaroa,Short Period,1988-09-08T01:43:00Z,1996-06-18T20:09:00Z
GNSScience,EARSS/3,004,Karapiro Power Station,Short Period,1988-09-30T08:21:00Z,1988-09-30T21:50:00Z
GNSScience,EARSS/3,004,Top House Station,Short Period,1989-12-02T09:50:00Z,1990-01-21T14:02:00Z
GNSScience,EARSS/3,004,Kuaotunu,Short Period,1990-10-11T12:51:00Z,2003-05-05T18:52:00Z
GNSScience,EARSS/3,006,Hicks Bay Motel Lodge,Short Period,1988-09-20T04:59:00Z,2004-03-01T22:10:00Z
GNSScience,EARSS/3,007,Kahutara,Short Period,1988-12-08T11:04:00Z,1989-11-17T16:55:00Z
GNSScience,EARSS/3,007,Waipu Caves,Short Period,1990-10-13T22:56:00Z,1999-06-25T02:45:00Z
GNSScience,EARSS/3,008,Lake Taylor Station,Short Period,1989-10-12T08:20:00Z,2004-03-22T19:39:00Z
GNSScience,EARSS/3,009,Glencoe Station,Short Period,1989-10-13T08:40:00Z,1999-01-05T20:45:00Z
GNSScience,EARSS/3,010,Whitehall,Short Period,1989-12-17T11:06:00Z,1998-12-07T18:14:00Z
GNSScience,EARSS/3,011,Puketiti,Short Period,1989-12-01T00:38:00Z,2003-12-16T06:27:00Z
GNSScience,EARSS/3,012,Cobb Dam Surge Chamber,Short Period,1989-12-02T16:12:00Z,1990-01-24T17:41:00Z
GNSScience,EARSS/3,012,Lake Moeraki Wilderness Lodge,Short Period,1990-11-08T10:19:00Z,1991-02-21T05:39:00Z
