Manufacturer,Make,Model,Serial Number,Notes
Kinemetrics Inc.,Kinemetrics,BASALT 8X DATALOGGER,1625,
Kinemetrics Inc.,Kinemetrics,BASALT 8X DATALOGGER,1626,
Kinemetrics Inc.,Kinemetrics,BASALT 8X DATALOGGER,1627,
Kinemetrics Inc.,Kinemetrics,Obsidian 4X Datalogger,139,
Kinemetrics Inc.,Kinemetrics,Obsidian 4X Datalogger,372,
Kinemetrics Inc.,Kinemetrics,Obsidian 4X Datalogger,373,
Kinemetrics Inc.,Kinemetrics,Q330/3,280,
Kinemetrics Inc.,Kinemetrics,Q330/3,299,
Kinemetrics Inc.,Kinemetrics,Q330/3,300,
Kinemetrics Inc.,Kinemetrics,Q330/3,301,
Kinemetrics Inc.,Kinemetrics,Q330/3,307,
Kinemetrics Inc.,Kinemetrics,Q330/3,308,
Kinemetrics Inc.,Kinemetrics,Q330/3,309,
Kinemetrics Inc.,Kinemetrics,Q330/3,310,
Kinemetrics Inc.,Kinemetrics,Q330/3,311,
Kinemetrics Inc.,Kinemetrics,Q330/3,313,
Kinemetrics Inc.,Kinemetrics,Q330/3,335,
Kinemetrics Inc.,Kinemetrics,Q330/3,336,
Kinemetrics Inc.,Kinemetrics,Q330/3,337,
Kinemetrics Inc.,Kinemetrics,Q330/3,338,
Kinemetrics Inc.,Kinemetrics,Q330/3,339,
Kinemetrics Inc.,Kinemetrics,Q330/3,340,
Kinemetrics Inc.,Kinemetrics,Q330/3,341,
Kinemetrics Inc.,Kinemetrics,Q330/3,342,
Kinemetrics Inc.,Kinemetrics,Q330/3,345,
Kinemetrics Inc.,Kinemetrics,Q330/3,346,
Kinemetrics Inc.,Kinemetrics,Q330/3,378,
Kinemetrics Inc.,Kinemetrics,Q330/3,415,
Kinemetrics Inc.,Kinemetrics,Q330/3,435,
Kinemetrics Inc.,Kinemetrics,Q330/3,452,
Kinemetrics Inc.,Kinemetrics,Q330/3,461,
Kinemetrics Inc.,Kinemetrics,Q330/3,465,
Kinemetrics Inc.,Kinemetrics,Q330/3,507,
Kinemetrics Inc.,Kinemetrics,Q330/3,528,
Kinemetrics Inc.,Kinemetrics,Q330/3,529,
Kinemetrics Inc.,Kinemetrics,Q330/3,532,
Kinemetrics Inc.,Kinemetrics,Q330/3,533,
Kinemetrics Inc.,Kinemetrics,Q330/3,538,
Kinemetrics Inc.,Kinemetrics,Q330/3,540,
Kinemetrics Inc.,Kinemetrics,Q330/3,541,
Kinemetrics Inc.,Kinemetrics,Q330/3,542,
Kinemetrics Inc.,Kinemetrics,Q330/3,543,
Kinemetrics Inc.,Kinemetrics,Q330/3,550,
Kinemetrics Inc.,Kinemetrics,Q330/3,551,
Kinemetrics Inc.,Kinemetrics,Q330/3,552,
Kinemetrics Inc.,Kinemetrics,Q330/3,553,
Kinemetrics Inc.,Kinemetrics,Q330/3,559,
Kinemetrics Inc.,Kinemetrics,Q330/3,937,
Kinemetrics Inc.,Kinemetrics,Q330/3,938,
Kinemetrics Inc.,Kinemetrics,Q330/3,939,
Kinemetrics Inc.,Kinemetrics,Q330/3,942,
Kinemetrics Inc.,Kinemetrics,Q330/3,943,
Kinemetrics Inc.,Kinemetrics,Q330/3,944,
Kinemetrics Inc.,Kinemetrics,Q330/3,945,
Kinemetrics Inc.,Kinemetrics,Q330/3,946,
Kinemetrics Inc.,Kinemetrics,Q330/3,948,
Kinemetrics Inc.,Kinemetrics,Q330/3,951,
Kinemetrics Inc.,Kinemetrics,Q330/3,952,
Kinemetrics Inc.,Kinemetrics,Q330/3,953,
Kinemetrics Inc.,Kinemetrics,Q330/3,954,
Kinemetrics Inc.,Kinemetrics,Q330/3,955,
Kinemetrics Inc.,Kinemetrics,Q330/3,956,
Kinemetrics Inc.,Kinemetrics,Q330/3,957,
Kinemetrics Inc.,Kinemetrics,Q330/3,958,
Kinemetrics Inc.,Kinemetrics,Q330/3,959,
Kinemetrics Inc.,Kinemetrics,Q330/3,960,
Kinemetrics Inc.,Kinemetrics,Q330/3,961,
Kinemetrics Inc.,Kinemetrics,Q330/3,1177,
Kinemetrics Inc.,Kinemetrics,Q330/3,1178,
Kinemetrics Inc.,Kinemetrics,Q330/3,1179,
Kinemetrics Inc.,Kinemetrics,Q330/3,1180,
Kinemetrics Inc.,Kinemetrics,Q330/3,1181,
Kinemetrics Inc.,Kinemetrics,Q330/3,1182,
Kinemetrics Inc.,Kinemetrics,Q330/3,1183,
Kinemetrics Inc.,Kinemetrics,Q330/3,1184,
Kinemetrics Inc.,Kinemetrics,Q330/3,1185,
Kinemetrics Inc.,Kinemetrics,Q330/3,1186,
Kinemetrics Inc.,Kinemetrics,Q330/3,1187,
Kinemetrics Inc.,Kinemetrics,Q330/3,1188,
Kinemetrics Inc.,Kinemetrics,Q330/3,1189,
Kinemetrics Inc.,Kinemetrics,Q330/3,1190,
Kinemetrics Inc.,Kinemetrics,Q330/3,1191,
Kinemetrics Inc.,Kinemetrics,Q330/3,1191,
Kinemetrics Inc.,Kinemetrics,Q330/3,1193,
Kinemetrics Inc.,Kinemetrics,Q330/3,1194,
Kinemetrics Inc.,Kinemetrics,Q330/3,1195,
Kinemetrics Inc.,Kinemetrics,Q330/3,1196,
Kinemetrics Inc.,Kinemetrics,Q330/3,1197,
Kinemetrics Inc.,Kinemetrics,Q330/3,2108,
Kinemetrics Inc.,Kinemetrics,Q330/3,2141,
Kinemetrics Inc.,Kinemetrics,Q330/3,2216,
Kinemetrics Inc.,Kinemetrics,Q330/3,2218,
Kinemetrics Inc.,Kinemetrics,Q330/3,2220,
Kinemetrics Inc.,Kinemetrics,Q330/3,2232,
Kinemetrics Inc.,Kinemetrics,Q330/3,2236,
Kinemetrics Inc.,Kinemetrics,Q330/3,2237,
Kinemetrics Inc.,Kinemetrics,Q330/3,2238,
Kinemetrics Inc.,Kinemetrics,Q330/3,2239,
Kinemetrics Inc.,Kinemetrics,Q330/3,2321,
Kinemetrics Inc.,Kinemetrics,Q330/3,2322,
Kinemetrics Inc.,Kinemetrics,Q330/3,2323,
Kinemetrics Inc.,Kinemetrics,Q330/3,2324,
Kinemetrics Inc.,Kinemetrics,Q330/3,2325,
Kinemetrics Inc.,Kinemetrics,Q330/3,2327,
Kinemetrics Inc.,Kinemetrics,Q330/3,2328,
Kinemetrics Inc.,Kinemetrics,Q330/3,2329,
Kinemetrics Inc.,Kinemetrics,Q330/3,2330,
Kinemetrics Inc.,Kinemetrics,Q330/3,2331,
Kinemetrics Inc.,Kinemetrics,Q330/3,2332,
Kinemetrics Inc.,Kinemetrics,Q330/3,2333,
Kinemetrics Inc.,Kinemetrics,Q330/3,2334,
Kinemetrics Inc.,Kinemetrics,Q330/3,2335,
Kinemetrics Inc.,Kinemetrics,Q330/3,2336,
Kinemetrics Inc.,Kinemetrics,Q330/3,2337,
Kinemetrics Inc.,Kinemetrics,Q330/3,2339,
Kinemetrics Inc.,Kinemetrics,Q330/3,2340,
Kinemetrics Inc.,Kinemetrics,Q330/3,2342,
Kinemetrics Inc.,Kinemetrics,Q330/3,2349,
Kinemetrics Inc.,Kinemetrics,Q330/3,2350,
Kinemetrics Inc.,Kinemetrics,Q330/3,2356,
Kinemetrics Inc.,Kinemetrics,Q330/3,2357,
Kinemetrics Inc.,Kinemetrics,Q330/3,2358,
Kinemetrics Inc.,Kinemetrics,Q330/3,2361,
Kinemetrics Inc.,Kinemetrics,Q330/3,2363,
Kinemetrics Inc.,Kinemetrics,Q330/3,2364,
Kinemetrics Inc.,Kinemetrics,Q330/3,2366,
Kinemetrics Inc.,Kinemetrics,Q330/3,2367,
Kinemetrics Inc.,Kinemetrics,Q330/3,2368,
Kinemetrics Inc.,Kinemetrics,Q330/3,2455,
Kinemetrics Inc.,Kinemetrics,Q330/3,2460,
Kinemetrics Inc.,Kinemetrics,Q330/3,2462,
Kinemetrics Inc.,Kinemetrics,Q330/3,2464,
Kinemetrics Inc.,Kinemetrics,Q330/3,2466,
Kinemetrics Inc.,Kinemetrics,Q330/3,2471,
Kinemetrics Inc.,Kinemetrics,Q330/3,2537,
Kinemetrics Inc.,Kinemetrics,Q330/3,2542,
Kinemetrics Inc.,Kinemetrics,Q330/3,2546,
Kinemetrics Inc.,Kinemetrics,Q330/3,2548,
Kinemetrics Inc.,Kinemetrics,Q330/3,2551,
Kinemetrics Inc.,Kinemetrics,Q330/3,2552,
Kinemetrics Inc.,Kinemetrics,Q330/3,2553,
Kinemetrics Inc.,Kinemetrics,Q330/3,2554,
Kinemetrics Inc.,Kinemetrics,Q330/3,2555,
Kinemetrics Inc.,Kinemetrics,Q330/3,2558,
Kinemetrics Inc.,Kinemetrics,Q330/3,2559,
Kinemetrics Inc.,Kinemetrics,Q330/3,2563,
Kinemetrics Inc.,Kinemetrics,Q330/3,2564,
