Datalogger Make,Datalogger Model,Serial Number,Deployment Place,Installation Date,Removal Date
Kinemetrics,BASALT 8X DATALOGGER,1625,Richmond Hill Borehole Basalt,2013-07-03T00:00:03Z,2014-07-22T03:00:00Z
Kinemetrics,BASALT 8X DATALOGGER,1625,Richmond Hill Borehole Basalt,2014-10-30T00:30:01Z,2015-09-22T00:30:05Z
Kinemetrics,BASALT 8X DATALOGGER,1626,Richmond Hill Borehole Basalt,2013-01-28T00:00:01Z,2013-06-04T01:00:00Z
Kinemetrics,BASALT 8X DATALOGGER,1626,Redcliffs Borehole Basalt,2013-09-03T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT 8X DATALOGGER,1627,Redcliffs Borehole Basalt,2013-01-28T00:00:01Z,2013-09-03T00:00:00Z
Kinemetrics,BASALT 8X DATALOGGER,1627,Richmond Hill Borehole Basalt,2014-07-22T03:00:01Z,2014-10-30T00:30:00Z
Kinemetrics,Obsidian 4X Datalogger,139,Deep Cove Obsidian,2015-10-22T05:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,280,Wellington Dominion Observatory Q330,2003-04-08T00:00:00Z,2008-12-18T01:00:00Z
Kinemetrics,Q330/3,280,Ohakea Q330,2011-03-24T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,299,Rangitukua Reserve Q330,2003-03-25T03:00:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,300,Welcome Bay Road Q330,2003-02-18T08:00:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,301,Waihaha Q330,2003-04-03T05:00:00Z,2009-06-05T00:53:00Z
Kinemetrics,Q330/3,301,East Tamaki Reservoir Q330,2010-02-10T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,307,Kakaramea Q330,2003-04-29T04:00:00Z,2006-02-28T00:00:00Z
Kinemetrics,Q330/3,307,Mount Ngauruhoe 2006 Portable NGA1 Q330,2006-06-07T22:50:00Z,2007-04-20T04:00:00Z
Kinemetrics,Q330/3,307,Moumoukai Q330,2007-05-07T01:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,308,Hinemaiaia Q330,2003-04-15T13:00:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,309,Whakaroa Q330,2003-03-26T05:00:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,310,Rihia Road Q330,2003-04-04T10:00:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,311,Mount Morrison Q330,2003-06-17T07:50:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,313,Cannon Point Q330,2003-05-20T02:00:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,335,Makatiti Q330,2003-05-23T03:00:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,336,Baring Head Q330,2003-06-14T10:00:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,337,Paruwai Farm Q330,2004-07-14T00:00:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,338,Pokaka Q330,2005-03-15T21:00:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,339,Whakapapa Q330,2003-12-05T05:00:00Z,2010-11-30T22:49:00Z
Kinemetrics,Q330/3,339,Aratiatia Landcorp Farm Q330,2011-03-06T22:00:01Z,2011-06-20T04:00:00Z
Kinemetrics,Q330/3,339,North Egmont Visitor Centre Q330,2011-07-20T04:10:01Z,2013-12-05T03:00:00Z
Kinemetrics,Q330/3,340,Makara Bunker Q330,2003-11-13T00:00:00Z,2008-06-17T04:40:00Z
Kinemetrics,Q330/3,340,Pakihiroa Q330,2011-01-13T00:05:01Z,2014-11-25T00:00:00Z
Kinemetrics,Q330/3,341,Moikau Station Q330,2003-08-28T20:50:00Z,2004-08-13T00:00:00Z
Kinemetrics,Q330/3,341,Angora Road Q330,2008-08-07T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,342,Kapiti Island Q330,2004-08-24T03:00:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,345,Oturere Q330,2006-06-09T00:00:01Z,2007-03-20T00:00:00Z
Kinemetrics,Q330/3,345,Otaki Gorge Q330,2008-01-29T21:25:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,346,Tukino Q330,2004-06-01T21:00:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,378,Turoa Top of Giant Q330,2005-03-16T01:00:00Z,2009-04-14T21:15:00Z
Kinemetrics,Q330/3,378,Raukumara Range Q330,2011-05-18T22:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,415,Wahianoa Q330,2005-02-22T20:54:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,435,Kapiti Island Q330,2004-06-09T23:00:00Z,2004-08-24T02:59:59Z
Kinemetrics,Q330/3,435,Pukenui Q330,2008-02-19T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,452,Moawhango Dam Q330,2004-05-30T15:00:00Z,2013-05-03T00:00:00Z
Kinemetrics,Q330/3,461,West Tongariro Q330,2004-03-04T23:00:00Z,2013-09-17T23:00:00Z
Kinemetrics,Q330/3,461,Pukeiti Hill Q330,2013-12-04T21:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,465,Blackbirch Station Q330,2003-12-09T00:00:00Z,2006-01-18T20:30:00Z
