Manufacturer,Make,Model,Serial Number,Notes
Nanometrics Inc.,Nanometrics,ORION,0144,
Nanometrics Inc.,Nanometrics,ORION,0145,
Nanometrics Inc.,Nanometrics,ORION,0160,
Nanometrics Inc.,Nanometrics,ORION,0163,
Nanometrics Inc.,Nanometrics,ORION,0164,
Nanometrics Inc.,Nanometrics,ORION,0165,
Nanometrics Inc.,Nanometrics,ORION,0167,
Nanometrics Inc.,Nanometrics,ORION,0168,
Nanometrics Inc.,Nanometrics,ORION,0169,
Nanometrics Inc.,Nanometrics,ORION,0173,
Nanometrics Inc.,Nanometrics,ORION,0177,
Nanometrics Inc.,Nanometrics,ORION,0178,
Nanometrics Inc.,Nanometrics,ORION,0201,
Nanometrics Inc.,Nanometrics,ORION,0202,
Nanometrics Inc.,Nanometrics,ORION,0203,
Nanometrics Inc.,Nanometrics,ORION,0205,
Nanometrics Inc.,Nanometrics,ORION,0205,
Nanometrics Inc.,Nanometrics,ORION,0206,
Nanometrics Inc.,Nanometrics,ORION,0233,
Nanometrics Inc.,Nanometrics,ORION,0235,
Nanometrics Inc.,Nanometrics,ORION,0251,
Nanometrics Inc.,Nanometrics,ORION,0252,
Nanometrics Inc.,Nanometrics,ORION,0253,
Nanometrics Inc.,Nanometrics,ORION,0260,
Nanometrics Inc.,Nanometrics,ORION,0278,
Nanometrics Inc.,Nanometrics,ORION,0289,
Nanometrics Inc.,Nanometrics,ORION,0289,
Nanometrics Inc.,Nanometrics,ORION,0290,
Nanometrics Inc.,Nanometrics,ORION,0292,
Nanometrics Inc.,Nanometrics,ORION,0307,
Nanometrics Inc.,Nanometrics,ORION,TMP_6044,
Nanometrics Inc.,Nanometrics,ORION,TMP_6045,
Nanometrics Inc.,Nanometrics,ORION,TMP_6046,
Nanometrics Inc.,Nanometrics,Taurus,403,
Nanometrics Inc.,Nanometrics,Taurus,436,
Nanometrics Inc.,Nanometrics,Taurus,461,
Nanometrics Inc.,Nanometrics,Taurus,472,
Nanometrics Inc.,Nanometrics,Taurus,483,
Nanometrics Inc.,Nanometrics,Taurus,487,
Nanometrics Inc.,Nanometrics,Taurus,492,
Nanometrics Inc.,Nanometrics,Taurus,501,destroyed in Tongariro eruption
Nanometrics Inc.,Nanometrics,Taurus,504,
Nanometrics Inc.,Nanometrics,Taurus,554,
Nanometrics Inc.,Nanometrics,Taurus,576,
Nanometrics Inc.,Nanometrics,Taurus,582,
Nanometrics Inc.,Nanometrics,Taurus,584,
Nanometrics Inc.,Nanometrics,Taurus,589,
Nanometrics Inc.,Nanometrics,Taurus,592,
Nanometrics Inc.,Nanometrics,Taurus,599,
Nanometrics Inc.,Nanometrics,Taurus,602,
Nanometrics Inc.,Nanometrics,Taurus,603,
Nanometrics Inc.,Nanometrics,Taurus,606,
Nanometrics Inc.,Nanometrics,Taurus,607,
Nanometrics Inc.,Nanometrics,Taurus,608,
Nanometrics Inc.,Nanometrics,Taurus,609,
Nanometrics Inc.,Nanometrics,Taurus,610,
Nanometrics Inc.,Nanometrics,Taurus,611,
Nanometrics Inc.,Nanometrics,Taurus,612,
Nanometrics Inc.,Nanometrics,Taurus,614,
Nanometrics Inc.,Nanometrics,Taurus,617,
Nanometrics Inc.,Nanometrics,Taurus,618,
Nanometrics Inc.,Nanometrics,Taurus,620,
Nanometrics Inc.,Nanometrics,Taurus,621,
Nanometrics Inc.,Nanometrics,Taurus,704,
Nanometrics Inc.,Nanometrics,Taurus,731,
Nanometrics Inc.,Nanometrics,Taurus,735,
Nanometrics Inc.,Nanometrics,Taurus,736,
Nanometrics Inc.,Nanometrics,Taurus,743,
Nanometrics Inc.,Nanometrics,Taurus,1600,
Nanometrics Inc.,Nanometrics,Taurus,1614,
Nanometrics Inc.,Nanometrics,Taurus,1620,
Nanometrics Inc.,Nanometrics,Taurus,1626,
Nanometrics Inc.,Nanometrics,Taurus,1630,
Nanometrics Inc.,Nanometrics,Taurus,1648,
Nanometrics Inc.,Nanometrics,Taurus,1655,
Nanometrics Inc.,Nanometrics,Taurus,1667,
Nanometrics Inc.,Nanometrics,Taurus,1675,
Nanometrics Inc.,Nanometrics,Taurus,1687,
Nanometrics Inc.,Nanometrics,Taurus,1688,
Nanometrics Inc.,Nanometrics,Taurus,1690,
Nanometrics Inc.,Nanometrics,Taurus,1692,
Nanometrics Inc.,Nanometrics,Taurus,1693,
Nanometrics Inc.,Nanometrics,Taurus,1694,
Nanometrics Inc.,Nanometrics,Taurus,2192,
Nanometrics Inc.,Nanometrics,Taurus,2424,
Nanometrics Inc.,Nanometrics,Taurus,2425,
Nanometrics Inc.,Nanometrics,Taurus,2426,
Nanometrics Inc.,Nanometrics,Taurus,002848,
Nanometrics Inc.,Nanometrics,Taurus,002849,
Nanometrics Inc.,Nanometrics,Taurus,002850,
Nanometrics Inc.,Nanometrics,Taurus,002855,
Nanometrics Inc.,Nanometrics,Taurus,002857,
Nanometrics Inc.,Nanometrics,Taurus,003102,
Nanometrics Inc.,Nanometrics,Taurus,003103,
Nanometrics Inc.,Nanometrics,Taurus,003104,
Nanometrics Inc.,Nanometrics,Taurus,003105,
Nanometrics Inc.,Nanometrics,Taurus,003106,
Nanometrics Inc.,Nanometrics,Taurus,003107,
Nanometrics Inc.,Nanometrics,Taurus,003108,
Nanometrics Inc.,Nanometrics,Taurus,003109,
Nanometrics Inc.,Nanometrics,Taurus,003110,
Nanometrics Inc.,Nanometrics,Taurus,003111,
Nanometrics Inc.,Nanometrics,Taurus,003288,
Nanometrics Inc.,Nanometrics,Taurus,003291,
Nanometrics Inc.,Nanometrics,Taurus,003298,
Nanometrics Inc.,Nanometrics,Taurus,3319,
Nanometrics Inc.,Nanometrics,Taurus,3536,
Nanometrics Inc.,Nanometrics,Taurus,3538,
Nanometrics Inc.,Nanometrics,Taurus,3541,
Nanometrics Inc.,Nanometrics,Taurus,3542,
Nanometrics Inc.,Nanometrics,Taurus,3543,
Nanometrics Inc.,Nanometrics,Taurus,3544,
Nanometrics Inc.,Nanometrics,Taurus,3547,
Nanometrics Inc.,Nanometrics,Taurus,3548,
Nanometrics Inc.,Nanometrics,Taurus,3550,
Nanometrics Inc.,Nanometrics,Taurus,3551,
Nanometrics Inc.,Nanometrics,Taurus,3648,
Nanometrics Inc.,Nanometrics,Taurus,3662,
Nanometrics Inc.,Nanometrics,Taurus,3668,
Nanometrics Inc.,Nanometrics,Taurus,3673,
Nanometrics Inc.,Nanometrics,Taurus,3745,
Nanometrics Inc.,Nanometrics,Taurus,3747,
Nanometrics Inc.,Nanometrics,Taurus,3759,
