Datalogger Make,Datalogger Model,Serial Number,Deployment Place,Deployment Role,Installation Date,Removal Date
Nanometrics,ORION,0144,"Marble Point, Antarctica",,1999-11-03T00:00:01Z,2000-01-22T00:00:00Z
Nanometrics,ORION,0145,"Table Mountain, Antarctica",,1999-12-07T00:00:01Z,2000-01-21T00:00:00Z
Nanometrics,ORION,0160,"Cape Bird, Antarctica",,1999-10-30T00:00:01Z,2000-01-22T00:00:00Z
Nanometrics,ORION,0163,"Mount Fleming, Antarctica",,1999-11-09T00:00:01Z,2000-01-23T00:00:00Z
Nanometrics,ORION,0164,"Lower Wright Valley, Antarctica",,1999-11-08T00:00:01Z,2000-01-22T00:00:00Z
Nanometrics,ORION,0165,"Butter Point, Antarctica",,1999-11-03T00:00:01Z,2000-01-22T00:00:00Z
Nanometrics,ORION,0167,"Lake Chad, Antarctica",,1999-12-07T00:00:01Z,2000-01-21T00:00:00Z
Nanometrics,ORION,0168,"Sperm Bluff, Antarctica",,1999-11-03T00:00:01Z,2000-01-22T00:00:00Z
Nanometrics,ORION,0169,"Labyrinth, Antarctica",,1999-11-08T00:00:01Z,2000-01-23T00:00:00Z
Nanometrics,ORION,0173,"Cape Roberts, Antarctica",,1999-11-02T00:00:01Z,2000-01-22T00:00:00Z
Nanometrics,ORION,0177,Tikorangi,,2002-08-28T19:48:00Z,2003-01-20T09:54:00Z
Nanometrics,ORION,0178,Moumoukai,,2002-08-30T00:20:00Z,2003-01-19T18:00:00Z
Nanometrics,ORION,0201,Te Tarata,,2001-01-10T12:20:00Z,2001-04-28T10:45:00Z
Nanometrics,ORION,0201,Acheron #3,,2001-07-31T23:00:00Z,2002-01-22T23:00:00Z
Nanometrics,ORION,0201,"Mount Priestley, David Glacier, Antarctica",,2003-11-17T00:00:01Z,2004-01-21T00:00:00Z
Nanometrics,ORION,0201,Totara Road,,2004-03-19T02:30:00Z,2004-12-22T00:01:00Z
Nanometrics,ORION,0201,MED1,,2005-01-17T22:00:01Z,2005-03-30T00:00:00Z
Nanometrics,ORION,0202,Glen Falls,,2001-01-23T00:00:00Z,2001-06-28T00:00:00Z
Nanometrics,ORION,0203,Tataraakina,,2001-01-15T00:00:00Z,2001-06-27T00:00:00Z
Nanometrics,ORION,0205,Glendale Station,,2001-01-13T00:00:00Z,2001-06-28T00:00:00Z
Nanometrics,ORION,0206,Papakiri,,2001-01-14T00:00:00Z,2001-06-28T00:00:00Z
Nanometrics,ORION,0233,Kiwitahi,,2001-01-12T14:41:00Z,2001-06-25T17:40:00Z
Nanometrics,ORION,0233,"Glenlee, Awatere Valley #3",,2001-07-30T22:00:01Z,2002-01-22T03:00:00Z
Nanometrics,ORION,0233,"Mount Joyce, David Glacier, Antarctica",,2003-11-13T00:00:01Z,2004-01-22T00:00:00Z
Nanometrics,ORION,0233,East Paeroa,,2004-03-22T23:00:00Z,2005-02-01T01:00:00Z
Nanometrics,ORION,0235,Lochinver,,2001-01-11T20:41:00Z,2001-06-25T21:06:00Z
Nanometrics,ORION,0235,Glenlee,,2001-07-29T00:00:00Z,2002-01-22T04:00:00Z
Nanometrics,ORION,0235,Matakana,,2002-08-28T12:44:00Z,2003-01-18T02:20:00Z
Nanometrics,ORION,0235,"Hughes Bluff, David Glacier, Antarctica",,2003-11-17T00:00:00Z,2004-01-22T00:00:00Z
Nanometrics,ORION,0235,Parsons Road,,2004-03-12T02:00:00Z,2005-02-01T00:01:00Z
Nanometrics,ORION,0251,Tauhara (Mountain Road),,2001-01-11T20:41:00Z,2001-06-25T16:25:00Z
Nanometrics,ORION,0251,"Mount Priestley, David Glacier, Antarctica",,2003-11-12T00:00:00Z,2003-11-17T00:00:00Z
Nanometrics,ORION,0252,Rangitaiki,,2001-01-12T00:00:00Z,2001-06-26T15:50:00Z
Nanometrics,ORION,0252,Omahuta,,2002-08-30T08:00:00Z,2003-01-20T19:15:00Z
Nanometrics,ORION,0252,"Trio, David Glacier, Antarctica",,2003-11-14T00:00:00Z,2004-01-21T00:00:00Z
Nanometrics,ORION,0253,Kaingaroa Forest,,2001-01-11T23:00:00Z,2001-06-26T15:50:00Z
Nanometrics,ORION,0253,Wards Pass #5,,2001-08-01T04:00:00Z,2001-11-27T23:00:00Z
Nanometrics,ORION,0253,Waipu Caves,,2002-08-29T18:25:00Z,2003-01-18T02:20:00Z
Nanometrics,ORION,0260,Opouahi Station,,2001-01-14T00:00:00Z,2001-06-28T00:00:00Z
Nanometrics,ORION,0278,Denley's Farm,,2001-01-15T00:00:00Z,2001-06-26T00:00:00Z
Nanometrics,ORION,0289,Karaitiana Farm,,2001-01-13T04:01:00Z,2001-06-26T15:50:00Z
Nanometrics,ORION,0289,Wards Pass #2,,2001-09-13T02:00:01Z,2002-01-22T22:00:00Z
Nanometrics,ORION,0289,Short Road,,2004-07-28T00:00:01Z,2005-04-04T00:00:00Z
Nanometrics,ORION,0290,Poihipi,,2001-01-01T07:11:00Z,2001-02-24T23:01:00Z
Nanometrics,ORION,0290,Tukairangi Road,,2001-02-25T02:59:00Z,2001-06-24T18:44:00Z
Nanometrics,ORION,0290,Upcot,,2001-07-31T00:00:00Z,2002-01-22T02:00:00Z
Nanometrics,ORION,0290,Mangatete Road,,2004-03-24T00:00:00Z,2005-02-01T00:00:00Z
Nanometrics,ORION,0290,Turihaua Station,,2005-02-24T04:00:01Z,2005-03-31T00:00:00Z
Nanometrics,ORION,0292,Pohokura,,2001-01-13T04:01:00Z,2001-06-26T15:55:00Z
