Datalogger Make,Datalogger Model,Serial Number,Deployment Place,Deployment Role,Installation Date,Removal Date
Quanterra,Q4120/6,980305,Denniston North,,1998-10-15T00:00:00Z,2003-05-12T00:00:00Z
Quanterra,Q4120/6,980305,Vera Road,,2003-11-26T00:00:00Z,2014-03-19T00:00:00Z
Quanterra,Q4120/6,980602,Glencoe Station,,1998-10-14T00:00:00Z,1999-09-29T03:00:00Z
Quanterra,Q4120/6,980602,Kokohu,,2000-09-26T03:30:01Z,2009-04-27T03:30:00Z
Quanterra,Q4120/6,980603,Tahuroa Road,,1998-10-15T00:00:00Z,2008-12-04T01:45:02Z
Quanterra,Q4120/6,980604,Kokohu,,1998-10-19T00:00:00Z,1999-06-18T00:00:00Z
Quanterra,Q4120/6,980604,Pawanui,,2001-03-21T04:00:01Z,2004-12-19T00:00:00Z
Quanterra,Q4120/6,980604,Quartz Range,,2008-08-24T23:55:01Z,2009-08-12T23:00:00Z
Quanterra,Q4120/6,980605,Chateau Observatory,Quanterra Network,1999-12-01T00:00:00Z,2002-06-24T00:00:00Z
Quanterra,Q4120/6,980605,Taranaki Emergency Management Office,,2002-09-20T09:38:00Z,2010-02-25T00:00:00Z
Quanterra,Q4120/6,990801,Glencoe Station,,1999-09-29T03:00:01Z,2009-08-06T00:00:00Z
Quanterra,Q4120/6,990802,Kokohu,,1999-12-14T09:35:00Z,2000-09-26T03:30:00Z
Quanterra,Q4120/6,990802,Hauiti,,2004-07-13T02:00:00Z,2014-01-30T01:00:00Z
Quanterra,Q4120/6,2000038,Wether Hill Road,,2001-04-05T00:00:00Z,2014-06-05T00:00:00Z
Quanterra,Q4120/6,2000117,Rata Peaks,,2001-06-06T00:00:00Z,2002-02-04T00:00:00Z
Quanterra,Q4120/6,2000117,Rata Peaks,,2003-01-03T00:00:01Z,2015-10-14T23:00:00Z
Quanterra,Q4120/6,2000118,Matahi Valley,,2001-05-21T00:00:00Z,2002-02-01T00:00:00Z
Quanterra,Q4120/6,2000118,Matahi Valley,,2011-03-14T03:00:01Z,2014-05-27T00:00:00Z
Quanterra,Q4120/6,2000119,Matahi Valley,,2002-02-01T00:00:01Z,2011-03-09T00:00:00Z
