Manufacturer,Make,Model,Serial Number,Notes
Refraction Technology Inc.,RefTek,130,902A,
Refraction Technology Inc.,RefTek,130,902B,
Refraction Technology Inc.,RefTek,130,902C,
Refraction Technology Inc.,RefTek,130,902D,
Refraction Technology Inc.,RefTek,130,9337,
Refraction Technology Inc.,RefTek,130,953D,
Refraction Technology Inc.,RefTek,130,9793,
Refraction Technology Inc.,RefTek,130,989C,
Refraction Technology Inc.,RefTek,130,9D3D,
Refraction Technology Inc.,RefTek,130,9F99,
Refraction Technology Inc.,RefTek,130,9F9A,
Refraction Technology Inc.,RefTek,130,A895,
Refraction Technology Inc.,RefTek,130,AC13,
Refraction Technology Inc.,RefTek,130,AC14,
Refraction Technology Inc.,RefTek,REFTEK-RECORDER-1995,384,
Refraction Technology Inc.,RefTek,REFTEK-RECORDER-1995,528,
Refraction Technology Inc.,RefTek,REFTEK-RECORDER-2001,243,
Refraction Technology Inc.,RefTek,REFTEK-RECORDER-2001,274,
Refraction Technology Inc.,RefTek,REFTEK-RECORDER-2001,276,
Refraction Technology Inc.,RefTek,REFTEK-RECORDER-2001,277,
Refraction Technology Inc.,RefTek,REFTEK-RECORDER-2001,280,
Refraction Technology Inc.,RefTek,REFTEK-RECORDER-2001,296,
Refraction Technology Inc.,RefTek,REFTEK-RECORDER-2001,301,
Refraction Technology Inc.,RefTek,REFTEK-RECORDER-2001,323,
Refraction Technology Inc.,RefTek,REFTEK-RECORDER-2001,325,
Refraction Technology Inc.,RefTek,REFTEK-RECORDER-2001,327,
Refraction Technology Inc.,RefTek,REFTEK-RECORDER-2001,330,
Refraction Technology Inc.,RefTek,REFTEK-RECORDER-2001,331,
Refraction Technology Inc.,RefTek,REFTEK-RECORDER-2001,332,
Refraction Technology Inc.,RefTek,REFTEK-RECORDER-2001,333,
Refraction Technology Inc.,RefTek,REFTEK-RECORDER-2001,335,
Refraction Technology Inc.,RefTek,REFTEK-RECORDER-2001,336,
