Datalogger Make,Datalogger Model,Serial Number,Deployment Place,Deployment Role,Installation Date,Removal Date
RefTek,130,902A,Mount Ngauruhoe 2008 Portable NGA4,,2008-01-15T21:00:01Z,2008-02-07T04:00:00Z
RefTek,130,902B,Inferno Crater,,2004-07-08T01:47:00Z,2004-07-25T11:00:00Z
RefTek,130,902B,Mount Ngauruhoe 2006 Portable NGA3,,2006-06-07T23:30:00Z,2006-10-31T22:00:00Z
RefTek,130,902B,Mount Ngauruhoe 2008 Portable NGA6,,2008-01-15T21:00:01Z,2008-02-07T04:00:00Z
RefTek,130,902B,Blyth track,,2008-02-13T16:00:01Z,2008-11-21T01:00:00Z
RefTek,130,902B,Chateau Observatory,Portable,2010-10-12T01:00:01Z,2010-10-29T00:00:00Z
RefTek,130,902D,Mount Ngauruhoe 2006 Portable NGA2,,2006-06-08T00:00:01Z,2006-10-31T22:00:00Z
RefTek,130,902D,Mount Ngauruhoe 2008 Portable NGA5,,2008-01-15T21:00:01Z,2008-02-07T04:00:00Z
RefTek,130,902D,Mounds track Tongariro National Park,,2008-02-13T14:00:01Z,2008-11-21T01:00:00Z
RefTek,130,9337,Whataroa DFDP2 Whataroa River Valley (WDSZ),,2014-06-23T00:00:01Z,9999-01-01T00:00:00Z
RefTek,130,953D,Whataroa DFDP2 Mint Creek,,2014-06-23T00:00:01Z,9999-01-01T00:00:00Z
RefTek,130,9793,Whataroa DFDP2 Whataroa River Valley (WTSZ),,2014-06-23T00:00:01Z,9999-01-01T00:00:00Z
RefTek,130,989C,Whataroa DFDP2 Whataroa River Valley (WPSZ),,2014-06-23T00:00:01Z,9999-01-01T00:00:00Z
RefTek,130,A895,Whataroa DFDP2 Quarry,,2014-06-23T00:00:03Z,9999-01-01T00:00:00Z
RefTek,REFTEK-RECORDER-1995,384,Arthurs Pass,,1995-11-11T00:00:00Z,1996-02-08T23:59:59Z
RefTek,REFTEK-RECORDER-1995,528,Arthurs Pass,,1996-02-09T00:00:00Z,1996-04-08T00:00:00Z
RefTek,REFTEK-RECORDER-2001,243,Black Stump Farm,,2001-01-29T02:47:00Z,2001-03-28T17:40:00Z
RefTek,REFTEK-RECORDER-2001,274,Matapuna,,2001-01-17T00:00:00Z,2001-06-28T00:00:00Z
RefTek,REFTEK-RECORDER-2001,276,Pihanui,,2001-01-29T05:43:00Z,2001-05-01T18:10:00Z
RefTek,REFTEK-RECORDER-2001,277,Timahanga,,2001-01-24T04:04:00Z,2001-05-25T14:05:00Z
RefTek,REFTEK-RECORDER-2001,280,Whirinaki,,2001-01-25T02:31:00Z,2001-03-11T23:00:00Z
RefTek,REFTEK-RECORDER-2001,296,Ross Road,,2001-01-28T01:45:00Z,2001-05-30T15:15:00Z
RefTek,REFTEK-RECORDER-2001,301,Jailhouse,,2001-01-20T00:00:00Z,2001-06-28T00:00:00Z
RefTek,REFTEK-RECORDER-2001,323,Te Kowhai,,2001-01-18T00:00:00Z,2001-06-28T00:00:00Z
RefTek,REFTEK-RECORDER-2001,325,Crohane Forest,,2001-01-19T00:00:00Z,2001-06-28T00:00:00Z
RefTek,REFTEK-RECORDER-2001,327,Moawhango Dam,,2001-01-23T00:00:00Z,2001-06-20T00:00:00Z
RefTek,REFTEK-RECORDER-2001,330,Otamapotiki,,2001-01-20T00:00:00Z,2001-06-28T00:00:00Z
RefTek,REFTEK-RECORDER-2001,331,Poronui,,2001-01-19T00:00:00Z,2001-06-28T00:00:00Z
RefTek,REFTEK-RECORDER-2001,332,Maungataniwha Temporary,,2001-03-23T03:22:00Z,2001-06-15T17:00:00Z
RefTek,REFTEK-RECORDER-2001,333,Waiotukupuna River,,2001-01-22T02:06:00Z,2001-06-01T15:55:00Z
RefTek,REFTEK-RECORDER-2001,335,Rangitikei River,,2001-01-22T00:00:00Z,2001-06-19T00:00:00Z
RefTek,REFTEK-RECORDER-2001,336,Waitata,,2001-01-17T00:00:00Z,2001-06-28T00:00:00Z
