Monument Mark,Monument Code,Eccentricity,Date Established,Date Removed
2406,Pillar,none,2012-01-30T11:00:00Z,9999-01-01T00:00:00Z
AHTI,Deep Braced,None,2008-12-31T11:00:00Z,9999-01-01T00:00:00Z
AKTO,Deep Braced,none,2006-04-26T12:00:00Z,9999-01-01T00:00:00Z
ANAU,Deep Braced,None,2010-05-31T12:00:00Z,9999-01-01T00:00:00Z
ARTA,Pillar,none,2008-11-04T11:00:00Z,9999-01-01T00:00:00Z
ATIA,Pillar,none,2006-10-11T11:00:00Z,2006-11-07T11:00:00Z
AUCK,Pillar,None,1995-09-17T12:00:00Z,9999-01-01T00:00:00Z
AUKT,Mast,none,2009-09-21T12:00:00Z,9999-01-01T00:00:00Z
AVLN,Mast,none,2006-02-23T11:00:00Z,9999-01-01T00:00:00Z
BHST,Deep Braced,None,2008-06-11T12:00:00Z,9999-01-01T00:00:00Z
BIRF,Pillar,None,2005-01-25T11:00:00Z,9999-01-01T00:00:00Z
BLUF,Pillar,None,2004-03-04T11:00:00Z,9999-01-01T00:00:00Z
BM8A,Mast,none,2013-01-28T11:00:00Z,9999-01-01T00:00:00Z
BNET,Pillar,None,2005-02-14T11:00:00Z,9999-01-01T00:00:00Z
BTHL,Deep Braced,None,2009-01-12T11:00:00Z,9999-01-01T00:00:00Z
CAST,Deep Braced,none,2006-02-07T11:00:00Z,9999-01-01T00:00:00Z
CHAT,Pillar,None,1995-10-03T11:00:00Z,2012-05-22T12:00:00Z
CHTI,Short Braced,none,2007-12-09T11:00:00Z,9999-01-01T00:00:00Z
CKID,Deep Braced,none,2006-05-22T12:00:00Z,9999-01-01T00:00:00Z
CLIM,Deep Braced,none,2005-10-17T11:00:00Z,9999-01-01T00:00:00Z
CLRR,Unknown,None,2014-05-31T12:00:00Z,9999-01-01T00:00:00Z
CLS3,Unknown,none,2011-06-20T12:00:00Z,2015-09-21T12:00:00Z
CLS4,Unknown,none,2011-06-20T12:00:00Z,9999-01-01T00:00:00Z
CLS5,Unknown,none,2011-06-20T12:00:00Z,9999-01-01T00:00:00Z
CLS6,Unknown,none,2011-10-12T11:00:00Z,9999-01-01T00:00:00Z
CLSG,Unknown,none,2011-03-01T11:00:00Z,2011-06-20T12:00:00Z
CLSK,Unknown,none,2011-03-01T11:00:00Z,9999-01-01T00:00:00Z
CMBL,Pillar,None,2003-12-02T11:00:00Z,9999-01-01T00:00:00Z
CNCL,Pillar,None,2000-02-04T11:00:00Z,9999-01-01T00:00:00Z
CNST,Deep Braced,None,2007-02-21T11:00:00Z,9999-01-01T00:00:00Z
CORM,Pillar,None,2003-05-08T12:00:00Z,9999-01-01T00:00:00Z
DNVK,Pillar,None,2002-06-04T12:00:00Z,9999-01-01T00:00:00Z
DUND,Short Braced,None,2005-08-09T12:00:00Z,9999-01-01T00:00:00Z
