Sensor Make,Sensor Model,Serial Number,Mark Code,Installation Date,Removal Date
LeicaGeosystems,LEIS Radome,324,DUNT,1999-09-22T12:00:00Z,9998-12-31T11:00:00Z
LeicaGeosystems,LEIS Radome,332,WGTT,1999-12-13T11:00:00Z,2000-06-28T15:00:00Z
LeicaGeosystems,LEIS Radome,332,TAKL,2001-07-10T12:00:00Z,9998-12-31T11:00:00Z
LeicaGeosystems,LEIS Radome,333,WGTT,2000-06-28T15:00:00Z,2000-08-17T12:00:00Z
LeicaGeosystems,LEIS Radome,333,WGTT,2000-08-17T12:00:00Z,9998-12-31T11:00:00Z
LeicaGeosystems,LEIS Radome,405,LYTT,1999-11-14T11:00:00Z,9998-12-31T11:00:00Z
LeicaGeosystems,LEIS Radome,11753,WGTN,1999-11-10T11:00:00Z,2005-03-20T12:00:00Z
LeicaGeosystems,LEIS Radome,0220148020,MQZG,1999-09-26T12:00:00Z,2000-01-20T11:00:00Z
LeicaGeosystems,LEIS Radome,0220148020,MQZG,2000-01-20T11:00:00Z,2001-09-02T12:00:00Z
LeicaGeosystems,LEIS Radome,CR13573,HOKI,2000-01-19T11:00:00Z,2003-09-05T12:00:00Z
LeicaGeosystems,LEIS Radome,CR13573,HOKI,2000-01-19T11:00:00Z,2003-09-05T12:00:00Z
