Sensor Make,Sensor Model,Serial Number,Mark Code,Installation Date,Removal Date
Thales,SCIS Radome,0220063995,CNCL,2000-08-02T12:00:00Z,9999-01-01T00:00:00Z
Thales,SCIS Radome,0220066912,MTJO,2000-08-14T12:00:00Z,9999-01-01T00:00:00Z
Thales,SCIS Radome,0220067545,WAKA,2000-11-01T11:00:00Z,2001-12-12T11:00:00Z
Thales,SCIS Radome,0220067548,CNCL,2000-02-04T11:00:00Z,2000-03-08T11:00:00Z
Thales,SCIS Radome,0220067548,CNCL,2000-03-08T11:00:00Z,2000-08-02T12:00:00Z
Thales,SCIS Radome,0220067548,WAKA,2002-05-30T12:00:00Z,9999-01-01T00:00:00Z
Thales,SCIS Radome,0220073544,NETT,2000-02-06T11:00:00Z,2000-02-09T11:00:00Z
Thales,SCIS Radome,0220073544,NETT,2000-02-09T11:00:00Z,2008-03-17T15:00:01Z
Thales,SCIS Radome,0220190193,KARA,2000-02-04T11:00:00Z,2000-03-08T11:00:00Z
Thales,SCIS Radome,0220190193,KARA,2000-03-08T11:00:00Z,2004-11-28T11:00:00Z
Thales,SCIS Radome,0220190193,KARA,2004-11-28T11:00:00Z,2004-12-04T05:30:00Z
Thales,SCIS Radome,0220190270,QUAR,2000-02-04T11:00:00Z,2000-03-08T11:00:00Z
Thales,SCIS Radome,0220190270,QUAR,2000-03-08T11:00:00Z,9999-01-01T00:00:00Z
Thales,SCIS Radome,0220227659,KARA,2004-12-03T11:00:00Z,9999-01-01T00:00:00Z
Thales,SCIS Radome,CR519993905,MQZG,2001-09-02T12:00:00Z,2005-02-27T11:00:00Z
Thales,SCIS Radome,CRN120000601,PAEK,2000-04-10T12:00:00Z,2006-09-10T11:35:00Z
Thales,SNOW Radome,11753,WGTN,1996-05-22T12:00:00Z,1999-11-10T11:00:00Z
Thales,SNOW Radome,12477,NIUC,1996-11-12T11:00:00Z,9999-01-01T00:00:00Z
Thales,SNOW Radome,12627,FALE,1996-11-11T11:00:00Z,2003-09-17T12:00:00Z
Thales,SNOW Radome,CR16098,HOKI,1998-07-05T12:00:00Z,2000-01-19T11:00:00Z
Thales,SNOW Radome,CR620022305,FALE,2003-09-17T12:00:00Z,2010-10-21T09:10:01Z
