Manufacturer,Make,Model,Serial Number,Notes
Leica Geosystems,LeicaGeosystems,CRS1000,23181,
Leica Geosystems,LeicaGeosystems,CRS1000,23183,
Leica Geosystems,LeicaGeosystems,CRS1000,23199,
Leica Geosystems,LeicaGeosystems,CRS1000,23204,
Leica Geosystems,LeicaGeosystems,CRS1000,23242,
Leica Geosystems,LeicaGeosystems,CRS1000,23243,
Leica Geosystems,LeicaGeosystems,CRS1000,30132,
Leica Geosystems,LeicaGeosystems,CRS1000,30188,
Leica Geosystems,LeicaGeosystems,GRX1200GGPRO,353205,
Leica Geosystems,LeicaGeosystems,GRX1200GGPRO,463475,
Leica Geosystems,LeicaGeosystems,RS500,82242,
