Receiver Make,Receiver Model,Serial Number,Deployment Place,Installation Date,Removal Date
Thales,Ashtech MicroZ,ZR220021105,Gracefield GeoNet Undeployed Equipment Store,2002-10-31T11:00:00Z,2002-11-30T11:00:00Z
Thales,Ashtech MicroZ,ZR220021105,Whangaparaoa Navy Base,2002-11-30T11:00:01Z,2003-01-09T11:00:00Z
Thales,Ashtech MicroZ,ZR220021105,GNS Gracefield (Hutton),2003-01-09T11:00:01Z,9998-12-31T22:43:09Z
Thales,Ashtech Z-XII3,LP00155,Gracefield GeoNet Undeployed Equipment Store,1999-04-30T12:00:00Z,1999-05-21T12:00:00Z
Thales,Ashtech Z-XII3,LP00155,Wellington Airport,1999-05-21T12:00:01Z,2005-03-20T14:30:00Z
Thales,Ashtech Z-XII3,LP00155,GNS Gracefield (Hutton),2005-03-20T14:30:01Z,9999-01-01T03:53:02Z
Thales,Ashtech Z-XII3,LP00155,GNS Gracefield (Hutton),2005-03-20T14:30:01Z,9999-01-01T03:53:02Z
Thales,Ashtech Z-XII3,LP00611,GNS Gracefield (McKay),1999-10-13T11:00:00Z,1999-11-10T11:00:00Z
Thales,Ashtech Z-XII3,LP00611,Gracefield GeoNet Undeployed Equipment Store,1999-12-31T11:00:00Z,2000-01-16T11:00:00Z
Thales,Ashtech Z-XII3,LP00611,"Faleolo, Western Samoa",2000-01-16T11:00:01Z,2010-10-25T11:00:00Z
Thales,Ashtech Z-XII3,LP00611,GNS Avalon,2010-10-25T11:00:01Z,9999-01-01T01:26:32Z
Thales,Ashtech Z-XII3,LP01192,Gracefield GeoNet Undeployed Equipment Store,1996-12-31T11:00:00Z,1998-07-09T11:59:00Z
Thales,Ashtech Z-XII3,LP01192,GNS Gracefield (McKay),1998-07-09T12:00:00Z,1999-08-02T12:00:00Z
Thales,Ashtech Z-XII3,LP01192,"Faleolo, Western Samoa",1999-08-09T11:59:01Z,1999-12-22T11:00:00Z
Thales,Ashtech Z-XII3,LP01192,GNS Gracefield (McKay),1999-11-22T11:00:00Z,1999-12-27T11:00:00Z
Thales,Ashtech Z-XII3,LP01192,GNS Gracefield (McKay),2000-02-17T11:00:00Z,2001-01-04T11:00:00Z
Thales,Ashtech Z-XII3,LP01192,GNS Gracefield (McKay),2001-01-24T11:00:00Z,2001-01-30T11:00:00Z
Thales,Ashtech Z-XII3,LP01192,Chatham Island,2002-02-19T11:00:00Z,2002-03-28T12:00:00Z
Thales,Ashtech Z-XII3,LP01199,Gracefield GeoNet Undeployed Equipment Store,1996-10-31T11:00:00Z,1996-11-11T11:00:00Z
Thales,Ashtech Z-XII3,LP01199,"Faleolo, Western Samoa",1996-11-11T11:00:01Z,1997-04-10T11:59:59Z
Thales,Ashtech Z-XII3,LP01211,Gracefield GeoNet Undeployed Equipment Store,1996-10-31T11:00:00Z,1996-11-11T11:00:00Z
Thales,Ashtech Z-XII3,LP01211,Niue,1996-11-11T11:00:01Z,1997-04-24T13:00:00Z
Thales,Ashtech Z-XII3,LP01211,GNS Gracefield (Hutton),1997-04-24T13:00:01Z,9999-01-01T02:58:27Z
Thales,Ashtech Z-XII3,LP020000805,Gracefield GeoNet Undeployed Equipment Store,2000-03-31T12:00:00Z,2000-04-10T11:59:00Z
Thales,Ashtech Z-XII3,LP020000805,Paekakariki Hill,2000-04-10T11:59:01Z,2006-07-27T15:00:00Z
Thales,Ashtech Z-XII3,LP020000805,GNS Avalon,2006-07-27T15:00:01Z,9999-01-01T03:33:38Z
Thales,Ashtech Z-XII3,LP02739,Gracefield GeoNet Undeployed Equipment Store,1997-03-31T12:00:00Z,1997-04-23T12:00:00Z
Thales,Ashtech Z-XII3,LP02739,Niue,1997-04-23T12:00:01Z,9999-01-01T02:56:53Z
