Manufacturer,Make,Model,Serial Number,Notes
Thales,Thales,Ashtech MicroZ,ZR220021105,
Thales,Thales,Ashtech Z-XII3,LP00155,
Thales,Thales,Ashtech Z-XII3,LP00611,
Thales,Thales,Ashtech Z-XII3,LP01192,
Thales,Thales,Ashtech Z-XII3,LP01199,
Thales,Thales,Ashtech Z-XII3,LP01211,
Thales,Thales,Ashtech Z-XII3,LP020000805,
Thales,Thales,Ashtech Z-XII3,LP020000805,
Thales,Thales,Ashtech Z-XII3,LP02739,
Thales,Thales,Ashtech Z-XII3,LP02741,
Thales,Thales,Ashtech Z-XII3,LP03211,
Thales,Thales,Ashtech Z-XII3,LP419994101,
Thales,Thales,Ashtech Z-XII3,LP419994102,
Thales,Thales,Ashtech Z-XII3,LP419994103,
