Receiver Make,Receiver Model,Serial Number,Deployment Place,Installation Date,Removal Date
Trimble,4000SSE,7590,Avalon GeoNet Undeployed Equipment Store,1994-12-31T11:00:00Z,1995-01-15T11:00:00Z
Trimble,4000SSE,7590,Otago University,1995-01-15T11:00:01Z,1999-08-08T12:00:00Z
Trimble,4000SSE,7590,Otago University,1999-08-12T12:00:00Z,2005-11-16T11:00:00Z
Trimble,4000SSI,18169,Avalon GeoNet Undeployed Equipment Store,1994-12-31T11:00:00Z,9999-01-01T00:00:00Z
Trimble,4000SSI,18169,Otago University,2005-11-16T11:00:00Z,2006-01-30T11:00:00Z
Trimble,4000SSI,3609A14696,Gracefield GeoNet Undeployed Equipment Store,2000-08-13T12:00:00Z,2000-08-13T13:00:00Z
Trimble,4000SSI,3609A14696,Mt. John Observatory,2000-08-13T13:00:01Z,2004-06-04T14:00:00Z
Trimble,4000SSI,3609A14696,GNS Gracefield (Hutton),2004-06-04T14:00:01Z,9999-01-01T00:00:00Z
Trimble,4000SSI,3616A15401,Gracefield GeoNet Undeployed Equipment Store,2000-01-31T11:00:00Z,2000-02-05T11:00:00Z
Trimble,4000SSI,3616A15401,Annette Plateau,2000-02-05T11:00:01Z,2008-03-19T11:00:00Z
Trimble,4000SSI,3616A15401,GNS Avalon Out of Service,2008-03-19T11:00:01Z,2013-05-21T12:00:00Z
Trimble,4000SSI,3616A15401,GNS Equipment to be marked deleted,2013-05-21T12:00:01Z,9999-01-01T00:00:00Z
Trimble,4000SSI,3616A15413,Gracefield GeoNet Undeployed Equipment Store,2000-01-31T11:00:00Z,2000-02-04T11:00:00Z
Trimble,4000SSI,3616A15413,Conical Hill,2000-02-04T11:00:01Z,2007-02-01T11:00:00Z
Trimble,4000SSI,3616A15413,Otago University,2007-02-01T11:00:01Z,9999-01-01T00:00:00Z
Trimble,4000SSI,3626A16313,Gracefield GeoNet Undeployed Equipment Store,2000-01-31T11:00:00Z,2000-02-04T10:00:00Z
Trimble,4000SSI,3626A16313,Karangarua,2000-02-04T10:00:01Z,2007-02-01T11:00:00Z
Trimble,4000SSI,3626A16313,Otago University,2007-02-01T11:00:01Z,9999-01-01T00:00:00Z
Trimble,4000SSI,3626A16319,Avalon GeoNet Undeployed Equipment Store,2000-01-31T11:00:00Z,2000-02-03T10:59:58Z
Trimble,4000SSI,3626A16319,The Sugar Loaf Quarry,2000-02-03T11:00:00Z,2004-10-13T05:30:00Z
Trimble,4000SSI,3626A16319,Coxs Downs,2005-02-14T10:59:59Z,9999-01-01T00:00:00Z
Trimble,4000SSI,3626A16335,Waka Mara,2000-11-01T11:00:00Z,2001-12-12T11:00:00Z
Trimble,4000SSI,3832A23786,Gracefield GeoNet Undeployed Equipment Store,1999-08-31T12:00:00Z,1999-09-25T12:00:00Z
Trimble,4000SSI,3832A23786,GNS Gracefield (McKay),1999-09-15T12:00:00Z,1999-09-21T12:00:00Z
Trimble,4000SSI,3832A23786,Glencoe Station,1999-09-25T12:00:01Z,2001-09-02T17:00:00Z
Trimble,4000SSI,3832A23786,GNS Gracefield (Hutton),2001-09-02T17:00:01Z,9999-01-01T00:00:00Z
Trimble,4000SSI,3834A23793,GNS Gracefield (McKay),2001-01-30T11:00:00Z,2006-08-27T12:00:00Z
Trimble,4000SSI,3866,Avalon GeoNet Undeployed Equipment Store,1994-12-31T11:00:00Z,9999-01-01T00:00:00Z
Trimble,4000SSI,3866,Otago University,1999-08-08T12:00:00Z,1999-08-12T12:00:00Z
Trimble,4000SSI,4016A28152,Gracefield GeoNet Undeployed Equipment Store,2002-04-30T12:00:00Z,2002-05-30T12:00:00Z
Trimble,4000SSI,4016A28152,Waka Mara,2002-05-30T12:00:01Z,2007-02-01T11:00:00Z
Trimble,4000SSI,4016A28152,Otago University,2007-02-01T11:00:01Z,9999-01-01T00:00:00Z
Trimble,5700,0220266487,Gracefield GeoNet Undeployed Equipment Store,2002-05-31T12:00:00Z,2002-06-26T12:00:00Z
Trimble,5700,0220266487,Patutahi,2002-06-26T12:00:01Z,2002-09-10T12:00:00Z
Trimble,5700,0220266487,GNS Gracefield (Hutton),2002-09-10T12:00:01Z,2003-02-16T11:00:00Z
Trimble,5700,0220266487,Welcome Bay Road,2003-02-16T11:00:01Z,2004-02-23T11:00:00Z
Trimble,5700,0220266487,GNS Gracefield (Hutton),2003-02-23T11:00:01Z,9999-01-01T00:00:00Z
Trimble,5700,0220267068,Gracefield GeoNet Undeployed Equipment Store,2003-03-01T10:59:00Z,2003-03-19T14:59:59Z
Trimble,5700,0220267068,German Hill,2003-03-19T15:00:00Z,2004-01-30T11:00:00Z
Trimble,5700,0220267068,GNS Gracefield (Hutton),2004-01-30T11:00:01Z,2004-02-22T11:00:00Z
Trimble,5700,0220267068,Welcome Bay Road,2004-02-22T11:00:01Z,2004-05-26T12:00:00Z
Trimble,5700,0220267068,GNS Gracefield (Hutton),2004-05-26T12:00:01Z,9999-01-01T00:00:00Z
Trimble,5700,0220267073,Gracefield GeoNet Undeployed Equipment Store,2002-11-30T11:00:00Z,2002-12-31T10:59:00Z
Trimble,5700,0220267073,"Tiffin, Carterton",2002-12-31T10:59:01Z,2003-01-12T11:00:00Z
Trimble,5700,0220267073,GNS Gracefield (Hutton),2003-01-12T11:00:01Z,9999-01-01T00:00:00Z
Trimble,5700,0220267074,Gracefield GeoNet Undeployed Equipment Store,2002-03-19T12:00:00Z,2002-03-20T12:00:00Z
Trimble,5700,0220267074,Taupo Airport,2002-03-20T12:00:01Z,2002-09-09T12:00:00Z
Trimble,5700,0220267074,GNS Gracefield (Hutton),2002-09-09T12:00:01Z,9999-01-01T00:00:00Z
Trimble,5700,0220267074,Gracefield GeoNet Undeployed Equipment Store,2003-03-31T12:00:00Z,2003-04-01T12:00:00Z
Trimble,5700,0220267074,"Tikorangi, Whangarei",2003-04-01T12:00:01Z,2004-10-14T11:00:00Z
Trimble,5700,0220267074,GNS Gracefield (Hutton),2004-10-14T11:00:01Z,2005-01-05T11:00:00Z
Trimble,5700,0220267074,"Roys Hill, Hastings",2005-01-05T11:00:01Z,2006-08-02T12:00:00Z
Trimble,5700,0220267074,GNS Avalon,2006-08-02T12:00:01Z,2006-11-14T14:30:00Z
Trimble,5700,0220267074,Patutahi,2006-11-14T14:30:01Z,2007-02-14T15:00:00Z
Trimble,5700,0220267074,GNS Avalon,2007-02-14T15:00:01Z,9999-01-01T00:00:00Z
Trimble,5700,220280300,Gracefield GeoNet Undeployed Equipment Store,2002-12-30T11:00:00Z,2002-12-30T12:00:00Z
Trimble,5700,220280300,Mount Hodgkinson,2002-12-30T12:00:01Z,2012-08-31T03:00:01Z
Trimble,5700,220280300,GNS Avalon,2012-08-31T03:00:02Z,9999-01-01T00:00:00Z
Trimble,5700,0220283944,Gracefield GeoNet Undeployed Equipment Store,2003-03-31T12:00:00Z,2003-04-16T12:00:00Z
Trimble,5700,0220283944,Wanganui,2003-04-16T12:00:01Z,2007-01-18T07:00:00Z
Trimble,5700,0220283944,GNS Avalon,2007-01-18T07:00:01Z,9999-01-01T00:00:00Z
Trimble,5700,0220284004,Gracefield GeoNet Undeployed Equipment Store,2003-04-30T12:00:00Z,2003-05-15T12:00:00Z
Trimble,5700,0220284004,Matakaoa Point,2003-05-15T12:00:01Z,2004-03-29T12:00:00Z
Trimble,5700,0220284004,GNS Gracefield (Hutton),2004-03-29T12:00:01Z,2004-04-07T12:00:00Z
Trimble,5700,0220284004,Patutahi,2004-04-07T12:00:01Z,2007-01-31T11:00:00Z
Trimble,5700,0220284004,GNS Avalon,2007-01-31T11:00:01Z,9999-01-01T00:00:00Z
Trimble,5700,0220284692,Gracefield GeoNet Undeployed Equipment Store,2002-08-31T12:00:00Z,2002-09-29T12:00:00Z
Trimble,5700,0220284692,Pukeatua Road,2002-09-29T12:00:01Z,2006-01-26T11:00:00Z
Trimble,5700,0220284692,GNS Avalon,2006-01-26T11:00:01Z,9999-01-01T00:00:00Z
Trimble,5700,0220287017,Gracefield GeoNet Undeployed Equipment Store,2002-08-31T12:00:00Z,2002-09-08T12:00:00Z
Trimble,5700,0220287017,Taupo Airport,2002-09-08T12:00:01Z,2004-01-29T11:00:00Z
Trimble,5700,0220287017,GNS Gracefield (Hutton),2004-01-29T11:00:01Z,9999-01-01T00:00:00Z
Trimble,5700,0220287018,Gracefield GeoNet Undeployed Equipment Store,2002-08-31T12:00:00Z,2002-09-10T09:00:00Z
Trimble,5700,0220287018,"Roys Hill, Hastings",2002-09-10T09:00:01Z,2005-01-06T08:00:00Z
Trimble,5700,0220287018,GNS Gracefield (Hutton),2005-01-06T08:00:01Z,9999-01-01T00:00:00Z
Trimble,5700,0220287079,Gracefield GeoNet Undeployed Equipment Store,2002-08-31T12:00:00Z,2002-09-09T12:00:00Z
Trimble,5700,0220287079,Patutahi,2002-09-09T12:00:01Z,2004-04-07T15:00:00Z
Trimble,5700,0220287079,GNS Gracefield (Hutton),2004-04-07T15:00:01Z,9999-01-01T00:00:00Z
Trimble,5700,0220825490,Wairakei GeoNet Undeployed Equipment Store,2003-12-31T11:00:00Z,2004-05-15T11:58:59Z
Trimble,5700,0220825490,Oturere,2004-05-15T11:59:00Z,2004-05-19T13:00:00Z
Trimble,5700,0220825490,GNS Wairakei Grange Building Storeroom,2004-05-19T13:00:01Z,9999-01-01T00:00:00Z
Trimble,5700,0440100689,Gracefield GeoNet Undeployed Equipment Store,2003-08-31T12:00:00Z,2003-09-04T12:00:00Z
Trimble,5700,0440100689,Hokitika Airport,2003-09-04T12:00:01Z,2004-07-11T12:00:00Z
Trimble,5700,0440100689,GNS Gracefield (Hutton),2004-07-11T12:00:01Z,2004-12-24T11:00:00Z
Trimble,5700,0440100689,Hokitika Airport,2004-12-24T11:00:01Z,2007-05-27T12:00:00Z
Trimble,5700,0440100689,GNS Avalon,2007-05-27T12:00:01Z,9999-01-01T00:00:00Z
Trimble,5700,0440101187,Gracefield GeoNet Undeployed Equipment Store,2002-12-31T11:00:00Z,2003-05-01T11:58:58Z
Trimble,5700,0440101187,"Heddon Road, Whatawhata",2003-05-01T11:58:59Z,2005-12-04T15:00:00Z
Trimble,5700,0440101187,GNS Avalon,2005-12-04T15:00:01Z,9999-01-01T00:00:00Z
Trimble,5700,0440101196,Gracefield GeoNet Undeployed Equipment Store,2005-02-27T11:00:00Z,2005-02-28T10:00:00Z
Trimble,5700,0440101196,West Tongariro,2005-02-28T10:00:01Z,2005-03-07T12:30:00Z
Trimble,5700,0440101196,GNS Wairakei Grange Building Storeroom,2005-03-07T12:30:01Z,9999-01-01T00:00:00Z
Trimble,5700,0440101356,Gracefield GeoNet Undeployed Equipment Store,2004-06-30T12:00:00Z,2004-07-11T11:00:00Z
Trimble,5700,0440101356,Hokitika Airport,2004-07-11T11:00:01Z,2004-12-25T11:00:00Z
Trimble,5700,0440101356,GNS Gracefield (Hutton),2004-12-25T11:00:01Z,9999-01-01T00:00:00Z
Trimble,5700,0440101789,Wairakei GeoNet Undeployed Equipment Store,2004-05-14T12:00:00Z,2004-05-15T11:00:00Z
Trimble,5700,0440101789,Dome Shelter,2004-05-15T11:00:01Z,2004-05-20T12:00:00Z
Trimble,5700,0440101789,GNS Wairakei Grange Building Storeroom,2004-05-20T12:00:01Z,9999-01-01T00:00:00Z
Trimble,5700,0440105385,Gracefield GeoNet Undeployed Equipment Store,2003-04-30T12:00:00Z,2003-05-09T11:58:00Z
Trimble,5700,0440105385,Purangi,2003-05-09T11:58:01Z,2006-11-08T23:00:00Z
Trimble,5700,0440105385,GNS Wairakei Grange Building Storeroom,2006-11-08T23:00:01Z,9999-01-01T00:00:00Z
Trimble,NetR5 GNSS Receiver,4737K07041,Otago University,2008-02-27T11:00:00Z,2008-10-15T11:00:00Z
Trimble,NetR5 GNSS Receiver,4737K07041,GeoSystems Auckland,2008-10-15T11:00:01Z,9999-01-01T00:00:00Z
Trimble,NetR9,5014K66721,Avalon GeoNet Undeployed Equipment Store,2010-09-18T12:00:00Z,2010-10-11T11:00:00Z
Trimble,NetR9,5014K66721,Methven,2010-10-11T11:00:01Z,2014-07-27T10:00:00Z
Trimble,NetR9,5014K66721,GNS Avalon,2014-07-27T10:00:01Z,2015-02-10T08:00:00Z
Trimble,NetR9,5014K66721,Pawanui,2015-02-10T08:00:01Z,9999-01-01T00:00:00Z
Trimble,NetR9,5014K66722,Avalon GeoNet Undeployed Equipment Store,2010-09-18T12:00:00Z,2011-01-17T11:00:00Z
Trimble,NetR9,5014K66722,Norsewood,2011-01-17T11:00:01Z,9999-01-01T00:00:00Z
Trimble,NetR9,5015K66760,Avalon GeoNet Undeployed Equipment Store,2010-09-18T12:00:00Z,2010-12-15T07:00:00Z
Trimble,NetR9,5015K66760,"Roys Hill, Hastings",2010-12-15T07:00:01Z,9999-01-01T00:00:00Z
Trimble,NetR9,5015K66761,Avalon GeoNet Undeployed Equipment Store,2010-09-18T12:00:00Z,2011-01-17T23:00:00Z
Trimble,NetR9,5015K66761,Frasertown,2011-01-17T23:00:01Z,9999-01-01T00:00:00Z
Trimble,NetR9,5016K66890,Avalon GeoNet Undeployed Equipment Store,2010-09-18T12:00:00Z,2010-11-03T11:00:00Z
Trimble,NetR9,5016K66890,Wanganui,2010-11-03T11:00:01Z,9999-01-01T00:00:00Z
Trimble,NetR9,5016K66900,Avalon GeoNet Undeployed Equipment Store,2010-09-18T12:00:00Z,2011-01-18T11:00:00Z
Trimble,NetR9,5016K66900,Patutahi,2011-01-18T11:00:01Z,9999-01-01T00:00:00Z
Trimble,NetR9,5016K67013,Avalon GeoNet Undeployed Equipment Store,2010-09-18T12:00:00Z,2010-11-22T11:00:00Z
Trimble,NetR9,5016K67013,Kaitaia Tatarakihi LINZ CGPS,2010-11-22T11:00:01Z,9999-01-01T00:00:00Z
Trimble,NetR9,5016K67014,Avalon GeoNet Undeployed Equipment Store,2010-09-18T12:00:00Z,2011-01-27T10:00:00Z
Trimble,NetR9,5016K67014,Kahutara,2011-01-27T10:00:01Z,9999-01-01T00:00:00Z
Trimble,NetR9,5016K67062,Avalon GeoNet Undeployed Equipment Store,2010-09-18T12:00:00Z,2011-02-15T13:00:00Z
Trimble,NetR9,5016K67062,Manuhara Road,2011-02-15T13:00:01Z,9999-01-01T00:00:00Z
Trimble,NetR9,5018K67247,Avalon GeoNet Undeployed Equipment Store,2010-09-18T12:00:00Z,2010-11-24T16:00:00Z
Trimble,NetR9,5018K67247,Bluff,2010-11-24T16:00:01Z,9999-01-01T00:00:00Z
Trimble,NetR9,5033K69573,Avalon GeoNet Undeployed Equipment Store,2010-09-18T12:00:00Z,2011-02-03T10:00:00Z
Trimble,NetR9,5033K69573,Parikino - Parapara Rd,2011-02-03T10:00:01Z,9999-01-01T00:00:00Z
Trimble,NetR9,5033K69574,Avalon GeoNet Undeployed Equipment Store,2010-09-18T12:00:00Z,2010-11-07T14:00:00Z
Trimble,NetR9,5033K69574,Wairakei GeoNet Undeployed Equipment Store,2010-11-07T14:00:01Z,2010-11-30T21:55:00Z
Trimble,NetR9,5033K69574,Taupo Airport,2010-12-01T09:25:01Z,9999-01-01T00:00:00Z
Trimble,NetR9,5034K69668,Avalon GeoNet Undeployed Equipment Store,2010-09-18T12:00:00Z,2010-11-07T14:00:00Z
Trimble,NetR9,5034K69668,Wairakei GeoNet Undeployed Equipment Store,2010-11-07T14:00:01Z,2011-01-09T11:00:00Z
Trimble,NetR9,5034K69668,Warkworth Antenna Farm,2011-01-09T11:00:01Z,9999-01-01T00:00:00Z
Trimble,NetR9,5034K69669,Avalon GeoNet Undeployed Equipment Store,2010-09-18T12:00:00Z,2010-11-21T16:00:00Z
Trimble,NetR9,5034K69669,Waimate,2010-11-21T16:00:01Z,9999-01-01T00:00:00Z
Trimble,NetR9,5034K69671,Avalon GeoNet Undeployed Equipment Store,2010-09-18T12:00:00Z,2010-11-04T11:00:00Z
Trimble,NetR9,5034K69671,"Tiffin, Carterton",2010-11-04T11:00:01Z,9999-01-01T00:00:00Z
Trimble,NetR9,5034K69673,Avalon GeoNet Undeployed Equipment Store,2010-09-18T12:00:00Z,2010-10-25T10:00:00Z
Trimble,NetR9,5034K69673,Scott Base,2010-10-25T10:00:01Z,9999-01-01T00:00:00Z
Trimble,NetR9,5034K69674,Avalon GeoNet Undeployed Equipment Store,2010-09-18T12:00:00Z,2011-02-07T10:59:59Z
Trimble,NetR9,5034K69674,Lake Taylor Station,2011-02-07T11:00:00Z,9999-01-01T00:00:00Z
