Sensor Make,Sensor Model,Serial Number,Station Code,Location Code,Installation Azimuth,Installation Dip,Installation Depth,Installation Date,Removal Date
CSI,CUSP-Me BOX,3DE-20733,TRAB,21,8,0,-1.2,2013-08-02T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,3DE-20734,TRAB,22,188,0,-1.25,2013-08-02T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,3DE-20735,TRAB,23,188,0,-5.9,2013-08-02T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,3DE-20736,TRAB,24,278,0,0,2013-08-02T00:00:00Z,2014-05-01T00:00:00Z
CSI,CUSP-Me BOX,3DE-20737,TRAB,25,188,0,-6.25,2013-08-02T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,3DE-20738,TRAB,26,278,0,0,2013-08-02T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,3DE-20739,TRAB,27,188,0,-1.7,2013-08-02T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,3DE-20740,TRAB,28,278,0,0,2013-08-02T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,3DE-20741,TROB,21,337,0,-0.5,2013-08-02T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,3DE-20742,TROB,22,247,0,0,2013-08-02T00:00:00Z,2014-07-01T00:00:00Z
CSI,CUSP-Me BOX,3DE-20742,STSB,21,54,0,2.853,2014-07-01T00:00:03Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,3DE-20743,TROB,23,337,0,-5.6,2013-08-02T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,3DE-20745,TROB,24,337,0,-4.6,2013-08-02T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,3DE-20746,TROB,25,337,0,-6.2,2013-08-02T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,3DE-20747,TROB,26,337,0,-5.6,2013-08-02T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,3DE-20748,TROB,27,337,0,-0.5,2013-08-02T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,3DE-20749,TROB,28,247,0,0,2013-08-02T00:00:00Z,2014-07-01T00:00:00Z
CSI,CUSP-Me BOX,3DE-20749,STSB,22,54,0,0.353,2014-07-01T00:00:03Z,9999-01-01T00:00:00Z
