Sensor Make,Sensor Model,Serial Number,Station Code,Location Code,Installation Azimuth,Installation Dip,Installation Depth,Installation Date,Removal Date
Kinemetrics,BASALT,132,PTOS,20,7,0,0,2011-06-03T04:00:00Z,2011-07-29T02:55:00Z
Kinemetrics,BASALT,132,GOVS,20,208,0,0,2012-12-19T00:49:00Z,2014-09-10T21:00:00Z
Kinemetrics,BASALT,132,MNGS,20,63,0,0,2015-09-01T00:10:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,438,WAKC,20,76,0,0,2011-03-23T02:02:00Z,2013-09-12T21:30:00Z
Kinemetrics,BASALT,438,GKBS,20,303,0,0,2013-09-26T23:55:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,439,BMTS,20,144,0,0,2011-01-18T04:00:00Z,2015-08-12T22:00:00Z
Kinemetrics,BASALT,491,BWRS,20,152,0,0,2011-08-22T04:05:00Z,2014-09-02T22:00:00Z
Kinemetrics,BASALT,491,TWAS,20,293,0,0,2015-03-02T23:18:25Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,492,INZ,20,0,0,0,2011-01-26T00:05:00Z,2013-06-12T00:00:00Z
Kinemetrics,BASALT,492,PUZ,20,0,0,0,2013-08-07T00:05:00Z,2014-07-22T01:20:00Z
Kinemetrics,BASALT,492,BWRS,20,152,0,0,2014-09-02T22:10:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,493,MAYC,20,107,0,0,2011-03-24T23:00:00Z,2014-06-05T05:00:00Z
Kinemetrics,BASALT,493,WHFS,20,285,0,0,2014-07-16T05:30:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,494,PTOS,20,7,0,0,2011-07-29T03:00:00Z,2013-11-18T22:00:00Z
Kinemetrics,BASALT,494,MRZ,20,0,0,0,2014-01-13T00:10:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,495,RTZ,20,0,0,0,2011-05-05T00:05:00Z,2015-11-03T00:00:00Z
Kinemetrics,BASALT,496,DSLC,20,154,0,0,2011-03-23T23:00:00Z,2015-05-11T22:00:00Z
Kinemetrics,BASALT,496,RTZ,20,0,0,0,2015-11-03T00:05:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,497,HSES,20,280,0,0,2011-03-22T02:02:00Z,2015-05-10T22:00:00Z
Kinemetrics,BASALT,497,PTOS,20,18,0,0,2015-05-22T00:10:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,552,FAIS,20,18,0,0,2011-07-12T00:00:10Z,2014-01-16T23:00:00Z
Kinemetrics,BASALT,552,INHS,21,25,0,0,2014-01-25T01:10:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,556,EYRS,20,300,0,0,2011-03-25T05:00:00Z,2012-10-15T10:45:00Z
Kinemetrics,BASALT,556,SMHS,20,360,0,0,2012-10-16T04:30:00Z,2013-01-15T11:00:00Z
Kinemetrics,BASALT,556,MENS,20,360,0,0,2013-03-21T01:45:00Z,2013-03-21T01:46:00Z
Kinemetrics,BASALT,556,MENS,20,150,0,0,2013-03-21T01:47:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,557,MRZ,20,0,0,0,2011-04-13T00:00:02Z,2012-07-17T00:00:00Z
Kinemetrics,BASALT,557,MKBS,20,0,0,0,2012-12-04T00:10:00Z,2014-03-14T02:45:00Z
Kinemetrics,BASALT,557,CVZ,20,0,0,0,2014-05-16T00:00:20Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,558,GKBS,20,303,0,0,2011-08-19T04:01:01Z,2013-09-26T23:50:00Z
Kinemetrics,BASALT,558,MXZ,20,0,0,0,2013-10-03T02:00:01Z,2014-07-21T21:50:00Z
Kinemetrics,BASALT,558,GOVS,20,208,0,0,2014-09-10T21:10:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,559,MKBS,20,355,0,0,2011-05-31T00:05:00Z,2012-12-04T00:00:00Z
Kinemetrics,BASALT,559,MWZ,20,0,0,0,2012-12-13T00:10:00Z,2013-08-05T00:00:00Z
Kinemetrics,BASALT,559,HBHS,20,44,0,0,2014-03-14T00:01:00Z,2014-03-14T00:02:00Z
Kinemetrics,BASALT,559,HBHS,20,86,0,0,2014-03-14T00:03:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,560,WANS,20,198,0,0,2011-08-23T01:15:01Z,2013-11-27T00:00:00Z
Kinemetrics,BASALT,560,VRZ,20,115,0,0,2014-03-19T03:00:00Z,2014-03-19T03:10:00Z
Kinemetrics,BASALT,560,VRZ,20,274,0,0,2014-03-19T03:20:00Z,2014-04-30T00:00:00Z
Kinemetrics,BASALT,560,NCDS,20,244,0,0,2014-07-30T21:25:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,561,MXZ,20,340,0,0,2011-08-18T00:30:00Z,2011-09-08T00:52:00Z
Kinemetrics,BASALT,561,MXZ,20,0,0,0,2011-09-08T00:58:00Z,2013-10-03T02:00:00Z
Kinemetrics,BASALT,561,LTZ,20,0,0,0,2013-10-23T05:05:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,562,MWZ,20,95,0,0,2011-08-19T03:30:00Z,2011-09-08T05:10:00Z
Kinemetrics,BASALT,562,MWZ,20,0,0,0,2011-09-08T05:20:00Z,2012-12-13T00:00:00Z
Kinemetrics,BASALT,562,SPRS,20,307.5,0,0,2013-11-07T23:45:00Z,2013-11-20T12:00:00Z
Kinemetrics,BASALT,562,BDCS,20,60,0,0,2014-09-10T12:00:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,563,MTHZ,20,0,0,0,2011-10-20T00:00:05Z,2012-12-12T00:00:00Z
Kinemetrics,BASALT,563,SUMS,20,212,0,0,2012-12-18T03:19:00Z,2013-01-10T22:05:00Z
Kinemetrics,BASALT,563,TSZ,20,0,0,0,2013-07-02T21:54:34Z,2015-06-11T00:05:00Z
Kinemetrics,BASALT,563,NNZ,20,0,0,0,2015-07-02T22:00:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,564,MTHS,20,24,0,0,2011-08-27T01:35:00Z,2013-08-16T00:00:00Z
Kinemetrics,BASALT,564,MAVS,20,231,0,0,2014-05-21T22:20:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,612,MRZ,20,0,0,0,2012-10-02T00:05:00Z,2014-01-13T00:00:00Z
Kinemetrics,BASALT,612,DHSS,20,180,0,0,2014-02-26T00:10:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,613,AKSS,20,2,0,0,2011-08-25T00:25:00Z,2013-08-20T00:00:00Z
Kinemetrics,BASALT,613,MTHZ,20,0,0,0,2013-10-08T02:10:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,614,WAKC,20,76,0,0,2013-09-12T21:40:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,615,WVAS,20,191,0,0,2011-10-10T00:00:05Z,2014-05-26T04:00:00Z
Kinemetrics,BASALT,615,MECS,20,203,0,0,2015-08-11T00:30:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,616,WVZ,20,0,0,0,2011-10-10T00:00:05Z,2012-11-06T00:00:00Z
Kinemetrics,BASALT,616,GVZ,20,0,0,0,2012-12-03T05:00:00Z,2015-10-16T21:00:00Z
Kinemetrics,BASALT,619,SPRS,20,307.5,0,0,2011-12-13T04:05:00Z,2013-11-07T23:00:00Z
Kinemetrics,BASALT,619,RPZ,20,0,0,0,2015-10-15T07:01:01Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,620,WHAS,20,0,0,0,2012-04-20T00:05:00Z,2013-04-17T21:00:00Z
Kinemetrics,BASALT,620,MWZ,20,0,0,0,2013-08-05T00:10:00Z,2015-05-21T22:00:00Z
Kinemetrics,BASALT,620,INGS,20,280,0,0,2015-06-30T05:15:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,621,NNZ,20,0,0,0,2012-01-05T23:10:00Z,2013-01-17T21:00:00Z
Kinemetrics,BASALT,621,INZ,20,0,0,0,2013-06-12T00:10:00Z,2015-05-28T06:00:00Z
Kinemetrics,BASALT,622,NEWS,20,180,0,0,2011-10-27T00:25:00Z,2014-01-16T23:00:00Z
Kinemetrics,BASALT,622,MOSS,20,296,0,0,2014-03-26T23:10:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,623,MATS,20,180,0,0,2015-04-02T00:00:05Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,1196,SUMS,20,212,0,0,2012-04-23T03:00:00Z,2012-12-18T03:15:00Z
Kinemetrics,BASALT,1196,SMHS,20,0,0,0,2013-04-18T00:10:00Z,2014-10-14T00:00:00Z
Kinemetrics,BASALT,1245,SUMS,20,212,0,0,2012-04-17T01:00:00Z,2012-04-17T01:00:01Z
Kinemetrics,BASALT,1245,HUNS,20,245,0,0,2012-04-18T00:15:00Z,2014-03-25T03:00:00Z
Kinemetrics,BASALT,1245,VRZ,20,274,0,0,2014-04-30T00:10:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,1263,PWES,20,42,0,0,2012-06-28T23:00:07Z,2014-03-13T00:00:00Z
Kinemetrics,BASALT,1263,HUNS,20,245,0,0,2014-03-26T03:05:00Z,2015-01-25T22:00:00Z
Kinemetrics,BASALT,1263,UHCS,20,272,0,0,2015-04-01T21:15:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,1264,INHS,21,25,0,0,2012-08-23T04:00:05Z,2014-01-25T01:00:00Z
Kinemetrics,BASALT,1264,THZ,20,0,0,0,2014-04-03T14:05:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,1275,DHSS,20,360,0,0,2012-06-20T03:45:00Z,2012-06-20T03:46:00Z
Kinemetrics,BASALT,1275,DHSS,20,360,0,0,2012-06-27T03:45:00Z,2012-07-03T21:00:00Z
Kinemetrics,BASALT,1275,DHSS,20,180,0,0,2012-07-03T21:00:10Z,2014-02-26T00:00:00Z
Kinemetrics,BASALT,1275,EKS3,20,210,0,0,2014-04-17T00:10:00Z,2014-07-29T00:00:00Z
Kinemetrics,BASALT,1275,SMHS,20,229,0,0,2014-10-14T00:00:05Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,1277,MENS,20,150,0,0,2012-06-27T23:00:00Z,2012-07-16T23:00:00Z
Kinemetrics,BASALT,1277,SOMS,20,0,0,0,2012-10-31T00:05:00Z,2013-10-09T22:30:00Z
Kinemetrics,BASALT,1277,PHHS,20,40,0,0,2013-12-11T02:20:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,1278,MNZS,20,38,0,0,2013-03-15T00:00:00Z,2014-02-26T22:00:00Z
Kinemetrics,BASALT,1278,MNGS,20,63,0,0,2014-05-06T02:30:00Z,2015-09-01T00:00:00Z
Kinemetrics,BASALT,1278,GVZ,20,0,0,0,2015-10-16T21:05:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,1279,MENS,20,150,0,0,2012-07-16T23:15:00Z,2013-03-14T02:00:00Z
Kinemetrics,BASALT,1279,WHAS,20,0,0,0,2013-04-17T21:00:03Z,2014-07-16T21:00:00Z
Kinemetrics,BASALT,1279,TOKS,20,180,0,0,2014-07-28T01:30:00Z,2015-04-15T00:00:00Z
Kinemetrics,BASALT,1280,MTHZ,20,0,0,0,2012-12-12T00:10:00Z,2013-08-10T03:00:00Z
Kinemetrics,BASALT,1280,KHLS,20,225,0,0,2013-10-31T23:10:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,1281,MRZ,20,0,0,0,2012-07-17T01:05:00Z,2012-10-02T00:00:00Z
Kinemetrics,BASALT,1281,WVZ,20,0,0,0,2012-11-06T00:10:00Z,2013-06-12T00:00:00Z
Kinemetrics,BASALT,1281,NNZ,20,0,0,0,2013-07-16T00:10:00Z,2015-07-02T21:20:00Z
Kinemetrics,BASALT,1673,KHLS,20,225,0,0,2013-04-12T02:25:00Z,2013-10-31T23:00:00Z
Kinemetrics,BASALT,1673,WANS,20,198,0,0,2013-11-27T00:06:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,1674,SUMS,20,212,0,0,2013-01-10T22:09:00Z,2013-08-08T00:00:00Z
Kinemetrics,BASALT,1674,PWES,20,42,0,0,2014-03-13T00:10:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,1675,AKSS,20,0,0,0,2013-08-30T00:05:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,1676,NNZ,20,0,0,0,2013-01-18T00:30:00Z,2013-07-16T00:00:00Z
Kinemetrics,BASALT,1676,EKS1,20,247,0,0,2014-01-22T00:05:00Z,2014-07-29T01:30:00Z
Kinemetrics,BASALT,1676,TRMS,20,247,0,0,2014-07-29T01:45:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,1677,SMHS,20,360,0,0,2013-01-16T00:30:00Z,2013-04-18T00:00:00Z
Kinemetrics,BASALT,1677,WVZ,20,0,0,0,2013-06-12T00:10:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,1678,TOKS,20,180,0,0,2013-03-19T00:05:00Z,2013-08-01T00:00:00Z
Kinemetrics,BASALT,1678,HAVS,20,16,0,0,2013-10-05T21:10:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,1679,PUZ,20,0,0,0,2014-07-22T01:30:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,1680,PTOS,20,7,0,0,2013-12-18T11:35:00Z,2014-01-16T22:00:00Z
Kinemetrics,BASALT,1680,EKS3,20,210,0,0,2014-02-20T00:05:00Z,2014-04-17T00:00:00Z
Kinemetrics,BASALT,1680,TUZ,20,0,0,0,2015-10-27T05:05:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,1681,HAVS,20,16,0,0,2013-04-13T06:10:00Z,2013-10-05T21:00:00Z
Kinemetrics,BASALT,1681,SOMS,20,0,0,0,2013-10-09T22:40:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,1682,KEKS,20,180,0,0,2013-04-04T00:05:00Z,2013-12-21T00:00:00Z
Kinemetrics,BASALT,1682,EKS3,20,210,0,0,2014-01-22T22:05:00Z,2014-02-14T00:00:00Z
Kinemetrics,BASALT,1682,MKBS,20,0,0,0,2014-03-14T02:55:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,1761,WAZ,20,0,0,0,2013-12-22T00:10:00Z,9999-01-01T00:00:00Z
Kinemetrics,BASALT,1762,NCDS,20,244,0,0,2013-07-24T01:44:02Z,2014-07-30T21:10:00Z
Kinemetrics,BASALT,1762,SEDS,20,127,0,0,2014-09-03T00:10:00Z,2014-09-08T03:30:00Z
Kinemetrics,BASALT,1762,SEDS,20,127,0,0,2014-09-08T03:35:00Z,9999-01-01T00:00:00Z
