Manufacturer,Make,Model,Serial Number,Notes
Kinemetrics Inc.,Kinemetrics,BASALT,132,
Kinemetrics Inc.,Kinemetrics,BASALT,438,
Kinemetrics Inc.,Kinemetrics,BASALT,439,
Kinemetrics Inc.,Kinemetrics,BASALT,491,
Kinemetrics Inc.,Kinemetrics,BASALT,492,
Kinemetrics Inc.,Kinemetrics,BASALT,493,
Kinemetrics Inc.,Kinemetrics,BASALT,494,
Kinemetrics Inc.,Kinemetrics,BASALT,495,
Kinemetrics Inc.,Kinemetrics,BASALT,496,
Kinemetrics Inc.,Kinemetrics,BASALT,497,
Kinemetrics Inc.,Kinemetrics,BASALT,552,
Kinemetrics Inc.,Kinemetrics,BASALT,556,
Kinemetrics Inc.,Kinemetrics,BASALT,557,
Kinemetrics Inc.,Kinemetrics,BASALT,558,
Kinemetrics Inc.,Kinemetrics,BASALT,559,
Kinemetrics Inc.,Kinemetrics,BASALT,560,
Kinemetrics Inc.,Kinemetrics,BASALT,561,
Kinemetrics Inc.,Kinemetrics,BASALT,562,
Kinemetrics Inc.,Kinemetrics,BASALT,563,
Kinemetrics Inc.,Kinemetrics,BASALT,564,
Kinemetrics Inc.,Kinemetrics,BASALT,612,
Kinemetrics Inc.,Kinemetrics,BASALT,613,
Kinemetrics Inc.,Kinemetrics,BASALT,614,
Kinemetrics Inc.,Kinemetrics,BASALT,615,
Kinemetrics Inc.,Kinemetrics,BASALT,616,
Kinemetrics Inc.,Kinemetrics,BASALT,619,
Kinemetrics Inc.,Kinemetrics,BASALT,620,
Kinemetrics Inc.,Kinemetrics,BASALT,621,
Kinemetrics Inc.,Kinemetrics,BASALT,622,
Kinemetrics Inc.,Kinemetrics,BASALT,623,
Kinemetrics Inc.,Kinemetrics,BASALT,1196,
Kinemetrics Inc.,Kinemetrics,BASALT,1245,
Kinemetrics Inc.,Kinemetrics,BASALT,1263,
Kinemetrics Inc.,Kinemetrics,BASALT,1264,
Kinemetrics Inc.,Kinemetrics,BASALT,1275,
Kinemetrics Inc.,Kinemetrics,BASALT,1277,
Kinemetrics Inc.,Kinemetrics,BASALT,1278,
Kinemetrics Inc.,Kinemetrics,BASALT,1279,
Kinemetrics Inc.,Kinemetrics,BASALT,1280,
Kinemetrics Inc.,Kinemetrics,BASALT,1281,
Kinemetrics Inc.,Kinemetrics,BASALT,1673,
Kinemetrics Inc.,Kinemetrics,BASALT,1674,
Kinemetrics Inc.,Kinemetrics,BASALT,1675,
Kinemetrics Inc.,Kinemetrics,BASALT,1676,
Kinemetrics Inc.,Kinemetrics,BASALT,1677,
Kinemetrics Inc.,Kinemetrics,BASALT,1678,
Kinemetrics Inc.,Kinemetrics,BASALT,1679,
Kinemetrics Inc.,Kinemetrics,BASALT,1680,
Kinemetrics Inc.,Kinemetrics,BASALT,1681,
Kinemetrics Inc.,Kinemetrics,BASALT,1682,
Kinemetrics Inc.,Kinemetrics,BASALT,1761,
Kinemetrics Inc.,Kinemetrics,BASALT,1762,
Kinemetrics Inc.,Kinemetrics,BASALT,1763,
Kinemetrics Inc.,Kinemetrics,BASALT,1764,
Kinemetrics Inc.,Kinemetrics,BASALT,1765,
Kinemetrics Inc.,Kinemetrics,BASALT,1766,
Kinemetrics Inc.,Kinemetrics,BASALT,1767,
Kinemetrics Inc.,Kinemetrics,BASALT,1768,
Kinemetrics Inc.,Kinemetrics,BASALT,1769,
Kinemetrics Inc.,Kinemetrics,BASALT,1770,
Kinemetrics Inc.,Kinemetrics,BASALT,2024,
Kinemetrics Inc.,Kinemetrics,BASALT,2025,
Kinemetrics Inc.,Kinemetrics,BASALT,2026,
Kinemetrics Inc.,Kinemetrics,BASALT,2027,
Kinemetrics Inc.,Kinemetrics,BASALT,2028,
Kinemetrics Inc.,Kinemetrics,BASALT,2029,
Kinemetrics Inc.,Kinemetrics,BASALT,2030,
Kinemetrics Inc.,Kinemetrics,BASALT,2031,
Kinemetrics Inc.,Kinemetrics,BASALT,2032,
Kinemetrics Inc.,Kinemetrics,BASALT,2033,
Kinemetrics Inc.,Kinemetrics,BASALT,2139,
Kinemetrics Inc.,Kinemetrics,BASALT,2140,
Kinemetrics Inc.,Kinemetrics,BASALT,2141,
Kinemetrics Inc.,Kinemetrics,BASALT,2142,
Kinemetrics Inc.,Kinemetrics,BASALT,2143,
Kinemetrics Inc.,Kinemetrics,BASALT,2144,
Kinemetrics Inc.,Kinemetrics,BASALT,2145,
Kinemetrics Inc.,Kinemetrics,BASALT,2146,
Kinemetrics Inc.,Kinemetrics,BASALT,2147,
Kinemetrics Inc.,Kinemetrics,BASALT,2148,
Kinemetrics Inc.,Kinemetrics,BASALT,2149,
Kinemetrics Inc.,Kinemetrics,BASALT,2150,
Kinemetrics Inc.,Kinemetrics,BASALT,2151,
Kinemetrics Inc.,Kinemetrics,BASALT,2152,
Kinemetrics Inc.,Kinemetrics,BASALT,2153,
Kinemetrics Inc.,Kinemetrics,BASALT,2154,
Kinemetrics Inc.,Kinemetrics,BASALT,2155,
Kinemetrics Inc.,Kinemetrics,BASALT,2156,
Kinemetrics Inc.,Kinemetrics,BASALT,2157,
Kinemetrics Inc.,Kinemetrics,BASALT,2158,
Kinemetrics Inc.,Kinemetrics,BASALT,2408,
Kinemetrics Inc.,Kinemetrics,BASALT,2409,
Kinemetrics Inc.,Kinemetrics,BASALT,2411,
Kinemetrics Inc.,Kinemetrics,BASALT,2412,
Kinemetrics Inc.,Kinemetrics,BASALT,2413,
Kinemetrics Inc.,Kinemetrics,BASALT,2414,
Kinemetrics Inc.,Kinemetrics,BASALT,2415,
Kinemetrics Inc.,Kinemetrics,BASALT,2416,
Kinemetrics Inc.,Kinemetrics,BASALT,2417,
Kinemetrics Inc.,Kinemetrics,BASALT,2418,
Kinemetrics Inc.,Kinemetrics,BASALT,2419,
Kinemetrics Inc.,Kinemetrics,BASALT,2420,
Kinemetrics Inc.,Kinemetrics,BASALT,2421,
Kinemetrics Inc.,Kinemetrics,BASALT,2422,
Kinemetrics Inc.,Kinemetrics,BASALT,2423,
Kinemetrics Inc.,Kinemetrics,BASALT,2424,
Kinemetrics Inc.,Kinemetrics,BASALT,2425,
Kinemetrics Inc.,Kinemetrics,BASALT,2426,
Kinemetrics Inc.,Kinemetrics,BASALT,2427,
Kinemetrics Inc.,Kinemetrics,BASALT,2428,
Kinemetrics Inc.,Kinemetrics,BASALT,2429,
Kinemetrics Inc.,Kinemetrics,BASALT,2430,
Kinemetrics Inc.,Kinemetrics,BASALT,2431,
Kinemetrics Inc.,Kinemetrics,BASALT,2432,
Kinemetrics Inc.,Kinemetrics,BASALT,2434,
Kinemetrics Inc.,Kinemetrics,BASALT,2436,
Kinemetrics Inc.,Kinemetrics,ETNA,1391,
Kinemetrics Inc.,Kinemetrics,ETNA,1657,
Kinemetrics Inc.,Kinemetrics,ETNA,1658,
Kinemetrics Inc.,Kinemetrics,ETNA,1659,
Kinemetrics Inc.,Kinemetrics,ETNA,1660,
Kinemetrics Inc.,Kinemetrics,ETNA,1661,
Kinemetrics Inc.,Kinemetrics,ETNA,1662,
Kinemetrics Inc.,Kinemetrics,ETNA,1663,
