Sensor Make,Sensor Model,Serial Number,Station Code,Location Code,Installation Azimuth,Installation Dip,Installation Depth,Installation Date,Removal Date
PEL,MO1,0001,027A,20,295,0,0,1966-01-23T12:00:00Z,1971-09-15T12:00:00Z
PEL,MO1,0001,027A,20,295,0,0,1971-09-15T12:00:00Z,1973-03-27T12:00:00Z
PEL,MO1,0001,027C,20,295,0,0,1973-03-27T12:00:00Z,1974-11-11T11:00:00Z
PEL,MO1,0001,027C,20,139,0,0,1974-11-11T11:00:00Z,1987-07-14T12:00:00Z
PEL,MO1,0002,606A,20,324,0,0,1968-05-15T12:00:00Z,1971-07-18T12:00:00Z
PEL,MO1,0002,052A,20,70,0,0,1971-08-18T12:00:00Z,1975-02-26T12:00:00Z
PEL,MO1,0002,052A,20,70,0,0,1975-02-26T12:00:00Z,1977-02-09T11:00:00Z
PEL,MO1,0002,048C,20,180,0,0,1977-02-14T11:00:00Z,1985-08-21T12:00:00Z
PEL,MO1,0002,048D,20,275,0,0,1985-08-27T12:00:00Z,1989-11-25T11:00:00Z
PEL,MO1,0003,020A,20,212,0,0,1966-01-23T12:00:00Z,1971-09-16T12:00:00Z
PEL,MO1,0003,020A,20,212,0,0,1971-09-16T12:00:00Z,1977-07-19T12:00:00Z
PEL,MO1,0003,020A,20,212,0,0,1977-07-19T12:00:00Z,1981-06-16T12:00:00Z
PEL,MO1,0004,039A,20,230,0,0,1966-09-20T12:00:00Z,1971-09-14T12:00:00Z
PEL,MO1,0004,039A,20,230,0,0,1971-09-14T12:00:00Z,1972-11-12T12:00:00Z
PEL,MO1,0004,039A,20,230,0,0,1972-11-12T12:00:00Z,1975-07-13T12:00:00Z
PEL,MO1,0004,039A,20,230,0,0,1975-07-13T12:00:00Z,1976-01-28T11:00:00Z
PEL,MO1,0004,039C,20,50,0,0,1976-05-31T12:00:00Z,1979-04-30T12:00:00Z
PEL,MO1,0004,039A,20,230,0,0,1979-04-30T12:00:00Z,1982-03-14T12:00:00Z
PEL,MO1,0004,039A,20,230,0,0,1982-03-14T12:00:00Z,1982-10-10T12:00:00Z
PEL,MO1,0004,039A,20,230,0,0,1982-10-10T12:00:00Z,1986-04-29T12:00:00Z
PEL,MO1,0005,051A,20,260,0,0,1966-11-15T12:00:00Z,1970-05-26T12:00:00Z
PEL,MO1,0005,051A,20,260,0,0,1970-05-26T12:00:00Z,1987-11-22T11:00:00Z
PEL,MO1,0006,060A,20,97,0,0,1966-11-16T12:00:00Z,1970-11-02T12:00:00Z
PEL,MO1,0006,060A,20,97,0,0,1970-11-02T12:00:00Z,1977-02-13T11:00:00Z
PEL,MO1,0006,060A,20,97,0,0,1977-02-13T11:00:00Z,1977-06-27T12:00:00Z
PEL,MO1,0006,060A,20,97,0,0,1977-06-27T12:00:00Z,1988-11-03T11:00:00Z
PEL,MO1,0007,602A,20,308,0,0,1968-11-19T12:00:00Z,1969-12-18T12:00:00Z
PEL,MO1,0007,073A,20,291,0,0,1970-02-25T12:00:00Z,1985-05-28T12:00:00Z
PEL,MO1,0008,701A,20,54,0,0,1970-04-13T12:00:00Z,1973-03-20T12:00:00Z
PEL,MO1,0008,701C,20,54,0,0,1973-03-20T12:00:00Z,1989-04-18T12:00:00Z
PEL,MO1,0009,024A,20,248,0,0,1969-12-02T12:00:00Z,1976-07-20T12:00:00Z
PEL,MO1,0009,024A,20,248,0,0,1976-07-20T12:00:00Z,1977-04-18T12:00:00Z
PEL,MO1,0009,024A,20,248,0,0,1977-04-18T12:00:00Z,1978-10-11T12:00:00Z
PEL,MO1,0009,024A,20,248,0,0,1978-10-11T12:00:00Z,1981-04-07T12:00:00Z
PEL,MO1,0009,032A,20,311,0,0,1981-06-30T12:00:00Z,1983-10-09T12:00:00Z
PEL,MO1,0010,077A,20,87,0,0,1970-02-23T12:00:00Z,1988-10-31T11:00:00Z
PEL,MO1,0011,082A,20,84,0,0,1970-03-18T12:00:00Z,1971-03-24T12:00:00Z
PEL,MO1,0011,082A,20,84,0,0,1971-03-24T12:00:00Z,1971-09-17T12:00:00Z
PEL,MO1,0011,082A,20,84,0,0,1971-09-17T12:00:00Z,1972-03-23T12:00:00Z
PEL,MO1,0011,082A,20,84,0,0,1972-03-23T12:00:00Z,1972-11-16T12:00:00Z
PEL,MO1,0011,082A,20,174,0,0,1972-11-16T12:00:00Z,1973-08-08T12:00:00Z
PEL,MO1,0013,080A,20,49,0,0,1970-02-22T12:00:00Z,1972-09-22T12:00:00Z
PEL,MO1,0013,080A,20,49,0,0,1972-09-22T12:00:00Z,1973-06-29T12:00:00Z
PEL,MO1,0013,080B,20,49,0,0,1973-06-29T12:00:00Z,1974-03-02T12:00:00Z
PEL,MO1,0013,078A,20,329,0,0,1974-06-16T12:00:00Z,1976-06-25T12:00:00Z
PEL,MO1,0013,078A,20,329,0,0,1976-06-25T12:00:00Z,1982-05-27T12:00:00Z
PEL,MO1,0014,604A,20,254,0,0,1968-11-19T12:00:00Z,1976-11-11T11:00:00Z
PEL,MO1,0015,081A,20,329,0,0,1970-03-19T12:00:00Z,1990-05-20T12:00:00Z
PEL,MO1,0016,048A,20,90,0,0,1969-11-03T12:00:00Z,1973-10-17T12:00:00Z
PEL,MO1,0016,048B,20,90,0,0,1973-10-17T12:00:00Z,1976-06-28T12:00:00Z
PEL,MO1,0016,048C,20,180,0,0,1976-06-28T12:00:00Z,1977-02-14T11:00:00Z
PEL,MO1,0017,057A,20,216,0,0,1969-10-30T12:00:00Z,1988-06-16T12:00:00Z
PEL,MO1,0018,078A,20,329,0,0,1969-10-31T12:00:00Z,1974-06-16T12:00:00Z
PEL,MO1,0019,070A,20,215,0,0,1970-02-21T12:00:00Z,1975-06-15T12:00:00Z
PEL,MO1,0019,082A,20,174,0,0,1975-07-17T12:00:00Z,1977-07-21T12:00:00Z
PEL,MO1,0019,100A,20,88,0,0,1977-07-21T12:00:00Z,1988-12-12T11:00:00Z
PEL,MO1,0020,045A,20,170,0,0,1970-05-25T12:00:00Z,1989-02-27T11:00:00Z
PEL,MO1,0021,606A,20,324,0,0,1971-07-18T12:00:00Z,1975-03-13T12:00:00Z
PEL,MO1,0021,606A,20,324,0,0,1975-03-13T12:00:00Z,1975-04-06T12:00:00Z
PEL,MO1,0021,089A,20,97,0,0,1975-06-12T12:00:00Z,1978-10-08T12:00:00Z
PEL,MO1,0021,089A,20,97,0,0,1978-10-08T12:00:00Z,1979-06-10T12:00:00Z
PEL,MO1,0021,089A,20,97,0,0,1979-06-10T12:00:00Z,1980-09-20T12:00:00Z
PEL,MO1,0022,090A,20,191,0,0,1975-02-25T12:00:00Z,1978-06-13T12:00:00Z
PEL,MO1,0022,090A,20,191,0,0,1978-06-13T12:00:00Z,1979-02-13T11:00:00Z
PEL,MO1,0023,082A,20,174,0,0,1973-08-08T12:00:00Z,1975-07-17T12:00:00Z
PEL,MO1,0023,096A,20,5,0,0,1980-10-28T11:00:00Z,1989-08-09T12:00:00Z
PEL,MO1,0025,053A,20,254,0,0,1969-11-01T12:00:00Z,1970-11-02T12:00:00Z
PEL,MO1,0025,053A,20,254,0,0,1971-06-15T12:00:00Z,1979-02-17T11:00:00Z
PEL,MO1,0026,301A,20,240,0,0,1970-06-21T12:00:00Z,1989-12-13T11:00:00Z
PEL,MO1,0027,001A,20,0,0,0,1970-04-17T12:00:00Z,1976-04-30T12:00:00Z
PEL,MO1,0027,001A,20,0,0,0,1976-04-30T12:00:00Z,1980-06-12T12:00:00Z
PEL,MO1,0028,642A,20,233,0,0,1970-07-01T12:00:00Z,1974-07-14T12:00:00Z
PEL,MO1,0028,642A,20,53,0,0,1974-07-14T12:00:00Z,1986-07-06T12:00:00Z
PEL,MO1,0028,935A,20,166,0,0,1987-08-11T12:00:00Z,1988-10-03T12:00:00Z
PEL,MO1,0028,935A,20,166,0,0,1987-08-11T12:00:00Z,1988-10-03T12:00:00Z
PEL,MO1,0029,089A,20,97,0,0,1973-06-28T12:00:00Z,1975-06-12T12:00:00Z
PEL,MO1,0029,070A,20,231,0,0,1975-06-15T12:00:00Z,1980-02-17T11:00:00Z
PEL,MO1,0029,033A,20,155,0,0,1980-03-23T12:00:00Z,1981-01-29T11:00:00Z
PEL,MO1,0029,033A,20,155,0,0,1981-02-23T11:00:00Z,1990-04-02T12:00:00Z
PEL,MO1,0030,104A,20,0,0,0,1980-04-28T12:00:00Z,1980-11-18T11:00:00Z
PEL,MO1,0030,104A,20,178,0,0,1980-11-18T11:00:00Z,1982-05-24T12:00:00Z
PEL,MO1,0030,104A,20,178,0,0,1982-05-24T12:00:00Z,1984-05-21T12:00:00Z
PEL,MO1,0030,122A,20,269,0,0,1984-05-22T12:00:00Z,1989-02-28T11:00:00Z
