Sensor Make,Sensor Model,Serial Number,Station Code,Location Code,Installation Azimuth,Installation Dip,Installation Depth,Installation Date,Removal Date
PELVicEng,MO2,0001,087D,20,310,0,0,1967-07-04T12:00:00Z,1969-06-11T12:00:00Z
PELVicEng,MO2,0001,083A,20,115,0,0,1969-10-29T12:00:00Z,1970-05-26T12:00:00Z
PELVicEng,MO2,0001,087B,20,310,0,0,1970-12-07T12:00:00Z,1972-07-03T12:00:00Z
PELVicEng,MO2,0001,084E,20,83,0,0,1972-09-21T12:00:00Z,1975-06-11T12:00:00Z
PELVicEng,MO2,0001,092A,20,147,0,0,1975-07-21T12:00:00Z,1976-02-11T11:00:00Z
PELVicEng,MO2,0001,092A,20,147,0,0,1975-07-21T12:00:00Z,1976-02-11T11:00:00Z
PELVicEng,MO2,0001,084D,20,83,0,0,1976-02-19T11:00:00Z,1993-06-16T12:00:00Z
PELVicEng,MO2,0002,085C,20,353,0,0,1967-08-08T12:00:00Z,1979-07-13T12:00:00Z
PELVicEng,MO2,0002,087B,20,310,0,0,1979-11-26T11:00:00Z,1991-05-15T12:00:00Z
PELVicEng,MO2,0003,085E,20,353,0,0,1967-08-08T12:00:00Z,1970-03-19T12:00:00Z
PELVicEng,MO2,0003,085E,20,353,0,0,1970-03-19T12:00:00Z,1978-03-31T12:00:00Z
PELVicEng,MO2,0003,801C,20,108,0,0,1978-12-06T11:00:00Z,1985-08-06T12:00:00Z
PELVicEng,MO2,0003,806A,20,216,0,0,1986-05-21T12:00:00Z,1989-09-19T12:00:00Z
PELVicEng,MO2,0003,806A,20,216,0,0,1989-09-19T12:00:00Z,1995-09-20T12:00:00Z
PELVicEng,MO2,0004,084C,20,83,0,0,1967-08-21T12:00:00Z,1976-09-19T12:00:00Z
PELVicEng,MO2,0004,340C,20,58,0,0,1977-05-23T12:00:00Z,1996-08-07T12:00:00Z
PELVicEng,MO2,0004,340C,20,58,0,0,1996-08-07T12:00:00Z,2003-06-26T12:00:00Z
PELVicEng,MO2,0005,087A,20,310,0,0,1967-07-04T12:00:00Z,1979-11-26T11:00:00Z
PELVicEng,MO2,0005,084A,20,353,0,0,1980-02-15T11:00:00Z,1983-05-21T12:00:00Z
PELVicEng,MO2,0005,084A,20,353,0,0,1983-05-21T12:00:00Z,1985-09-13T12:00:00Z
PELVicEng,MO2,0007,083A,20,115,0,0,1968-06-06T12:00:00Z,1969-10-29T12:00:00Z
PELVicEng,MO2,0007,087B,20,310,0,0,1969-11-18T12:00:00Z,1970-12-07T12:00:00Z
PELVicEng,MO2,0007,083A,20,115,0,0,1971-06-10T12:00:00Z,1976-06-25T12:00:00Z
PELVicEng,MO2,0007,083A,20,115,0,0,1976-06-25T12:00:00Z,1977-09-20T12:00:00Z
PELVicEng,MO2,0007,083A,20,115,0,0,1977-09-20T12:00:00Z,1980-11-18T11:00:00Z
PELVicEng,MO2,0008,085D,20,353,0,0,1967-08-08T12:00:00Z,1970-03-19T12:00:00Z
PELVicEng,MO2,0008,085D,20,353,0,0,1970-03-19T12:00:00Z,1972-03-24T12:00:00Z
PELVicEng,MO2,0008,087B,20,310,0,0,1972-07-03T12:00:00Z,1978-02-27T11:00:00Z
PELVicEng,MO2,0009,084B,20,173,0,0,1967-08-21T12:00:00Z,1979-06-08T12:00:00Z
PELVicEng,MO2,0009,085C,20,353,0,0,1979-07-13T12:00:00Z,1988-02-02T11:00:00Z
PELVicEng,MO2,0009,085F,20,151,0,0,1988-02-03T11:00:00Z,1992-03-21T12:00:00Z
PELVicEng,MO2,0010,087C,20,310,0,0,1967-07-04T12:00:00Z,1977-12-13T11:00:00Z
PELVicEng,MO2,0010,086A,20,43,0,0,1978-12-08T11:00:00Z,1990-05-26T12:00:00Z
PELVicEng,MO2,0010,703A,20,90,0,0,1990-08-22T12:00:00Z,1993-05-11T12:00:00Z
PELVicEng,MO2,0010,091A,20,176,0,0,1995-12-12T11:00:00Z,2001-12-11T11:00:00Z
PELVicEng,MO2,0011,087D,20,310,0,0,1969-06-11T12:00:00Z,1978-03-13T12:00:00Z
PELVicEng,MO2,0011,087D,20,310,0,0,1978-05-30T12:00:00Z,1980-07-07T12:00:00Z
