Sensor Make,Sensor Model,Serial Number,Station Code,Location Code,Installation Azimuth,Installation Dip,Installation Depth,Installation Date,Removal Date
TerraTech,DCA-333,333,642D,20,243,0,0,1990-03-27T00:00:00Z,1990-05-02T00:00:00Z
TerraTech,DCA-333,333,941A,20,205,0,0,1990-05-04T00:00:00Z,1990-11-05T00:00:00Z
TerraTech,DCA-333,333,468A,20,11,0,0,1991-06-27T00:00:00Z,1994-02-01T00:00:00Z
TerraTech,DCA-333,333,077B,20,357,0,0,1994-02-22T00:00:00Z,1995-06-19T00:00:00Z
TerraTech,DCA-333,333,039E,20,321,0,0,2000-08-04T00:00:00Z,2002-07-29T00:00:00Z
TerraTech,DCA-333,334,642J,20,320,0,0,1995-03-02T00:00:00Z,1995-10-12T00:00:00Z
TerraTech,DCA-333,336,039E,20,141,0,0,1989-04-13T00:00:00Z,1990-05-14T00:00:00Z
TerraTech,DCA-333,336,039E,20,141,0,0,1990-05-14T00:00:00Z,1990-10-08T00:00:00Z
TerraTech,DCA-333,336,039E,20,51,0,0,1990-10-08T00:00:00Z,1990-11-15T00:00:00Z
TerraTech,DCA-333,336,039E,20,51,0,0,1991-05-16T00:00:00Z,1991-08-16T00:00:00Z
TerraTech,DCA-333,336,039E,20,51,0,0,1991-08-16T00:00:00Z,1994-04-10T00:00:00Z
TerraTech,DCA-333,336,925A,20,119,0,0,1994-07-26T00:00:00Z,1995-10-24T00:00:00Z
TerraTech,DCA-333,336,039E,20,51,0,0,1996-05-03T00:00:00Z,1999-04-20T00:00:00Z
TerraTech,DCA-333,337,935B,20,344,0,0,1989-05-09T00:00:00Z,1990-01-31T00:00:00Z
TerraTech,DCA-333,337,642D,20,243,0,0,1990-02-02T00:00:00Z,1990-02-12T00:00:00Z
TerraTech,DCA-333,337,935B,20,344,0,0,1990-02-12T00:00:00Z,1990-04-27T00:00:00Z
TerraTech,DCA-333,337,935B,20,344,0,0,1990-04-27T00:00:00Z,1990-06-16T00:00:00Z
TerraTech,DCA-333,337,021A,20,176,0,0,1995-09-18T00:00:00Z,1996-04-23T00:00:00Z
TerraTech,DCA-333,337,925B,20,299,0,0,1996-06-25T00:00:00Z,2002-10-08T00:00:00Z
TerraTech,DCA-333,338,642E,20,161,0,0,1990-03-08T00:00:00Z,1991-02-22T00:00:00Z
TerraTech,DCA-333,338,103B,20,175,0,0,1991-02-27T00:00:00Z,1992-06-17T00:00:00Z
TerraTech,DCA-333,338,054A,20,350,0,0,1993-03-06T00:00:00Z,1993-11-06T00:00:00Z
TerraTech,DCA-333,338,054A,20,350,0,0,1993-11-06T00:00:00Z,2002-04-11T00:00:00Z
TerraTech,DCA-333,339,017A,20,308,0,0,1989-08-10T00:00:00Z,1990-04-05T00:00:00Z
TerraTech,DCA-333,339,467A,20,282,0,0,1991-04-12T00:00:00Z,1991-09-09T00:00:00Z
TerraTech,DCA-333,339,467A,20,282,0,0,1991-09-09T00:00:00Z,1994-02-04T00:00:00Z
TerraTech,DCA-333,339,507A,20,108,0,0,1994-02-24T00:00:00Z,2002-06-28T00:00:00Z
TerraTech,DCA-333,340,642D,20,243,0,0,1989-03-01T00:00:00Z,1989-10-09T00:00:00Z
TerraTech,DCA-333,340,900B,20,172,0,0,1989-10-13T00:00:00Z,1992-11-23T00:00:00Z
TerraTech,DCA-333,341,302A,20,308,0,0,1989-04-17T00:00:00Z,1989-08-14T00:00:00Z
TerraTech,DCA-333,341,302A,20,308,0,0,1989-08-14T00:00:00Z,1990-12-19T00:00:00Z
TerraTech,DCA-333,341,302A,20,308,0,0,1990-12-19T00:00:00Z,1991-04-29T00:00:00Z
TerraTech,DCA-333,341,302A,20,308,0,0,1991-05-17T00:00:00Z,2014-08-06T21:00:00Z
TerraTech,DCA-333,342,606B,20,342,0,0,1989-04-04T00:00:00Z,1989-04-18T00:00:00Z
TerraTech,DCA-333,342,606B,20,342,0,0,1989-04-18T00:00:00Z,1991-02-18T00:00:00Z
TerraTech,DCA-333,342,606B,20,342,0,0,1991-02-18T00:00:00Z,1991-09-09T00:00:00Z
TerraTech,DCA-333,342,606B,20,342,0,0,1991-09-09T00:00:00Z,1993-10-18T00:00:00Z
TerraTech,DCA-333,342,051D,20,81,0,0,1993-11-04T00:00:00Z,2002-04-16T00:00:00Z
TerraTech,DCA-333,343,935B,20,344,0,0,1989-04-10T00:00:00Z,1989-05-09T00:00:00Z
TerraTech,DCA-333,343,642D,20,243,0,0,1989-10-13T00:00:00Z,1989-11-11T00:00:00Z
TerraTech,DCA-333,343,103B,20,175,0,0,1989-11-14T00:00:00Z,1990-03-03T00:00:00Z
TerraTech,DCA-333,343,647C,20,22,0,0,1991-11-07T00:00:00Z,1992-04-28T00:00:00Z
TerraTech,DCA-333,344,029A,20,50,0,0,1989-08-08T00:00:00Z,1991-02-18T00:00:00Z
TerraTech,DCA-333,344,029A,20,50,0,0,1991-02-18T00:00:00Z,1994-12-07T00:00:00Z
TerraTech,DCA-333,344,925B,20,299,0,0,1995-10-24T00:00:00Z,1996-06-25T00:00:00Z
TerraTech,DCA-333,344,707A,20,111,0,0,1997-02-21T00:00:00Z,1999-08-27T00:00:00Z
TerraTech,DCA-333,345,918B,20,260,0,0,1989-05-30T00:00:00Z,1990-10-19T00:00:00Z
TerraTech,DCA-333,345,918B,20,260,0,0,1990-10-19T00:00:00Z,1994-11-18T00:00:00Z
TerraTech,DCA-333,345,712A,20,123,0,0,1994-12-12T00:00:00Z,2001-12-04T00:00:00Z
TerraTech,DCA-333,346,935B,20,344,0,0,1990-08-17T00:00:00Z,1990-11-06T00:00:00Z
TerraTech,DCA-333,432,017A,20,308,0,0,1991-08-01T00:00:00Z,1999-06-17T00:00:00Z
TerraTech,DCA-333,432,707A,20,111,0,0,1999-08-27T00:00:00Z,2001-08-01T00:00:00Z
TerraTech,DCA-333,433,505A,20,347,0,0,1992-10-15T00:00:00Z,1993-03-07T00:00:00Z
TerraTech,DCA-333,433,935C,20,344,0,0,1993-08-09T00:00:00Z,1995-10-12T00:00:00Z
TerraTech,DCA-333,433,469A,20,155,0,0,1996-05-08T00:00:00Z,1997-01-13T00:00:00Z
TerraTech,DCA-333,433,469B,20,283,0,0,1997-02-19T00:00:00Z,2001-10-29T00:00:00Z
TerraTech,DCA-333,434,642D,20,243,0,0,1990-08-24T00:00:00Z,1990-11-15T00:00:00Z
TerraTech,DCA-333,434,014A,20,330,0,0,1991-07-30T00:00:00Z,2002-04-23T00:00:00Z
TerraTech,DCA-333,435,015A,20,0,0,0,1991-07-30T00:00:00Z,1993-08-13T00:00:00Z
TerraTech,DCA-333,436,132A,20,195,0,0,1993-07-28T00:00:00Z,1997-05-05T00:00:00Z
TerraTech,DCA-333,436,644D,20,205,0,0,1997-11-27T00:00:00Z,2014-11-13T22:00:00Z
TerraTech,DCA-333,436A,040A,20,169,0,0,1994-04-28T00:00:00Z,2001-12-12T00:00:00Z
TerraTech,DCA-333,436B,934C,20,156,0,0,1990-08-17T00:00:00Z,1991-01-28T00:00:00Z
TerraTech,DCA-333,436B,647A,20,112,0,0,1991-11-07T00:00:00Z,1991-11-12T00:00:00Z
TerraTech,DCA-333,436B,642E,20,161,0,0,1991-11-12T00:00:00Z,1992-02-03T00:00:00Z
TerraTech,DCA-333,436B,505A,20,347,0,0,1992-02-14T00:00:00Z,1992-10-15T00:00:00Z
