Datalogger Model,Sensor Model,Reversed,Response Lookup,Site Match
Q330/3,LE-3Dlite,false,Q330_LE-3Dlite,
Q330/3,LE-3DliteMkII,false,Q330_LE-3DliteMkII,
Q330/6,L4C-3D,false,Q330_L4C-3D,
Q330/6,LE-3Dlite,false,Q330_LE-3Dlite,
Q330/6,LE-3DliteMkII,false,Q330_LE-3DliteMkII,!KQ03
Q330/6,LE-3DliteMkII,false,Q330_LE-3DliteMkII_200,KQ03
Q330/6,GS-11D seismometer,false,Q330_GS-11D_seismometer,
Q330S/3,2 Hz Duke Malin Seismometer,true,Q330S_Duke_Malin_Seismometer,
Q330S/3,4.5 Hz Duke Malin Seismometer,true,Q330S_Duke_Malin_Seismometer,
Q330S/6,2 Hz Duke Malin Seismometer,true,Q330S_Duke_Malin_Seismometer,
Q330S/6,4.5 Hz Duke Malin Seismometer,true,Q330S_Duke_Malin_Seismometer,
