Sensor Make,Sensor Model,Serial Number,Station Code,Location Code,Installation Azimuth,Installation Dip,Installation Depth,Installation Date,Removal Date
BoiseStateUniversity,InfraBSU microphone,0124,WSRZ,31,0,0,0,2014-11-20T02:00:00Z,9999-01-01T00:00:00Z
BoiseStateUniversity,InfraBSU microphone,0137,KHEZ,31,0,0,0,2014-10-14T04:00:00Z,9999-01-01T00:00:00Z
BoiseStateUniversity,InfraBSU microphone,0138,KHEZ,32,0,0,0,2014-10-14T04:00:00Z,9999-01-01T00:00:00Z
BoiseStateUniversity,InfraBSU microphone,0147,WIZ,32,0,0,0,2015-01-22T00:00:00Z,9999-01-01T00:00:00Z
BoiseStateUniversity,InfraBSU microphone,0148,KHEZ,33,0,0,0,2014-10-14T04:00:00Z,9999-01-01T00:00:00Z
BoiseStateUniversity,InfraBSU microphone,0149,COVZ,31,0,0,-10,2014-04-01T23:40:00Z,2015-02-23T00:00:00Z
BoiseStateUniversity,InfraBSU microphone,0150,PREZ,33,0,0,0,2014-05-14T00:01:00Z,9999-01-01T00:00:00Z
BoiseStateUniversity,InfraBSU microphone,0151,PREZ,31,0,0,0,2014-05-14T00:01:00Z,9999-01-01T00:00:00Z
BoiseStateUniversity,InfraBSU microphone,0154,PREZ,32,0,0,0,2014-05-14T00:01:00Z,9999-01-01T00:00:00Z
BoiseStateUniversity,InfraBSU microphone,0157,WIZ,31,0,0,0,2015-01-22T00:00:00Z,9999-01-01T00:00:00Z
BoiseStateUniversity,InfraBSU microphone,0160,WSRZ,32,0,0,0,2014-11-20T02:00:00Z,9999-01-01T00:00:00Z
