Manufacturer,Make,Model,Serial Number,Notes
Boise State University,BoiseStateUniversity,InfraBSU microphone,0124,
Boise State University,BoiseStateUniversity,InfraBSU microphone,0126,
Boise State University,BoiseStateUniversity,InfraBSU microphone,0137,
Boise State University,BoiseStateUniversity,InfraBSU microphone,0138,
Boise State University,BoiseStateUniversity,InfraBSU microphone,0147,
Boise State University,BoiseStateUniversity,InfraBSU microphone,0148,
Boise State University,BoiseStateUniversity,InfraBSU microphone,0149,
Boise State University,BoiseStateUniversity,InfraBSU microphone,0150,
Boise State University,BoiseStateUniversity,InfraBSU microphone,0151,
Boise State University,BoiseStateUniversity,InfraBSU microphone,0154,
Boise State University,BoiseStateUniversity,InfraBSU microphone,0157,
Boise State University,BoiseStateUniversity,InfraBSU microphone,0160,
