Sensor Make,Sensor Model,Serial Number,Station Code,Location Code,Installation Azimuth,Installation Dip,Installation Depth,Installation Date,Removal Date
Duke,2 Hz Duke Malin Seismometer,001,RIVH,11,0,0,250,2007-02-08T07:10:00Z,2007-05-13T15:40:00Z
Duke,2 Hz Duke Malin Seismometer,001,RVAZ,10,360,0,250,2008-04-01T12:00:00Z,2013-10-22T13:00:00Z
Duke,2 Hz Duke Malin Seismometer,001,RVAZ,10,360,0,250,2008-04-01T12:00:00Z,2013-10-22T13:00:00Z
Duke,2 Hz Duke Malin Seismometer,110,KBAZ,10,0,0,160,2008-07-10T13:00:00Z,2008-09-15T12:00:00Z
Duke,2 Hz Duke Malin Seismometer,110,HBAZ,10,0,0,380,2009-08-06T12:00:01Z,9999-01-01T00:00:00Z
Duke,2 Hz Duke Malin Seismometer,301,ETAZ,10,0,0,347,2010-02-10T11:00:03Z,9999-01-01T00:00:00Z
Duke,2 Hz Duke Malin Seismometer,498,EPAZ,10,0,0,383,2011-08-22T12:01:00Z,9999-01-01T00:00:00Z
Duke,2 Hz Duke Malin Seismometer,501,WNVZ,11,160,0,52,2010-05-30T12:02:01Z,9999-01-01T00:00:00Z
Duke,2 Hz Duke Malin Seismometer,502,NEZ,10,0,0,0,2010-06-01T18:00:00Z,2010-06-07T11:30:00Z
Duke,2 Hz Duke Malin Seismometer,502,NEZ,11,0,0,111.2,2010-06-07T11:35:00Z,2011-07-19T12:00:00Z
Duke,2 Hz Duke Malin Seismometer,502,NEZ,11,0,0,111.2,2011-08-08T17:30:00Z,2013-12-03T12:00:00Z
Duke,2 Hz Duke Malin Seismometer,502,NEZ,11,0,0,111.2,2014-03-19T11:00:10Z,9999-01-01T00:00:00Z
Duke,2 Hz Duke Malin Seismometer,503,AWAZ,10,0,0,371,2010-12-13T12:00:00Z,9999-01-01T00:00:00Z
Duke,2 Hz Duke Malin Seismometer,551,MBAZ,10,0,0,96,2012-10-08T10:30:00Z,9999-01-01T00:00:00Z
Duke,2 Hz Duke Malin Seismometer,599,NBEZ,10,0,0,43.8,2012-10-15T11:01:00Z,9999-01-01T00:00:00Z
Duke,2 Hz Duke Malin Seismometer,650,RVAZ,10,0,0,250,2014-03-05T11:00:20Z,9999-01-01T00:00:00Z
Duke,2 Hz Duke Malin Seismometer,999991,GCSZ,10,0,0,81,2012-04-15T12:05:00Z,2013-02-02T11:00:00Z
Duke,2 Hz Duke Malin Seismometer,GC2,GCSZ,10,0,0,81,2013-02-02T11:10:00Z,9999-01-01T00:00:00Z
Duke,2 Hz Duke Malin Seismometer,MONT006,KBAZ,10,360,0,160,2008-10-30T10:00:00Z,9999-01-01T00:00:00Z
Duke,2 Hz Duke Malin Seismometer,RMS-1,WNVZ,11,0,0,52,2010-04-08T14:30:00Z,2010-05-30T12:02:00Z
Duke,4.5 Hz Duke Malin Seismometer,601,THQ2,10,0,0,80,2012-12-17T12:00:00Z,9999-01-01T00:00:00Z
