Manufacturer,Make,Model,Serial Number,Notes
Duke University,Duke,2 Hz Duke Malin Seismometer,001,
Duke University,Duke,2 Hz Duke Malin Seismometer,110,
Duke University,Duke,2 Hz Duke Malin Seismometer,301,
Duke University,Duke,2 Hz Duke Malin Seismometer,498,
Duke University,Duke,2 Hz Duke Malin Seismometer,501,
Duke University,Duke,2 Hz Duke Malin Seismometer,502,
Duke University,Duke,2 Hz Duke Malin Seismometer,503,
Duke University,Duke,2 Hz Duke Malin Seismometer,551,
Duke University,Duke,2 Hz Duke Malin Seismometer,599,
Duke University,Duke,2 Hz Duke Malin Seismometer,600,
Duke University,Duke,2 Hz Duke Malin Seismometer,650,
Duke University,Duke,2 Hz Duke Malin Seismometer,999991,
Duke University,Duke,2 Hz Duke Malin Seismometer,GC2,
Duke University,Duke,2 Hz Duke Malin Seismometer,MONT006,
Duke University,Duke,2 Hz Duke Malin Seismometer,RMS-1,
Duke University,Duke,4.5 Hz Duke Malin Seismometer,601,
