Sensor Make,Sensor Model,Serial Number,Station Code,Location Code,Installation Azimuth,Installation Dip,Installation Depth,Installation Date,Removal Date
Geospace,GS-11D seismometer,001,KQ01,10,0,0,0,2008-06-03T12:00:00Z,9999-01-01T00:00:00Z
Geospace,GS-11D seismometer,002,KQ02,10,0,0,0,2008-06-11T12:00:02Z,9999-01-01T00:00:00Z
Geospace,GS-11D seismometer,003,KQ05,10,0,0,0,2008-09-04T08:00:03Z,9999-01-01T00:00:00Z
Geospace,GS-11D seismometer,004,KQ04,10,0,0,0,2008-09-09T15:00:00Z,9999-01-01T00:00:00Z
Geospace,GS-11D seismometer,130738-001,NS01,10,0,0,0,2013-01-31T11:10:00Z,9999-01-01T00:00:00Z
Geospace,GS-11D seismometer,130738-003,RT02,10,0,0,0,2010-11-18T11:00:03Z,2012-02-01T11:00:00Z
Geospace,GS-11D seismometer,167522-001,KQB,10,0,0,0,2012-04-03T13:00:00Z,9999-01-01T00:00:00Z
Geospace,GS-11D seismometer,167522-002,KQF,10,0,0,0,2012-04-03T13:00:00Z,9999-01-01T00:00:00Z
Geospace,GS-11D seismometer,167522-003,KQE,10,0,0,0,2012-04-03T13:00:00Z,2015-06-22T12:00:00Z
Geospace,GS-11D seismometer,167522-003,RT22,10,0,0,0,2015-06-24T11:06:00Z,9999-01-01T00:00:00Z
Geospace,GS-11D seismometer,167522-004,KQG,10,0,0,0,2012-04-03T13:00:00Z,9999-01-01T00:00:00Z
Geospace,GS-11D seismometer,167522-005,KQD,10,0,0,0,2012-04-03T13:00:00Z,2014-03-12T11:00:00Z
Geospace,GS-11D seismometer,167522-005,KQH,10,0,0,0,2014-04-09T12:02:00Z,9999-01-01T00:00:00Z
Geospace,GS-11D seismometer,17757001,NS07,10,0,0,0,2012-05-15T12:01:00Z,2012-05-15T12:01:30Z
Geospace,GS-11D seismometer,17757001,NS08,10,0,0,0,2012-05-16T10:29:00Z,2015-04-22T12:00:00Z
Geospace,GS-11D seismometer,17757001,NS18,10,0,0,0,2015-04-23T13:00:00Z,9999-01-01T00:00:00Z
Geospace,GS-11D seismometer,17757002,RT06,10,0,0,0,2012-05-24T12:00:40Z,2012-10-28T11:00:00Z
