Gauge Make,Gauge Model,Serial Number,Station Code,Location Code,Installation Dip,Vertical Offset,Offset North,Offset East,Cable Length,Installation Date,Removal Date
GESensing,Druck PDCR-1830,2427881,WLGT,41,90,0,0,0,20,2007-03-05T11:00:02Z,2007-05-22T11:30:00Z
GESensing,Druck PTX-1830,2504328,WLGT,40,90,0,0,0,20,2007-03-05T11:00:02Z,2012-05-29T10:55:00Z
GESensing,Druck PTX-1830,2574749,NAPT,40,90,-2,0,0,20,2007-09-11T12:00:00Z,2010-12-14T10:00:00Z
GESensing,Druck PTX-1830,2574760,GIST,40,90,0,0,0,60,2008-02-11T15:00:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,2574764,NAPT,41,90,-2,0,0,20,2007-09-11T12:00:00Z,2010-12-14T10:00:00Z
GESensing,Druck PTX-1830,2645534,CHIT,40,90,-5.46,0,0,120,2007-12-14T23:00:00Z,2008-11-25T08:08:00Z
GESensing,Druck PTX-1830,2645535,CHIT,41,90,-5.46,0,0,120,2007-12-14T23:00:00Z,2010-02-15T11:00:00Z
GESensing,Druck PTX-1830,2648990,CPIT,40,90,0,0,0,100,2009-09-15T15:00:00Z,2012-03-25T09:00:00Z
GESensing,Druck PTX-1830,2648993,LOTT,41,0,0,0,0,200,2008-10-02T17:00:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,2648994,LOTT,40,0,0,0,0,200,2008-10-02T17:00:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,2681503,CPIT,41,90,0,0,0,100,2009-09-15T15:00:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,2681518,TAUT,41,90,0,0,0,20,2008-05-20T14:00:02Z,2010-02-03T10:00:00Z
GESensing,Druck PTX-1830,2683728,TAUT,40,90,0,0,0,20,2008-05-20T14:00:02Z,2010-02-03T10:00:00Z
GESensing,Druck PTX-1830,2686075,GIST,41,90,0,0,0,60,2008-02-11T15:00:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,2712264,NCPT,41,0,-4,0,0,100,2008-12-09T17:00:00Z,2011-10-05T09:00:00Z
GESensing,Druck PTX-1830,2722286,NCPT,40,0,-4,0,0,100,2008-12-09T17:00:00Z,2011-10-05T09:00:00Z
GESensing,Druck PTX-1830,2742173,WLGT,41,90,0,0,0,20,2008-06-05T16:00:00Z,2012-05-29T10:55:00Z
GESensing,Druck PTX-1830,2933712,CHIT,41,90,0,0,0,125,2010-02-18T11:00:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,2933713,RBCT,40,0,0,0,0,40,2009-05-17T12:00:04Z,2010-10-26T09:00:00Z
GESensing,Druck PTX-1830,2933717,RBCT,41,0,0,0,0,40,2009-05-17T12:00:04Z,2010-10-26T09:00:00Z
GESensing,Druck PTX-1830,2933719,RFRT,41,0,0,0,0,65,2009-05-17T12:00:04Z,2010-10-26T13:00:00Z
GESensing,Druck PTX-1830,2933720,RFRT,40,0,0,0,0,65,2009-05-17T12:00:04Z,2010-10-26T13:00:00Z
GESensing,Druck PTX-1830,2945426,AUCT,40,90,0,0,0,24,2009-03-25T13:30:00Z,2012-08-27T13:00:00Z
GESensing,Druck PTX-1830,2945427,AUCT,41,90,0,0,0,24,2009-03-25T13:30:00Z,2012-08-27T16:00:00Z
GESensing,Druck PTX-1830,2954239,CHIT,40,90,0,0,0,125,2010-02-18T11:00:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,3022170,OTAT,40,90,-7.96,0,0,30,2010-02-24T12:00:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,3022171,OTAT,41,90,-7.96,0,0,30,2010-02-24T12:00:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,3028740,PUYT,40,0,0,0,0,250,2009-11-27T11:00:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,3028741,PUYT,41,0,0,0,0,250,2009-11-27T11:00:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,3047397,TAUT,40,90,0,0,0,20,2010-02-03T13:00:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,3047398,TAUT,41,90,0,0,0,20,2010-02-03T13:00:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,3116044,GBIT,40,0,0,0,0,125,2010-07-25T12:00:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,3121351,KAIT,40,90,-5.205,0,0,50,2010-05-26T13:30:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,3121352,KAIT,41,90,-5.205,0,0,50,2010-05-26T13:30:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,3126134,SUMT,40,90,0,0,0,100,2010-08-10T11:30:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,3126136,GBIT,41,0,0,0,0,125,2010-07-25T12:00:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,3126137,SUMT,41,90,0,0,0,100,2010-08-10T11:30:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,3133806,RFRT,40,60,0,0,0,65,2010-10-29T11:00:00Z,2011-11-07T11:00:00Z
GESensing,Druck PTX-1830,3133809,NCPT,41,0,0,0,0,65,2011-10-05T14:00:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,3133814,RFRT,41,60,0,0,0,65,2010-10-29T11:00:00Z,2011-11-07T11:00:00Z
GESensing,Druck PTX-1830,3133818,MNKT,40,0,0,0,0,50,2010-07-14T15:00:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,3133822,MNKT,41,0,0,0,0,50,2010-07-14T15:00:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,3133827,NCPT,40,0,0,0,0,65,2011-10-05T14:00:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,3136137,NAPT,40,90,-5.969,0,0,20,2010-12-14T16:00:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,3136140,NAPT,41,90,-5.969,0,0,20,2010-12-14T16:00:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,3150040,RBCT,41,90,0,0,0,50,2010-10-26T14:00:00Z,9999-01-01T00:00:00Z
