Manufacturer,Make,Model,Serial Number,Notes
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,LM35,T001,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,LM35,T002,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,SDP,A1,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,SDP,A10,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,SDP,A2,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,SDP,A3,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,SDP,A4,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,SDP,A5,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,SDP,A6,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,SDP,A7,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,SDP,A8,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,SDP,A9,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,SDP,SDP-001,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,SDP,SDP-002,
