Sensor Make,Sensor Model,Serial Number,Station Code,Location Code,Installation Azimuth,Installation Dip,Installation Depth,Installation Date,Removal Date
Guralp,CMG-3ESP,T3137,AN03,10,0,0,0,1999-11-03T00:00:02Z,2000-01-22T00:00:00Z
Guralp,CMG-3ESP,T33794,RIZ,10,0,0,0,2009-05-18T00:01:00Z,9999-01-01T00:00:00Z
Guralp,CMG-3ESP,T33795,OPRZ,10,0,0,0,2007-06-19T03:05:00Z,2008-11-20T03:05:00Z
Guralp,CMG-3ESP,T33795,LTZ,10,0,0,0,2010-02-09T01:03:00Z,9999-01-01T00:00:00Z
Guralp,CMG-3ESP,T367,AN09,10,0,0,0,1999-12-07T00:00:02Z,2000-01-21T00:00:00Z
Guralp,CMG-3ESP,T3B41,NNZ,10,0,0,0,2003-10-29T02:30:02Z,2012-01-05T23:00:00Z
Guralp,CMG-3ESP,T3B45,THZ,10,0,0,0,2003-08-08T03:21:00Z,9999-01-01T00:00:00Z
Guralp,CMG-3ESP,T3B46,MLZ,10,0,0,0,2003-09-08T00:00:00Z,9999-01-01T00:00:00Z
Guralp,CMG-3ESP,T3B59,WVZ,10,0,0,0,2003-09-06T00:00:00Z,2005-11-30T23:00:00Z
Guralp,CMG-3ESP,T3B59,SYZ,10,0,0,0,2006-05-05T00:20:00Z,9999-01-01T00:00:00Z
Guralp,CMG-3ESP,T3B60,TUZ,10,0,0,0,2003-09-10T00:00:00Z,2003-10-31T23:00:00Z
Guralp,CMG-3ESP,T3B60,WHZ,10,0,0,0,2006-04-07T03:30:00Z,9999-01-01T00:00:00Z
Guralp,CMG-3ESP,T3B61,APZ,10,0,0,0,2006-05-07T03:23:54Z,9999-01-01T00:00:00Z
Guralp,CMG-3ESP,T3B62,VRZ,10,0,0,0,2003-11-26T00:00:00Z,2003-12-03T01:14:00Z
Guralp,CMG-3ESP,T3B62,WVZ,10,0,0,0,2005-12-01T00:00:00Z,2008-02-15T16:00:00Z
Guralp,CMG-3ESP,T3B62,GLKZ,10,0,0,0,2009-05-19T00:00:00Z,9999-01-01T00:00:00Z
Guralp,CMG-3ESP,T3B63,VRZ,10,0,0,0,2003-12-03T01:31:00Z,2005-02-10T00:05:00Z
Guralp,CMG-3ESP,T3B63,WCZ,10,0,0,0,2005-05-11T00:00:01Z,2005-07-12T23:00:00Z
Guralp,CMG-3ESP,T3B63,WCZ,10,0,0,0,2005-07-13T00:00:00Z,2009-10-15T00:00:00Z
Guralp,CMG-3ESP,T3B63,DUWZ,10,0,0,0,2012-02-08T00:10:00Z,2012-02-29T01:30:00Z
Guralp,CMG-3ESP,T3B63,TMVZ,10,0,0,0,2013-05-14T00:03:10Z,9999-01-01T00:00:00Z
Guralp,CMG-3ESP,T3B64,WAZ,10,0,0,0,2003-07-18T00:00:00Z,9999-01-01T00:00:00Z
Guralp,CMG-3ESP,T3B65,NNZ,10,0,0,0,2003-08-12T00:00:00Z,2003-10-29T01:30:00Z
Guralp,CMG-3ESP,T3B65,VRZ,10,0,0,0,2005-02-10T03:05:02Z,9999-01-01T00:00:00Z
Guralp,CMG-3ESP,T3B66,TUZ,10,0,0,0,2003-11-01T00:00:00Z,9999-01-01T00:00:00Z
Guralp,CMG-3ESP,T3B67,TSZ,10,0,0,0,2004-01-26T00:00:00Z,9999-01-01T00:00:00Z
Guralp,CMG-3ESP,T3E65,MSZ,10,0,0,0,2005-07-19T20:00:00Z,9999-01-01T00:00:00Z
Guralp,CMG-3ESP,T3E73,MRZ,10,0,0,0,2003-07-31T00:00:00Z,9999-01-01T00:00:00Z
Guralp,CMG-3ESP,T3E84,WCZ,10,0,0,0,2003-08-26T00:00:00Z,2005-05-11T00:00:00Z
Guralp,CMG-3ESP,T3E84,OPRZ,10,0,0,0,2008-11-20T03:10:00Z,9999-01-01T00:00:00Z
Guralp,CMG-3ESP,T3E85,LTZ,10,0,0,0,2004-02-27T04:02:00Z,2010-02-09T01:00:00Z
Guralp,CMG-3ESP,T3E85,INZ,10,0,0,0,2013-07-10T23:00:12Z,2015-05-28T06:00:00Z
Guralp,CMG-3ESP,T3E86,PWZ,10,0,0,0,2003-08-11T23:00:00Z,2005-08-15T06:00:00Z
Guralp,CMG-3ESP,T3E86,PXZ,10,0,0,0,2005-08-22T00:00:00Z,9999-01-01T00:00:00Z
Guralp,CMG-3ESP,T3E87,PUZ,10,0,0,0,2003-08-20T00:00:00Z,9999-01-01T00:00:00Z
Guralp,CMG-3ESP,T3G61,LBZ,10,0,0,0,2004-06-04T06:20:00Z,9999-01-01T00:00:00Z
