Sensor Make,Sensor Model,Serial Number,Station Code,Location Code,Installation Azimuth,Installation Dip,Installation Depth,Installation Date,Removal Date
Kinemetrics,FBA-23,25073,WEL,20,0,0,0,1990-10-03T03:04:00Z,2003-04-08T00:00:00Z
Kinemetrics,FBA-23,25073,WEL,21,0,0,0,2003-04-08T00:00:01Z,2003-09-19T23:10:00Z
Kinemetrics,FBA-23,45577,KNZ,20,0,0,0,1998-10-19T00:00:02Z,1999-12-15T22:30:00Z
Kinemetrics,FBA-23,WEL_WLN,WEL,21,0,0,0,1990-10-03T14:20:00Z,1992-04-11T16:25:00Z
Kinemetrics,FBA-ES-T,144,DSZ,20,0,0,0,1998-10-15T00:00:00Z,2004-07-20T21:40:00Z
Kinemetrics,FBA-ES-T,144,THZ,20,0,0,0,2005-07-03T23:00:00Z,2014-04-03T13:55:00Z
Kinemetrics,FBA-ES-T,145,TOZ,20,270,0,0,1998-10-15T00:00:00Z,2008-12-04T01:45:00Z
Kinemetrics,FBA-ES-T,145,TOZ,20,0,0,0,2008-12-04T02:00:00Z,9999-01-01T00:00:00Z
Kinemetrics,FBA-ES-T,164,MQZ,20,0,0,0,1998-10-14T00:00:00Z,9999-01-01T00:00:00Z
Kinemetrics,FBA-ES-T,281,KNZ,20,0,0,0,1999-12-15T22:30:00Z,9999-01-01T00:00:00Z
Kinemetrics,FBA-ES-T,587,PWZ,20,0,0,0,2001-03-21T00:00:00Z,2005-08-15T06:00:00Z
Kinemetrics,FBA-ES-T,587,PXZ,20,0,0,0,2005-08-22T00:00:00Z,9999-01-01T00:00:00Z
Kinemetrics,FBA-ES-T,588,WHZ,20,0,0,0,2001-04-05T00:00:00Z,2006-05-06T02:30:34Z
Kinemetrics,FBA-ES-T,588,JCZ,20,0,0,0,2009-03-09T00:00:02Z,9999-01-01T00:00:00Z
Kinemetrics,FBA-ES-T,985,BFZ,20,0,0,0,2003-07-30T05:00:00Z,2008-01-21T02:00:00Z
Kinemetrics,FBA-ES-T,985,TLZ,20,0,0,0,2009-05-07T01:00:00Z,9999-01-01T00:00:00Z
Kinemetrics,FBA-ES-T,986,MSZ,20,0,0,0,2005-07-19T20:00:00Z,2008-07-09T22:15:00Z
Kinemetrics,FBA-ES-T,986,OXZ,20,0,0,0.6,2009-03-14T00:00:02Z,2014-10-30T00:00:00Z
Kinemetrics,FBA-ES-T,987,NNZ,20,0,0,0,2003-08-12T00:00:00Z,2012-01-05T23:00:00Z
Kinemetrics,FBA-ES-T,988,CRLZ,20,0,0,0,2003-03-12T00:00:00Z,9999-01-01T00:00:00Z
Kinemetrics,FBA-ES-T,989,RPZ,20,0,0,0,2001-06-06T00:00:00Z,2015-10-14T23:00:00Z
Kinemetrics,FBA-ES-T,990,WAZ,20,0,0,0,2003-07-18T00:00:00Z,2013-12-22T00:00:00Z
Kinemetrics,FBA-ES-T,991,WCZ,20,0,0,0,2003-08-26T00:00:00Z,2009-10-15T00:00:00Z
Kinemetrics,FBA-ES-T,992,PUZ,20,0,0,0,2003-08-20T00:00:00Z,2013-08-07T00:00:00Z
Kinemetrics,FBA-ES-T,992,SM1F,20,0,0,0,2013-08-21T14:50:00Z,2013-11-19T10:00:00Z
Kinemetrics,FBA-ES-T,992,OWQX,20,0,0,0,2014-11-03T00:05:00Z,9999-01-01T00:00:00Z
Kinemetrics,FBA-ES-T,993,KUZ,20,0,0,0,2004-02-05T00:00:00Z,9999-01-01T00:00:00Z
