Manufacturer,Make,Model,Serial Number,Notes
Kinemetrics Inc.,Kinemetrics,FBA-23,25073,
Kinemetrics Inc.,Kinemetrics,FBA-23,45577,
Kinemetrics Inc.,Kinemetrics,FBA-23,WEL_WLN,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,144,Broken
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,145,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,164,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,281,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,587,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,588,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,985,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,986,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,987,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,988,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,989,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,990,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,991,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,992,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,993,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,994,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,995,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,996,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,997,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,998,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,999,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,1000,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,1001,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,1002,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,1003,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,1004,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,1432,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,1433,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,1434,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,1435,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,1436,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,1437,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,1438,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,1439,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,1440,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,1441,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,1754,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,1755,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,1756,Water ingress leading to failure
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,1757,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,1758,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,2260,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,2261,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,2262,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,2263,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,2264,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,2265,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,2266,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,2267,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,2268,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T,2269,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T-ISO,3494,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T-ISO,3495,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T-ISO,3496,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T-ISO,3497,
Kinemetrics Inc.,Kinemetrics,FBA-ES-T-ISO,3498,
Kinemetrics Inc.,Kinemetrics,Kinemetrics SBEPI,450,
Kinemetrics Inc.,Kinemetrics,Kinemetrics SBEPI,451,
