Sensor Make,Sensor Model,Serial Number,Station Code,Location Code,Installation Azimuth,Installation Dip,Installation Depth,Installation Date,Removal Date
Lennartz,LE-3Dlite,148,LBST,10,0,0,0,2001-01-29T02:47:00Z,2001-03-28T17:40:00Z
Lennartz,LE-3Dlite,190,LTIM,10,0,0,0,2001-01-24T04:04:00Z,2001-05-25T14:05:00Z
Lennartz,LE-3Dlite,191,LROS,10,0,0,0,2001-01-28T01:45:00Z,2001-05-30T15:15:00Z
Lennartz,LE-3Dlite,195,LWON,10,0,0,0,2001-01-25T00:52:00Z,2001-06-25T17:40:00Z
Lennartz,LE-3Dlite,197,LWHI,10,0,0,0,2001-01-25T02:31:00Z,2001-03-11T23:00:00Z
Lennartz,LE-3Dlite,200,LPIH,10,0,0,0,2001-01-29T05:43:00Z,2001-05-01T18:10:00Z
Lennartz,LE-3Dlite,201,LAHV,10,0,0,0,2001-01-23T06:19:00Z,2001-06-25T16:00:00Z
Lennartz,LE-3Dlite,203,LATK,10,0,0,0,2001-01-23T02:36:00Z,2001-06-25T16:00:00Z
Lennartz,LE-3Dlite,204,LPEN,10,0,0,0,2001-01-25T20:07:00Z,2001-06-25T17:40:00Z
Lennartz,LE-3Dlite,210,LMAN,10,0,0,0,2001-01-24T07:03:00Z,2001-06-12T21:40:00Z
Lennartz,LE-3Dlite,213,LMOT,10,0,0,0,2001-01-25T03:16:00Z,2001-06-24T00:10:00Z
Lennartz,LE-3Dlite,S-0982,TANF,10,0,0,0,2007-10-17T20:10:01Z,2007-11-27T22:00:00Z
Lennartz,LE-3Dlite,S-0982,LSTC,10,0,0,0,2009-07-17T01:50:00Z,2009-09-14T22:59:00Z
Lennartz,LE-3Dlite,S-0982,MCHD,10,0,0,0,2010-09-05T02:30:30Z,2010-09-29T00:35:00Z
Lennartz,LE-3Dlite,S-0982,MSHC,10,0,0,0,2011-02-25T23:00:02Z,2011-10-19T02:22:44Z
Lennartz,LE-3Dlite,S-0982,CSWB,10,0,0,0,2013-07-23T05:20:10Z,2013-11-19T10:00:00Z
Lennartz,LE-3Dlite,S-0983,RONF,10,0,0,0,2007-10-18T03:20:02Z,2007-11-27T22:00:00Z
Lennartz,LE-3Dlite,S-0983,SPCV,10,0,0,0,2009-07-17T04:01:00Z,2009-09-14T23:44:00Z
Lennartz,LE-3Dlite,S-0983,STLD,10,0,0,0,2010-09-05T01:04:00Z,2010-09-29T02:00:00Z
Lennartz,LE-3Dlite,S-0983,DUVC,10,0,0,0,2011-02-27T23:15:29Z,2011-10-19T00:22:44Z
Lennartz,LE-3Dlite,S-0984,RT01,10,0,0,0,2008-07-02T21:40:00Z,2008-10-10T00:00:01Z
Lennartz,LE-3Dlite,S-0985,RUGF,10,0,0,0,2007-10-17T23:59:02Z,2007-11-27T22:00:00Z
Lennartz,LE-3Dlite,S-0985,DAGG,10,0,0,0,2009-07-17T02:08:00Z,2009-09-14T21:34:00Z
Lennartz,LE-3Dlite,S-0985,LNSD,10,336,0,0,2010-09-04T22:25:30Z,2010-09-28T23:00:00Z
Lennartz,LE-3Dlite,S-0985,RHOC,10,0,0,0,2011-02-27T06:11:45Z,2011-10-18T23:22:44Z
Lennartz,LE-3Dlite,S-0986,HLRZ,10,0,0,0,2008-02-04T21:58:00Z,2008-03-18T01:17:00Z
Lennartz,LE-3Dlite,S-0987,RIVH,10,0,0,0,2006-11-23T03:22:01Z,2007-05-14T00:00:00Z
Lennartz,LE-3Dlite,S-0987,RT02,10,0,0,0,2008-07-02T21:27:01Z,2008-10-10T00:00:01Z
Lennartz,LE-3Dlite,S-0988,MAVZ,11,0,0,0,2008-02-07T01:30:00Z,2008-03-06T01:00:00Z
Lennartz,LE-3Dlite,S-0988,RT08,10,0,0,0,2008-07-03T00:30:00Z,2008-10-10T00:00:01Z
Lennartz,LE-3Dlite,S-0988,IF04,10,22,0,0,2008-11-26T05:11:00Z,2009-02-12T01:30:00Z
Lennartz,LE-3Dlite,S-0988,ESND,10,0,0,0,2010-09-05T02:53:04Z,2010-09-29T00:00:00Z
Lennartz,LE-3Dlite,S-0989,IF07,10,22,0,0,2008-10-07T04:31:00Z,2009-02-11T22:00:00Z
Lennartz,LE-3Dlite,S-0989,MKYD,10,0,0,0,2010-09-05T05:31:00Z,2010-09-28T23:30:00Z
Lennartz,LE-3Dlite,S-0989,RCHC,10,0,0,0,2011-02-26T04:30:43Z,2011-10-18T22:22:44Z
Lennartz,LE-3Dlite,S-0989,CSCP,10,0,0,0,2013-07-23T00:00:10Z,2013-11-19T10:00:00Z
Lennartz,LE-3Dlite,S-0990,ELDF,10,0,0,0,2007-10-17T21:00:02Z,2007-11-27T22:00:00Z
Lennartz,LE-3Dlite,S-0990,DKCV,10,0,0,0,2009-07-16T22:47:00Z,2009-09-15T06:13:00Z
Lennartz,LE-3Dlite,S-0990,CARD,10,0,0,0,2010-09-04T23:23:02Z,2010-09-29T23:59:00Z
Lennartz,LE-3Dlite,S-0990,PURC,10,0,0,0,2011-02-27T02:13:27Z,2011-10-19T01:22:44Z
Lennartz,LE-3Dlite,S-0990,OYBM,10,0,0,0,2013-07-23T03:00:10Z,2013-07-23T03:00:15Z
Lennartz,LE-3Dlite,S-0990,CSOY,10,0,0,0,2013-07-23T03:00:25Z,2013-11-19T10:00:00Z
Lennartz,LE-3Dlite,S-0991,RT05,10,0,0,0,2008-07-02T22:31:00Z,2008-10-10T00:00:01Z
Lennartz,LE-3Dlite,S-0991,LFRZ,10,0,0,0,2009-07-17T00:21:00Z,2009-12-10T20:13:00Z
Lennartz,LE-3Dlite,S-0991,SAND,10,0,0,0,2010-09-05T06:54:02Z,2010-09-29T04:30:00Z
Lennartz,LE-3Dlite,S-0992,RT06,10,0,0,0,2008-07-03T02:58:22Z,2008-10-10T00:00:01Z
Lennartz,LE-3Dlite,S-0994,PRGZ,10,0,0,0,2006-07-23T04:00:01Z,2006-08-17T05:00:00Z
Lennartz,LE-3Dlite,S-0994,RT11,10,0,0,0,2008-07-07T22:05:02Z,2008-10-10T00:00:01Z
Lennartz,LE-3Dlite,S-0994,AMCZ,10,0,0,0,2012-06-26T23:00:01Z,9999-01-01T00:00:00Z
