Sensor Make,Sensor Model,Serial Number,Station Code,Location Code,Installation Azimuth,Installation Dip,Installation Depth,Installation Date,Removal Date
Sercel,L15,BHW_WLN,BHW,11,0,0,25,1986-09-21T12:00:00Z,1990-04-04T01:00:00Z
Sercel,L15,HUTZ_TPN,HUTZ,10,0,0,78,1990-04-25T05:34:00Z,1992-05-31T19:55:00Z
Sercel,L15,HUTZ_TPN,HUTZ,10,0,0,78,1990-04-25T05:34:00Z,1992-05-31T19:55:00Z
Sercel,L15,WK1_TPN,WK1,10,0,0,55,1988-05-04T07:49:00Z,1989-07-24T16:04:00Z
Sercel,L15,WK3_TPN,WK3,10,0,0,33,1987-09-01T17:23:00Z,1989-07-30T11:30:00Z
Sercel,L15,WK4_TPN,WK4,10,0,0,45,1987-08-30T16:15:00Z,1989-07-16T11:09:00Z
Sercel,L15-3D,QHW_WLN,QHW,10,0,0,0,1986-09-21T12:00:00Z,1988-09-27T03:00:00Z
Sercel,L4C,372,RITZ,10,0,0,0,2003-04-03T22:00:01Z,2004-12-08T17:00:00Z
Sercel,L4C,372,DFE,10,0,0,0,2005-12-31T11:00:01Z,2008-04-22T11:00:00Z
Sercel,L4C,374,RAEZ,10,0,0,0,1997-05-29T23:03:00Z,2008-04-23T11:50:00Z
Sercel,L4C,904,EWZ,10,0,0,0,1991-03-20T15:43:00Z,1997-06-20T11:30:00Z
Sercel,L4C,1371,MKAZ,10,0,0,0,1999-05-12T12:00:00Z,2007-05-09T12:00:00Z
Sercel,L4C,2437,SIZ,10,0,0,0,1991-05-23T16:58:00Z,2001-10-23T09:04:00Z
Sercel,L4C,2438,BWZ,10,0,0,0,1991-02-19T22:46:00Z,2000-03-03T07:30:00Z
Sercel,L4C,2915,NOZ,10,0,0,0,1991-08-14T17:25:00Z,2000-04-06T11:00:00Z
Sercel,L4C,3549,OUZ,10,0,0,0,1991-03-11T14:26:00Z,2000-05-14T14:04:00Z
Sercel,L4C,4462,HBZ,10,0,0,100,1988-09-19T16:59:00Z,2004-03-01T09:10:00Z
Sercel,L4C,4636,BSZ,10,0,0,100,1990-06-19T17:14:00Z,1999-06-08T12:00:00Z
Sercel,L4C,4796,DSZ,10,0,0,0,1990-11-05T11:00:00Z,1994-01-03T00:51:00Z
Sercel,L4C,5142,NRZ,10,0,0,47,2008-03-05T12:30:00Z,2008-04-22T13:00:00Z
Sercel,L4C,5143,MKAZ,10,0,0,0,1995-01-10T03:30:00Z,1999-05-12T12:00:00Z
Sercel,L4C,5320,WIZ,10,0,0,0,1988-11-15T18:00:00Z,1989-03-06T02:00:00Z
Sercel,L4C,5320,WIZ,10,0,0,0,1993-08-24T02:01:00Z,2007-04-18T15:00:00Z
Sercel,L4C,5476,BSZ,10,0,0,100,1999-06-08T12:00:02Z,2003-11-26T14:07:00Z
Sercel,L4C,6453,MYRZ,10,0,0,0,2004-05-24T02:55:00Z,2006-07-17T11:00:00Z
Sercel,L4C,6893,BWZ,10,0,0,0,2000-03-03T07:30:02Z,2004-06-21T10:39:00Z
Sercel,L4C,6894,NWEZ,10,0,0,0,1996-04-03T05:09:00Z,2008-01-23T10:00:00Z
Sercel,L4C,6894,DFE,10,0,0,0,2008-04-22T11:00:01Z,2010-02-22T13:00:00Z
Sercel,L4C,6895,EWZ,10,0,0,0,1997-06-20T11:30:02Z,2001-07-02T02:38:00Z
Sercel,L4C,6897,NRZ,12,0,0,52,1991-02-21T06:09:00Z,1993-07-26T01:23:00Z
Sercel,L4C,6897,NRZ,14,0,0,0,1993-07-28T21:36:00Z,1997-03-18T10:51:00Z
Sercel,L4C,6897,NRZ,11,0,0,47,1997-03-27T03:13:00Z,2003-12-15T15:24:00Z
Sercel,L4C,6898,RAEZ,10,0,0,0,2008-04-23T12:00:01Z,2010-02-22T13:00:00Z
Sercel,L4C,8391,WCZ,10,0,0,0,1991-03-12T15:11:00Z,1999-06-24T14:45:00Z
Sercel,L4C,8394,NOZ,10,0,0,0,2000-04-06T11:00:02Z,2001-06-26T12:00:00Z
Sercel,L4C,9151,MARZ,10,0,0,0,1992-06-16T06:47:00Z,2005-11-22T12:16:00Z
Sercel,L4C,9151,WTAZ,11,0,0,0.5,2007-05-06T13:00:00Z,2007-05-13T14:30:00Z
Sercel,L4C,9162,MTAZ,10,0,0,0,2002-06-16T12:00:00Z,2007-06-24T16:00:00Z
Sercel,L4C,9721,KAAZ,10,0,0,12.75,1998-05-22T14:37:00Z,2009-09-07T15:00:00Z
Sercel,L4C,9951,KAAZ,11,0,0,0.5,2007-05-09T11:00:00Z,2007-06-26T14:00:00Z
Sercel,L4C,9951,NRZ,10,0,0,47,2008-04-22T13:00:01Z,2009-06-10T09:00:00Z
Sercel,L4C,9952,NOZ,10,0,0,0,2001-06-26T12:00:02Z,2004-04-02T02:14:00Z
Sercel,L4C,AMW_WLN_10,AMW,10,0,0,0,1991-03-21T13:00:00Z,1998-02-26T11:00:00Z
Sercel,L4C,AMW_WLN_11,AMW,11,0,0,0,1995-03-10T09:00:00Z,2000-10-08T17:00:00Z
Sercel,L4C,BBW_WLN_10,BBW,10,0,0,0,1992-05-26T17:00:00Z,1998-03-01T13:00:00Z
Sercel,L4C,BBW_WLN_11,BBW,11,0,0,0,1995-03-10T11:00:00Z,2004-03-21T10:00:00Z
Sercel,L4C,BHW_WLN_10,BHW,10,0,0,0,1989-08-28T12:00:00Z,1989-10-29T07:00:00Z
Sercel,L4C,BHW_WLN_12,BHW,12,0,0,100,1990-04-05T16:00:00Z,1994-09-28T11:00:00Z
Sercel,L4C,BHW_WLN_13,BHW,13,0,0,86,1994-10-02T13:00:00Z,1998-03-01T12:00:00Z
Sercel,L4C,BHW_WLN_14,BHW,14,0,0,86,1995-03-10T10:00:00Z,2003-09-12T13:00:00Z
Sercel,L4C,BLW_WLN_10,BLW,10,0,0,0,1986-09-21T12:00:00Z,1998-03-01T13:00:00Z
Sercel,L4C,BLW_WLN_11,BLW,11,0,0,0,1995-03-10T09:00:00Z,2004-06-07T13:00:00Z
Sercel,L4C,CAW_WLN_10,CAW,10,0,0,0,1986-09-21T12:00:00Z,1998-03-01T13:00:00Z
Sercel,L4C,CAW_WLN_11,CAW,11,0,0,0,1995-03-10T09:00:00Z,2003-05-19T15:00:00Z
Sercel,L4C,CCW_WLN_10,CCW,10,0,0,0,1986-09-21T12:00:00Z,1998-03-01T13:00:00Z
Sercel,L4C,CCW_WLN_11,CCW,11,0,0,0,1995-03-10T09:00:00Z,2004-04-13T08:00:00Z
Sercel,L4C,CFC_CYN,CFC,10,0,0,0,1986-12-09T07:10:00Z,1996-04-28T04:55:00Z
Sercel,L4C,CMCZ_CYN,CMCZ,10,0,0,0,1986-12-09T07:10:00Z,1989-06-28T08:55:00Z
Sercel,L4C,CNZ_CAN,CNZ,12,0,0,0,1998-03-25T10:50:00Z,2000-11-28T06:00:00Z
Sercel,L4C,CNZ_CHN,CNZ,10,0,0,0,1990-04-11T14:00:00Z,1997-03-14T02:00:00Z
Sercel,L4C,CNZ_CON,CNZ,10,0,0,0,1999-11-30T15:00:00Z,2006-01-03T18:00:00Z
Sercel,L4C,CNZ_TPN,CNZ,12,0,0,0,1996-08-16T16:00:00Z,1996-09-03T14:00:00Z
Sercel,L4C,CNZ_TPN,CNZ,11,0,0,0,1996-09-04T11:50:00Z,2000-12-02T00:00:00Z
