Manufacturer,Make,Model,Serial Number,Notes
Setra Systems Inc.,Setra,270-600/12V,1351372,
Setra Systems Inc.,Setra,270-600/12V,1456230,
Setra Systems Inc.,Setra,270-600/12V,3794081,
Setra Systems Inc.,Setra,270-600/12V,3794082,
Setra Systems Inc.,Setra,270-600/12V,3794083,
Setra Systems Inc.,Setra,270-600/12V,3794084,
Setra Systems Inc.,Setra,270-600/12V,3891532,
Setra Systems Inc.,Setra,270-600/12V,5447411,
Setra Systems Inc.,Setra,270-600/12V,5447412,
Setra Systems Inc.,Setra,270-600/12V,5447413,
Setra Systems Inc.,Setra,270-600/12V,5447414,
Setra Systems Inc.,Setra,270-600/12V,5447415,
Setra Systems Inc.,Setra,270-600/12V,5447416,
Setra Systems Inc.,Setra,270-600/12V,6493018,
Setra Systems Inc.,Setra,270-600/12V,6493019,
Setra Systems Inc.,Setra,270-600/12V,6493020,
Setra Systems Inc.,Setra,270-600/24V,2261015,
Setra Systems Inc.,Setra,270-600/24V,2625797,
Setra Systems Inc.,Setra,270-600/24V,2625798,
Setra Systems Inc.,Setra,270-600/24V,2625799,
Setra Systems Inc.,Setra,270-600/24V,2625800,
Setra Systems Inc.,Setra,270-800/12V,1285389,
Setra Systems Inc.,Setra,270-800/12V,COVZ_255,
Setra Systems Inc.,Setra,270-800/12V,COVZ_255,
Setra Systems Inc.,Setra,270-800/12V,MIC_CAN,
