Sensor Make,Sensor Model,Serial Number,Station Code,Location Code,Installation Azimuth,Installation Dip,Installation Depth,Installation Date,Removal Date
Streckeisen,STS-2,30201,KHZ,10,0,0,0,2003-08-05T12:00:00Z,2009-08-20T10:30:00Z
Streckeisen,STS-2,30202,ODZ,10,0,0,0,2003-09-10T18:00:00Z,2006-10-12T15:20:00Z
Streckeisen,STS-2,30202,BFZ,10,0,0,0,2007-10-31T11:00:10Z,2015-10-06T22:05:05Z
Streckeisen,STS-2,30202,BFZ,10,0,0,0,2015-10-06T22:30:10Z,9999-01-01T00:00:00Z
Streckeisen,STS-2,30203,HIZ,10,0,0,0,2004-02-02T13:00:00Z,9999-01-01T00:00:00Z
Streckeisen,STS-2,30204,OUZ,10,0,0,0,2003-08-25T17:00:00Z,9999-01-01T00:00:00Z
Streckeisen,STS-2,30204,OUZ,10,0,0,0,2003-08-25T17:00:00Z,9999-01-01T00:00:00Z
Streckeisen,STS-2,60732,CTZ,10,6,0,0,2007-12-14T18:00:00Z,9999-01-01T00:00:00Z
Streckeisen,STS-2,110017,QRZ,10,0,0,0,2003-10-30T08:00:00Z,9999-01-01T00:00:00Z
Streckeisen,STS-2,110018,BFZ,10,0,0,0,2003-07-29T17:00:00Z,2007-10-31T11:00:00Z
Streckeisen,STS-2,110018,KHZ,10,0,0,0,2009-08-20T10:31:00Z,2011-02-22T15:00:00Z
Streckeisen,STS-2,110019,BKZ,10,0,0,0,2004-02-10T13:00:00Z,9999-01-01T00:00:00Z
Streckeisen,STS-2,110038,QRZ,10,0,0,0,2003-08-05T12:00:00Z,2003-10-29T09:00:00Z
Streckeisen,STS-2,110038,ODZ,10,0,0,0,2006-10-12T15:20:01Z,9999-01-01T00:00:00Z
Streckeisen,STS-2,120955,KHZ,10,0,0,0,2011-02-22T15:05:00Z,9999-01-01T00:00:00Z
Streckeisen,STS-2,TMP_384,ARPA,10,0,0,0,1995-11-10T11:00:01Z,1996-04-07T11:59:59Z
