Sensor Make,Sensor Model,Serial Number,Station Code,Location Code,Installation Azimuth,Installation Dip,Installation Depth,Installation Date,Removal Date
Willmore,WILLMORE I,MNG_002_E,MNG,12,90,0,0,1988-01-18T14:23:00Z,1990-01-11T08:18:00Z
Willmore,WILLMORE I,MNG_002_N,MNG,11,0,0,0,1988-01-18T14:23:00Z,1990-01-11T08:18:00Z
Willmore,WILLMORE I,MNG_014_E,MNG,12,90,0,0,1990-01-11T11:53:00Z,1990-10-29T08:44:00Z
Willmore,WILLMORE I,MNG_014_N,MNG,11,0,0,0,1990-01-11T11:53:00Z,1990-10-29T08:44:00Z
Willmore,WILLMORE I,MQZ_009_E,MQZ,12,90,0,0,1990-01-05T09:02:00Z,1990-06-26T00:16:00Z
Willmore,WILLMORE I,MQZ_009_N,MQZ,11,0,0,0,1990-01-05T09:02:00Z,1990-06-26T00:16:00Z
Willmore,WILLMORE I,THZ_016_E,THZ,12,90,0,0,1990-05-19T00:19:00Z,1998-10-09T07:57:00Z
Willmore,WILLMORE I,THZ_016_N,THZ,11,0,0,0,1990-05-19T00:19:00Z,1998-10-09T07:57:00Z
Willmore,WILLMORE I,WLZ_010_E,WLZ,12,90,0,0,1990-03-28T22:44:00Z,1993-11-03T10:38:00Z
Willmore,WILLMORE I,WLZ_010_N,WLZ,11,0,0,0,1990-03-28T22:44:00Z,1993-11-03T10:38:00Z
Willmore,WILLMORE II,KHZ_007,KHZ,10,0,0,0,1988-12-07T22:04:00Z,1989-05-01T13:00:00Z
Willmore,WILLMORE II,KHZ_007,KHZ,10,0,0,0,1988-12-07T22:04:00Z,1989-05-01T13:00:00Z
Willmore,WILLMORE II,KHZ_007,KHZ,10,0,0,0,1989-05-30T17:00:00Z,1989-11-17T03:55:00Z
Willmore,WILLMORE II,KHZ_013,KHZ,10,0,0,0,1989-12-02T19:12:00Z,1990-08-27T09:00:00Z
Willmore,WILLMORE II,MNG_002,MNG,10,0,0,0,1988-01-18T14:23:00Z,1990-01-11T08:18:00Z
Willmore,WILLMORE II,MNG_014,MNG,10,0,0,0,1990-01-11T11:53:00Z,1990-10-29T08:44:00Z
Willmore,WILLMORE II,MQZ_009,MQZ,10,0,0,0,1990-01-03T16:38:00Z,1990-07-13T14:34:00Z
Willmore,WILLMORE II,NOZ_017,NOZ,10,0,0,0,1990-03-05T23:48:00Z,1991-07-31T15:06:00Z
Willmore,WILLMORE II,PAHZ_HBN,PAHZ,10,0,0,0,1987-03-23T17:00:00Z,1989-09-17T11:00:00Z
Willmore,WILLMORE II,THZ_016,THZ,10,0,0,0,1990-05-19T00:19:00Z,1997-08-30T23:07:00Z
Willmore,WILLMORE II,WLZ_010,WLZ,10,0,0,0,1990-03-28T22:44:00Z,1993-11-03T10:38:00Z
Willmore,WILLMORE II-3D,TAHZ_HBN,TAHZ,10,0,0,0,1987-03-19T05:00:00Z,1988-11-22T11:00:00Z
Willmore,WILLMORE II-3D,WEL_001,WEL,10,0,0,0,1987-08-17T22:48:00Z,1988-02-28T00:04:00Z
Willmore,WILLMORE II-3D,WEL_WLN,WEL,11,0,0,0,1986-09-21T12:00:00Z,1988-02-28T11:00:00Z
