Version,Network,Type,Description,Manufacturer,Vendor,Model
datalogger,BQ,,,,,
datalogger,BQ,Centaur,,Nanometrics,,Centaur
datalogger,BQ,Centaur-3,,Nanometrics,,Centaur-3
datalogger,GQ,,DigiDummy/g=1,,,
datalogger,GQ,Nanometrics Meridian,Meridian/g=400000,Nanometrics,,Meridian
datalogger,GQ,RaspberryShake ShakePi,ShakePi/g=1,RaspberryShake,,ShakePi
datalogger,GR,,,,,
datalogger,GR,,DigiDummy/g=1,,,
datalogger,GR,,DigiDummy/g=400000,,,
datalogger,GR,Earth Data EDR-209,EDR-209/g=1000000,Earth Data,,EDR-209
datalogger,GR,Guralp DM24,DM24/X1/g=348068,Guralp,,DM24
datalogger,GR,Guralp DM24,DM24/X8/g=2784545,Guralp,,DM24
datalogger,GR,Guralp DM24,DM24/g=1,Guralp,,DM24
datalogger,GR,Guralp DM24,DM24/g=392157,Guralp,,DM24
datalogger,GR,Nanometrics HRD24,HRD24/g=11854901,Nanometrics,,HRD24
datalogger,GR,Nanometrics HRD24,HRD24/g=3329412,Nanometrics,,HRD24
datalogger,GR,Nanometrics Meridian,Meridian/g=400000,Nanometrics,,Meridian
datalogger,GR,Nanometrics Trident,Trident/g=1,Nanometrics,,Trident
datalogger,GR,Quanterra Q330,Q330/HR/g=1677720,Quanterra,,Q330
datalogger,GR,Quanterra Q330,Q330/N/g=419430,Quanterra,,Q330
datalogger,GR,Quanterra Q330,Q330Mplus/g=419430,Quanterra,,Q330
datalogger,GR,Refraction Technologies REFTEK-130,REFTEK-130/g=1,Refraction Technologies,,REFTEK-130
datalogger,GR,Refraction Technologies REFTEK-130,REFTEK-130/g=20138451,Refraction Technologies,,REFTEK-130
datalogger,GR,Refraction Technologies REFTEK-130,REFTEK-130/g=629326,Refraction Technologies,,REFTEK-130
datalogger,GR,WXT530,WXT530/g=1,,,WXT530
datalogger,HS,Nanometrics Centaur,,Nanometrics,,Centaur
datalogger,HS,Nanometrics Taurus,,Nanometrics,,Taurus
datalogger,KQ,,,,,
datalogger,LE,,ABH.2019.227.HHE,,,
datalogger,LE,,ABH.2019.227.HHN,,,
datalogger,LE,,ABH.2019.227.HHZ,,,
datalogger,LE,,BABA.2016.224.HHE,,,
datalogger,LE,,BABA.2016.224.HHN,,,
datalogger,LE,,BABA.2016.224.HHZ,,,
datalogger,LE,,BEDO.2021.001.HHE,,,
datalogger,LE,,BEDO.2021.001.HHN,,,
datalogger,LE,,BEDO.2021.001.HHZ,,,
datalogger,LE,,BEUR.2019.078.HHE,,,
datalogger,LE,,BEUR.2019.078.HHN,,,
datalogger,LE,,BEUR.2019.078.HHZ,,,
datalogger,LE,,BIW.2017.149.EHE,,,
datalogger,LE,,BIW.2017.149.EHN,,,
datalogger,LE,,BIW.2017.149.EHZ,,,
datalogger,LE,,BODE.2020.289.EHN00,,,
datalogger,LE,,BODE.2020.289.EHZ00,,,
datalogger,LE,,BRET.2019.213.EHE,,,
datalogger,LE,,BRET.2019.213.EHN,,,
datalogger,LE,,BRET.2019.213.EHZ,,,
datalogger,LE,,BUCH.2017.103.HHE,,,
datalogger,LE,,BUCH.2017.103.HHN,,,
datalogger,LE,,BUCH.2017.103.HHZ,,,
datalogger,LE,,DEGG.2017.055.HHE,,,
datalogger,LE,,DEGG.2017.055.HHN,,,
datalogger,LE,,DEGG.2017.055.HHZ,,,
datalogger,LE,,DUP.2020.283.EHE01,,,
datalogger,LE,,DUP.2020.283.EHN01,,,
datalogger,LE,,DUP.2020.283.EHZ01,,,
datalogger,LE,,ENDD.2016.222.HHE,,,
datalogger,LE,,ENDD.2016.222.HHN,,,
datalogger,LE,,ENDD.2016.222.HHZ,,,
datalogger,LE,,FACH.2019.140.HHE,,,
datalogger,LE,,FACH.2019.140.HHN,,,
datalogger,LE,,FACH.2019.140.HHZ,,,
datalogger,LE,,FBB.2017.300.HHE,,,
datalogger,LE,,FBB.2017.300.HHN,,,
datalogger,LE,,FBB.2017.300.HHZ,,,
datalogger,LE,,FELD.2019.136.EHE,,,
datalogger,LE,,FELD.2019.136.EHN,,,
datalogger,LE,,FELD.2019.136.EHZ,,,
datalogger,LE,,FREU.2017.123.HHE,,,
datalogger,LE,,FREU.2017.123.HHN,,,
datalogger,LE,,FREU.2017.123.HHZ,,,
datalogger,LE,,GALG.2016.110.HHE,,,
datalogger,LE,,GALG.2016.110.HHN,,,
datalogger,LE,,GALG.2016.110.HHZ,,,
datalogger,LE,,GLOK.2018.345.HHE,,,
datalogger,LE,,GLOK.2018.345.HHN,,,
datalogger,LE,,GLOK.2018.345.HHZ,,,
datalogger,LE,,GUT.2016.349.HHE,,,
datalogger,LE,,GUT.2016.349.HHN,,,
datalogger,LE,,GUT.2016.349.HHZ,,,
datalogger,LE,,HDH.2016.121.EHE,,,
datalogger,LE,,HDH.2016.121.EHN,,,
datalogger,LE,,HDH.2016.121.EHZ,,,
datalogger,LE,,IMS.2019.233.EHE,,,
datalogger,LE,,IMS.2019.233.EHN,,,
datalogger,LE,,IMS.2019.233.EHZ,,,
datalogger,LE,,KIZ.2016.150.HHE,,,
datalogger,LE,,KIZ.2016.150.HHN,,,
datalogger,LE,,KIZ.2016.150.HHZ,,,
datalogger,LE,,KOGO.2020.214.EHE00,,,
datalogger,LE,,KOGO.2020.214.EHN00,,,
datalogger,LE,,KOGO.2020.214.EHZ00,,,
datalogger,LE,,LAGB.2015.267.HHE,,,
datalogger,LE,,LAGB.2015.267.HHN,,,
datalogger,LE,,LAGB.2015.267.HHZ,,,
datalogger,LE,,LDE.2018.212.EHE,,,
datalogger,LE,,LDE.2018.212.EHN,,,
datalogger,LE,,LDE.2018.212.EHZ,,,
datalogger,LE,,LDO.2018.254.EH1,,,
datalogger,LE,,LDO.2018.254.EH2,,,
datalogger,LE,,LDO.2018.254.EHZ,,,
datalogger,LE,,MSS.2017.095.EHE,,,
datalogger,LE,,MSS.2017.095.EHN,,,
datalogger,LE,,MSS.2017.095.EHZ,,,
datalogger,LE,,MUEZ.2020.245.HH1,,,
datalogger,LE,,MUEZ.2020.245.HH2,,,
datalogger,LE,,MUEZ.2020.245.HHZ,,,
datalogger,LE,,NICK.2019.078.HH1,,,
datalogger,LE,,NICK.2019.078.HH2,,,
datalogger,LE,,NICK.2019.078.HHZ,,,
datalogger,LE,,OCHT.2014.140.EHE,,,
datalogger,LE,,OCHT.2014.140.EHN,,,
datalogger,LE,,OCHT.2014.140.EHZ,,,
datalogger,LE,,OMED.2020.275.HHE,,,
datalogger,LE,,OMED.2020.275.HHN,,,
datalogger,LE,,OMED.2020.275.HHZ,,,
datalogger,LE,,OPP.2016.265.EHE,,,
datalogger,LE,,OPP.2016.265.EHN,,,
datalogger,LE,,OPP.2016.265.EHZ,,,
datalogger,LE,,PEB.2018.039.HHE,,,
datalogger,LE,,PEB.2018.039.HHN,,,
datalogger,LE,,PEB.2018.039.HHZ,,,
datalogger,LE,,PYRM.2019.238.HHE,,,
datalogger,LE,,PYRM.2019.238.HHN,,,
datalogger,LE,,PYRM.2019.238.HHZ,,,
datalogger,LE,,RIVT.2019.331.EHE,,,
datalogger,LE,,RIVT.2019.331.EHN,,,
datalogger,LE,,RIVT.2019.331.EHZ,,,
datalogger,LE,,ROTE.2017.249.EHE,,,
datalogger,LE,,ROTE.2017.249.EHN,,,
datalogger,LE,,ROTE.2017.249.EHZ,,,
datalogger,LE,,ROTT.2015.078.EH1,,,
datalogger,LE,,ROTT.2015.078.EH2,,,
datalogger,LE,,ROTT.2015.078.EHZ,,,
datalogger,LE,,SIND.2016.231.HHE,,,
datalogger,LE,,SIND.2016.231.HHN,,,
datalogger,LE,,SIND.2016.231.HHZ,,,
datalogger,LE,,TETT.2017.243.EHE,,,
datalogger,LE,,TETT.2017.243.EHN,,,
datalogger,LE,,TETT.2017.243.EHZ,,,
datalogger,LE,,TUBL.2003.026.EHE00,,,
datalogger,LE,,TUBL.2003.026.EHN00,,,
datalogger,LE,,TUBL.2003.026.EHZ00,,,
datalogger,LE,,URBA.2016.356.HHE,,,
datalogger,LE,,URBA.2016.356.HHN,,,
datalogger,LE,,URBA.2016.356.HHZ,,,
datalogger,LE,,VOGT.2015.324.EHE,,,
datalogger,LE,,VOGT.2015.324.EHN,,,
datalogger,LE,,VOGT.2015.324.EHZ,,,
datalogger,LE,,WOER.2018.162.EHE,,,
datalogger,LE,,WOER.2018.162.EHN,,,
datalogger,LE,,WOER.2018.162.EHZ,,,
datalogger,LE,,ZWI.2017.214.HHE,,,
datalogger,LE,,ZWI.2017.214.HHN,,,
datalogger,LE,,ZWI.2017.214.HHZ,,,
datalogger,LE,Guralp DM24,Guralp DM24,Guralp,,DM24
datalogger,RN,,,,,
datalogger,SX,Earth Data EDR-209,EDR-209_low,Earth Data,,EDR-209
datalogger,SX,Earth Data PR6-24,PR6-24_low,Earth Data,,PR6-24
datalogger,SX,Earth Data PS6-24,PS6-24_low,Earth Data,,PS6-24
datalogger,SX,Guralp Guralp,Guralp_CMG_DM24_gy,Guralp,,Guralp
datalogger,SX,LennartzM24,LennartzM24,,,LennartzM24
datalogger,SX,Nanometrics Centaur,Centaur,Nanometrics,,Centaur
datalogger,SX,Quanterra Q730alt,Q730alt,Quanterra,,Q730alt
datalogger,SX,Quanterra Q730neu,Q730neu,Quanterra,,Q730neu
datalogger,TH,Earth Data EDR-209,EDR-209_low,Earth Data,,EDR-209
datalogger,TH,Earth Data EDR-209,EDR-209_very_low,Earth Data,,EDR-209
datalogger,TH,Earth Data EDR-210,EDR-210_low,Earth Data,,EDR-210
datalogger,TH,Nanometrics Centaur,Centaur,Nanometrics,,Centaur
datalogger,TH,REF TEK Reftek130,Reftek130_1,REF TEK,,Reftek130
datalogger,TH,REF TEK Reftek130S,Reftek130S_1,REF TEK,,Reftek130S
datalogger,TH,Reftek,Reftek_169,,,Reftek
datalogger,TH,Reftek,Reftek_524,,,Reftek
datalogger,TH,Reftek,Reftek_526,,,Reftek
datalogger,YA,,DigiDummy/g=1,,,
datalogger,YA,Quanterra Q330,Q330/N/g=419463,Quanterra,,Q330
sensor,BQ,,,Kinemetrics,,"Episensor (ES-T, ES-U, ES-U2, DS-DH, SBEPI)"
sensor,BQ,,,Lennartz,,LE-3D-5s
sensor,BQ,,,Nanometrics,,Trillium All-Terrain
sensor,BQ,,"Episensor, DC to >200 Hz,  20V differential full s","Episensor,",,DC
sensor,BQ,,"GTS13, 1.25 seconds","GTS13,",,1.25
sensor,BQ,,"L-4C, 1 Hz, 51.5 V/m/s, Rc=500 Ohms, Rs=810 Ohms-G","L-4C,",,1
sensor,BQ,,"LE-3D/5s, 5 s, 400 V/m/s-Generic Datalogger, Unity","LE-3D/5s,",,5
sensor,BQ,,"LE-3Dlite MkII, 1 s, 400 V/m/s-Generic Datalogger,",LE-3Dlite,,"MkII,"
sensor,BQ,,"S-13, 1 Hz, 629 V/m/s, 3600 ohm coil-Generic Datal","S-13,",,1
sensor,BQ,,"STS-2, 120 s, 1500 V/m/s, generation 3 electronics","STS-2,",,120
sensor,BQ,,STS2 120 s (Standard),Streckeisen,,STS-2
sensor,BQ,,"Trillium Compact, 120 s, 754 V/m/s-Centaur, 40 vpp",Trillium,,"Compact,"
sensor,BQ,BB,"STS-2, 120 s, 1500 V/m/s, generation 3 electronics",Streckeisen,,"STS-2/120s, 1500 V/m/s, gen 3"
sensor,BQ,BB,"Trillium Horizon, 120 s, 1203 V/m/s",Nanometrics,,Trillium Horizon/120s
sensor,BQ,SP,"LE-3D/5s, MKII, 400 V/m/s",Lennartz Electronics,,LE-3D/5s MKII
sensor,GQ,,Meridian-PH-Compact/120/g=750,,,
sensor,GQ,SP,ShakePi-3D/g=1,RaspberryShake,,ShakePi-3D
sensor,GQ,VBB,blueSeis-3a/g=1000000000,iXBlue,,blueSeis-3a
sensor,GR,,,,,
sensor,GR,,IS-Bright/g=10,,,
sensor,GR,,IS-Humidity/g=10,,,
sensor,GR,,IS-Pressure/g=0,,,
sensor,GR,,IS-Pressure/g=10,,,
sensor,GR,,IS-Temp/g=10,,,
sensor,GR,,IS-Temp/g=24875,,,
sensor,GR,,IS-Temp/g=40000,,,
sensor,GR,,IS-Temp/g=51315,,,
sensor,GR,,IS-Temp/g=52438,,,
sensor,GR,,IS-WindDir/g=1,,,
sensor,GR,,IS-WindDir/g=10,,,
sensor,GR,,IS-WindDir/g=11111,,,
sensor,GR,,IS-WindDir/g=14250,,,
sensor,GR,,IS-WindDir/g=14566,,,
sensor,GR,,IS-WindDir/g=22222,,,
sensor,GR,,IS-WindDir/g=6972,,,
sensor,GR,,IS-WindSpeed/g=10,,,
sensor,GR,,IS-WindSpeed/g=104876,,,
sensor,GR,,IS-WindSpeed/g=106666,,,
sensor,GR,,IS-WindSpeed/g=35635,,,
sensor,GR,,IS-WindSpeed/g=66666,,,
sensor,GR,,IS-WindSpeed/g=85598,,,
sensor,GR,,"MB2000 (Infrasound), 0.02-4 Hz, 0.02 V/Pa-PR6-24,",,,
sensor,GR,,"STS-2, 120 s, 1500 V/m/s, generation 3 electronics",,,
sensor,GR,,STS1,,,
sensor,GR,,STS1-24,,,
sensor,GR,,STS1-VA,,,
sensor,GR,,STS2,,,
sensor,GR,,STS2.5,,,
sensor,GR,,SensorDummy/g=18124478,,,
sensor,GR,,SensorDummy/g=18124479,,,
sensor,GR,,SensorDummy/g=1926782273,,,
sensor,GR,,SensorDummy/g=251730648,,,
sensor,GR,,SensorDummy/g=28800184,,,
sensor,GR,,SensorDummy/g=579979120,,,
