Version,Network,Type,Description,Manufacturer,Vendor,Model
datalogger,2O,Nanometrics Centaur,Centaur,Nanometrics,,Centaur
datalogger,4T,Guralp Minimus,Guralp Minimus,Guralp,,Minimus
datalogger,4T,Nanometrics Centaur,,Nanometrics,,Centaur
datalogger,6O,,"6TD, gain 1, 100 sps, tap id 79 (800 400 200 100 50 25 Hz)",Guralp,,"CMG-6TD, 71-80, 79"
datalogger,AG,GURALP,,GURALP,,CMG-6TD
datalogger,AG,GURALP,,GURALP,Guralp,CMG-6TD
datalogger,AG,NANOMETRICS,,NANOMETRICS,,CENTAUR
datalogger,AG,REF TEK,,REF TEK,RefTek,130-01
datalogger,AM,,,,,
datalogger,AU,,,,,
datalogger,AU,Centaur,Cenatur,Nanometrics,,Centaur
datalogger,AU,Centaur,Centaur,Nanometrics,,Centaur
datalogger,AU,Centaur,NRL/ Nanometrics/CENTAUR.1.200.OFF.LP,Nanometrics,,Centaur
datalogger,AU,Centaur,Nanometrics Centaur,Nanometrics,,Centaur
datalogger,AU,Nanometrics Centaur,,Nanometrics,,Centaur
datalogger,AU,Nanometrics Centaur,Centaur 50sps,Nanometrics,,Centaur
datalogger,AU,Nanometrics Centaur,Centaur,Nanometrics,,Centaur
datalogger,AU,Nanometrics Centaur,NRL/ Nanometrics/CENTAUR.1.200.OFF.LP,Nanometrics,,Centaur
datalogger,AU,Nanometrics Centaur,NRL/Nanometrics/CENTAUR.1.40.OFF.LP,Nanometrics,,Centaur
datalogger,AU,Nanometrics Centaur,Nanometrics Centaur 100sps,Nanometrics,,Centaur
datalogger,AU,Quanterra Q330 Quanterra Q330,Quanterra Q330,Quanterra Q330,,Quanterra Q330
datalogger,AU,REFTEK Wrangler,REFTEK Wrangler,REFTEK,,Wrangler
datalogger,AU,REFTEK Wrangler,Reftek Wrangler,REFTEK,,Wrangler
datalogger,AU,RT 130 & 130-SMA,,REF TEK,,RT 130 & 130-SMA
datalogger,AU,RT 130 & 130-SMA,Reftek 130,REF TEK,,RT 130 & 130-SMA
datalogger,AU,Raspberry Shake Raspberry Shake,Raspberry Shake,Raspberry Shake,,Raspberry Shake
datalogger,AY,,,,,
datalogger,BC,GURALP,,GURALP,,CMG-DM24
datalogger,BC,NANOMETRICS,,NANOMETRICS,,CENTAUR
datalogger,BC,REF TEK,,REF TEK,,130-01
datalogger,BC,REF TEK,,REF TEK,,130S-01
datalogger,BC,REF TEK,,REF TEK,Reftek,130S-01
datalogger,C0,QUANTERRA,,QUANTERRA,,Q330
datalogger,C0,QUANTERRA,,QUANTERRA,,QEP
datalogger,C0,REF TEK,,REF TEK,,130S-01
datalogger,CC,GEM,,GEM,,GEM LOGGER
datalogger,CC,NANOMETRICS,,NANOMETRICS,,CENTAUR
datalogger,CC,NANOMETRICS,,NANOMETRICS,Nanometrics,CENTAUR
datalogger,CC,REF TEK,,REF TEK,,130S-01
