Station,", Bedrock Type ()",", Intact Strength ()",", Bedrock (Weathering)",", Spacing (of Defects)",", Additional Rock (Description)",", Notes ()",", References ()",", Bulk Density ((t/m3))",", Bulk Density (Notes)",", UCS (Mpa)",", UCS (Notes)",", Vs (m/s) ()",", Vs Notes ()",", Depth to Bedrock (from sensor level)",", Depth to Bedrock (from sensor level - Notes)"
001A,Basalt,strong,,,,,"White, P.J., & Perrin, N.D. (2003)",,,,,,,12,"c. 12 m, based on borehole data from site on Hunt St., 200 m NNW of recorder site"
002A,Greywacke,very strong,,,(Brunner Coal Measures)- effective bedrock,40,"Bowen, F.E. (1964)",,,,,,,40,"c 40 m, 2 m to effective bedrock?"
003A,Limestone,strong,,,,,Nathan. S. (1976),,,,,,,0,Uncertain value
007A,Andesite,strong,,,Beesons Island volcanics,,"Schofield, J.C. (1967)",,,,,,,120,Effective bedrock likely to be < 100 m
007B,Andesite,strong,,,Beesons Island volcanics,,"Schofield, J.C. (1967)",,,,,,,120,Effective bedrock likely to be < 100 m
012A,Siltstone,weak,,,Waitemata Group siltstone/ sandstone,weak rock,"Kermode, L.O. (1966)",,,,,,,,"Unknown, 7.5 m in freefield"
012B,Siltstone,weak,,,Waitemata siltstone/sandstone,weak rock,"Kermode, L.O. (1966)",,,,,,,0,"c. 0 m, 7.5 m in freefield"
013A,Andesite,moderately strong,,,Ruapehu Andesite - blocky jointed (Waimarino lahar) lava flow,,"Grindley, G.W. (1960)",,,,,,,5,5 to 10 m
014A,Siltstone,moderately strong,,,Nukumaruan Siltstone / limestone,,"Barker, P.R. (1994); Kingma, J.T. (1970)",,,,,,,200,
015A,Limestone,moderately weak,,,Nukumaruan Limestone ,moderately weak to moderately strong,"Kingma, J.T. (1970); Benites, R.A., & Haines, A.J. (1996)",,,,,,,0,
016A,Siltstone,weak,,,Miocene siltstone ,hard soil or weak rock,"Kingma, J.T. (1964)",,,,,,,10,
017A,Siltstone,weak,,,weak (soft) rock,Same as sites 018A and 218A,"Barker, P.R. (1994); Kingma, J.T. (1964); Pender, M., & Larkin, T. (1994)",,,,,,,40,
017B,Siltstone,weak,,,weak (soft) rock,Same as sites 018A and 218A,"Barker, P.R. (1994); Kingma, J.T. (1964); Pender, M., & Larkin, T. (1994)",,,,,,,40,
018A,Siltstone,very weak,unweathered ,,"massive, sandy to muddy light-blue grey siltstone","Unpublished GNS data, incl three drillholes at the site to a maximum depth of 24.4m","Barker, P.R. (1994); Kingma, J.T. (1964); Pender, M., & Larkin, T. (1994)",2.1,2.1 - 2.15 (est),3,1 to 5 (est),,,40,
019B,Siltstone,moderately strong,,,siltstone / pumice breccia,Huka formation,"Grindley, G.W. (1960)",,,,,,,30,"10 - 50 m, may be effective bedrock at 50 m, possibly less"
019C,Siltstone,moderately strong,,,siltstone / pumice breccia,Huka formation,"Grindley, G.W. (1960)",,,,,,,30,"10 - 50 m, may be effective bedrock at 50 m, possibly less"
019D,Siltstone,moderately strong,,,siltstone / pumice breccia,Huka formation,"Grindley, G.W. (1960)",,,,,,,30,"10 - 50 m, may be effective bedrock at 50 m, possibly less"
