Station,Location,Calibration,Magnitude Type,Start Date,End Date,Citations,Notes 
ABAZ,10,-0.164217929,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
ABAZ,11,-0.164217929,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
AKCZ,10,0.138367301,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
ALRZ,10,-0.018188038,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
AMCZ,10,0.298570183,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
ANWZ,10,0.197018386,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
APZ,10,0.130910343,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
ARAZ,10,0.065031575,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
ARCZ,10,-0.082827138,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
ARHZ,10,0.300589417,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
AWAZ,10,-0.45843224,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
BFZ,10,-0.046052969,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
BHHZ,10,-0.117156436,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
BHW,10,-0.268207503,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
BKZ,10,0.03762629,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
BSWZ,10,-0.127699657,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
CAW,10,0.242248166,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
CKHZ,10,0.145923309,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
CMWZ,10,0.250902817,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
CNGZ,10,-0.116373903,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
COVZ,10,0.070951152,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
CPWZ,10,0.190315347,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
CRLZ,10,-0.175259885,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
CRSZ,10,0.191465336,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
CTZ,10,0.423542397,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
CVZ,10,0.183095474,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
DCZ,10,0.14344826,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
DREZ,10,0.260730276,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
DRZ,10,0.670886524,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
DSZ,10,0.301001828,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
DUWZ,10,0.356388028,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
DVHZ,10,-0.088477387,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
EAZ,10,0.174550302,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
EDRZ,10,-0.097003085,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
EPAZ,10,-0.677454879,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
ETAZ,10,-0.646489413,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
ETVZ,10,0.351697415,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
EYCZ,10,0.111209279,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
FOZ,10,0.100393192,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
FOZ,11,0.100393192,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
FWVZ,10,0.019753447,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
GCSZ,10,0.038179235,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
GLKZ,10,0.086004126,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
GRRZ,10,-0.225915784,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
GRZ,10,-0.140356976,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
