Station,Site Class,Vs30,Vs30 Quality,Tsite,Tsite Method,Tsite Quality,Basement Depth,Depth Quality,Link,Citations,Notes
014A,E,150,Q2,1.25,I,Q3,110,Q3,,McVerry2011,
015A,B,1000,Q3,<0.1,I,Q3,0,Q3,,Perrin2015,
016A,C,480,Q3,0.15,I,Q3,10,Q3,,McVerry2011,
017A,D,138,Q2,1,Ms,Q1,40,Q3,GISS,,
018A,D,138,Q2,1,Ms,Q2,40,Q3,GISS,,
021A,D,210,Q3,2,I,Q3,200,Q3,,Perrin2015,
024A,D,350,Q3,0.9,I,Q3,120,Q3,,McVerry2011,at 226B
025A,C,210,Q2,0.6,Ms,Q2,12,Q2,,VanHoutte2017,
027A,E,150,Q3,1.7,I,Q3,200,Q3,,McVerry2011,
027C,E,150,Q3,1.7,I,Q3,200,Q3,,McVerry2011,
027F,C,268,Q3,0.4,I,Q3,20,Q3,,McVerry2011,
027G,C,268,Q3,0.4,I,Q3,20,Q3,,McVerry2011,
028A,D,210,Q3,1,I,Q3,75,Q3,,Perrin2015,
029A,D,182,Q3,>2,I,Q3,1000,Q3,HCDS,,
032A,C,495,Q3,0.13,I,Q3,10,Q3,,McVerry2011,
033A,C,367,Q3,0.33,I,Q3,30,Q3,,McVerry2011,
033C,C,403,Q3,0.22,I,Q3,20,Q3,,McVerry2011,
034A,B,800,Q3,<0.1,I,Q3,3,Q3,WBFS,,
039D,D,314,Q3,1,I,Q3,100,Q3,,McVerry2011,
039E,D,314,Q3,1,I,Q3,100,Q3,,McVerry2011,
040A,B,770,Q3,0.08,I,Q3,7,Q3,,McVerry2011,
042A,D,280,Q3,0.9,Mw,Q2,85,Q3,HSES,,
044A,D,140,Q2,0.8,I,Q3,25,Q3,SKFS,,
046A,D,210,Q3,0.7,Mw,Q2,50,Q3,,McVerry2011 Perrin2015 VanHoutte2017,some conflicts
048C,D,235,Q3,0.9,I,Q3,64,Q3,,McVerry2011,
048D,D,235,Q3,0.9,I,Q3,64,Q3,,McVerry2011,
050A,D,300,Q3,1.23,I,Q3,300,Q3,,McVerry2011,
051B,D,300,Q3,1.2,Mw,Q2,105,Q3,WBCS,,
051D,D,300,Q3,1.2,Mw,Q2,105,Q3,WBCS,,
052A,C,333,Q3,0.3,I,Q3,30,Q3,,McVerry2011,
053A,C,391,Q3,0.27,I,Q3,20,Q3,,McVerry2011,
054A,D,210,Q3,0.87,Ms,Q2,100,Q3,,Perrin2015,HVSR at station HDWS
055A,D,210,Q3,1,Mw,Q2,70,Q3,GMTS,,
056A,B,450,Q3,0.07,I,Q3,5,Q3,,McVerry2011 Perrin2015,some conflicts
057A,D,278,Q3,1.1,I,Q3,100,Q3,HMCS,,
059A,B,1000,Q3,<0.1,I,Q3,0,Q3,,Perrin2015,
060B,D,270,Q3,2.2,Mw,Q3,200,Q3,CECS,,
070A,D,298,Q3,1.4,I,Q3,200,Q3,,McVerry2011,
075A,D,400,Q3,0.6,I,Q3,60,Q3,,Cousins1996,
080B,C,210,Q3,0.57,I,Q3,30,Q3,,,
081A,D,200,Q3,2.3,I,Q3,200,Q3,,McVerry2011,
083A,B,1200,Q3,<0.1,I,Q3,0,Q2,,,
085D,C,350,Q3,0.33,I,Q3,15,Q3,,,
085M,C,350,Q3,0.33,I,Q3,15,Q3,,,
085N,C,350,Q3,0.33,I,Q3,15,Q3,,,
087A,B,1000,Q3,<0.1,I,Q3,0,Q2,,Perrin2015,
087B,B,1000,Q3,<0.1,I,Q3,0,Q3,,,
087C,C,425,Q3,0.33,I,Q3,30,Q3,,Perrin2015,
