Gauge,Number,Constituent,Amplitude,Lag
AUCT,1,Z0,186.2448,0
AUCT,2,SA,3.8781,112.03
AUCT,3,O1,1.7004,129.97
AUCT,4,P1,2.3003,170.28
AUCT,5,K1,7.033,175.54
AUCT,6,EPS2,0.7139,144.26
AUCT,7,2N2,2.9473,149.14
AUCT,8,MU2,3.2652,157.63
AUCT,9,N2,23.3629,172.04
AUCT,10,NU2,4.5124,175.16
AUCT,11,H1,0.8018,121.68
AUCT,12,M2,114.3039,204.7
AUCT,13,LDA2,1.0073,215.52
AUCT,14,L2,2.7755,223.51
AUCT,15,T2,1.4558,310.15
AUCT,16,S2,17.6408,276.08
AUCT,17,K2,4.2893,264.95
AUCT,18,M3,1.3673,203.22
AUCT,19,SK3,1.3465,340.68
AUCT,20,MN4,0.6515,99.46
AUCT,21,M4,2.5989,116.36
AUCT,22,MS4,1.3002,217.92
AUCT,23,2MN6,0.7282,249.37
AUCT,24,M6,1.2431,288.19
AUCT,25,2MS6,0.4797,303.58
AUCT,26,M8,0.5229,232.85
CHIT,1,Z0,281.9627,0
CHIT,2,Q1,0.5506,346.94
CHIT,3,O1,2.1752,340.81
CHIT,4,NO1,0.5028,81
CHIT,5,K1,1.8459,71.91
CHIT,6,MU2,1.3109,57.42
CHIT,7,N2,10.7514,100.13
CHIT,8,M2,46.9906,136.69
CHIT,9,S2,1.9529,236.94
CHIT,10,MO3,0.2862,260.88
CHIT,11,2MK5,0.2592,292.52
CHST,1,Z0,241.3055,0
CHST,2,Q1,1.1179,19.86
CHST,3,O1,3.006,45.04
CHST,4,K1,2.0385,171.85
CHST,5,2N2,3.3697,262.96
CHST,6,MU2,3.2984,274.32
CHST,7,N2,22.0065,287.35
CHST,8,NU2,4.2226,289.84
CHST,9,M2,106.9059,308.06
CHST,10,L2,3.0678,324.78
CHST,11,T2,1.6444,1.58
CHST,12,S2,27.6077,346.51
CHST,13,K2,7.8118,338.56
CHST,14,SK3,0.532,136.75
CHST,15,M6,0.791,22.5
CHST,16,2MS6,1.0329,104.47
CPIT,1,Z0,156.3866,0
CPIT,2,Q1,0.8068,9.99
CPIT,3,O1,3.0819,26.65
CPIT,4,P1,1.0222,93.39
CPIT,5,S1,0.4633,228.36
CPIT,6,K1,3.1159,99.48
CPIT,7,EPS2,0.582,62.77
CPIT,8,2N2,2.2475,78.61
CPIT,9,MU2,2.26,79.39
CPIT,10,N2,14.3866,105.5
CPIT,11,NU2,2.7041,112.94
CPIT,12,H1,0.5816,43.96
CPIT,13,M2,63.2718,146.91
CPIT,14,LDA2,0.4427,162.88
CPIT,15,L2,2.2918,197.26
CPIT,16,T2,0.7059,291.38
CPIT,17,S2,2.7174,228.36
CPIT,18,K2,0.4287,172.82
CPIT,19,MO3,0.2572,324.87
CPIT,20,M3,0.4612,156.92
CPIT,21,SO3,0.1932,74.78
CPIT,22,SK3,0.3169,277.67
CPIT,23,MN4,0.2732,106.69
CPIT,24,M4,0.4454,146.35
CPIT,25,MS4,0.0943,165.66
CPIT,26,S4,0.1067,206.41
CPIT,27,M6,0.1033,93.61
CPIT,28,2MS6,0.1234,183.87
GBIT,1,Z0,576.5416,0
GBIT,2,SA,6.2418,128.1
GBIT,3,O1,1.3198,125.51
GBIT,4,P1,1.6012,161.65
GBIT,5,K1,5.7465,169.47
GBIT,6,J1,0.473,190.1
GBIT,7,EPS2,0.5373,111.62
GBIT,8,2N2,2.0005,133.47
GBIT,9,MU2,2.2433,132.77
GBIT,10,N2,15.8293,162.8
GBIT,11,NU2,3.1929,163.77
GBIT,12,H1,0.652,132.08
GBIT,13,M2,78.2303,194.67
GBIT,14,LDA2,0.248,216.42
GBIT,15,L2,2.0753,274.03
GBIT,16,T2,0.9781,298.31
GBIT,17,S2,11.3867,265.12
GBIT,18,K2,2.7357,252.56
GBIT,19,M3,0.5029,187.16
GBIT,20,SK3,0.4444,331.2
GBIT,21,M4,0.2162,235.47
GIST,1,Z0,122.83,0
GIST,2,O1,1.2133,84.85
GIST,3,P1,1.5217,155.55
GIST,4,S1,1.2203,258.04
GIST,5,K1,4.124,157.74
GIST,6,EPS2,0.6472,70
GIST,7,2N2,2.005,97.72
GIST,8,MU2,2.0504,100.01
GIST,9,N2,14.1895,123.49
GIST,10,NU2,2.7409,130.76
GIST,11,H1,0.7865,73.77
GIST,12,M2,64.0412,163.89
GIST,13,L2,2.433,201.14
GIST,14,T2,0.7684,294.53
GIST,15,S2,4.963,254.9
GIST,16,K2,0.92,234.57
GIST,17,M3,0.4629,167
KAIT,1,Z0,107.6,0
KAIT,2,2Q1,0.3485,348.01
KAIT,3,Q1,1.0443,21.05
KAIT,4,O1,3.7728,39.91
KAIT,5,P1,1.2025,84.03
KAIT,6,S1,0.7756,249.61
KAIT,7,K1,3.5816,92.16
KAIT,8,EPS2,0.5174,36.21
KAIT,9,2N2,2.1596,58.33
KAIT,10,MU2,2.3646,66.39
KAIT,11,N2,14.5616,95.19
KAIT,12,NU2,2.8618,99.84
KAIT,13,H1,0.8941,349.09
KAIT,14,M2,64.718,134.03
KAIT,15,H2,0.7224,356.63
KAIT,16,LDA2,0.4588,140.08
KAIT,17,L2,1.7848,189.49
KAIT,18,T2,0.7229,283.32
KAIT,19,S2,2.5611,169.44
KAIT,20,K2,0.9921,130.57
KAIT,21,MO3,0.3681,339.22
KAIT,22,M3,0.3884,154.79
KAIT,23,SO3,0.282,68.01
KAIT,24,SK3,0.3675,288.98
KAIT,25,2MS6,0.179,171.97
LOTT,1,Z0,322.4234,0
LOTT,2,O1,1.6056,133.28
LOTT,3,P1,2.2381,169.35
LOTT,4,K1,5.7158,174.41
LOTT,5,J1,0.5407,198.32
LOTT,6,2N2,1.8528,123.64
LOTT,7,MU2,2.0458,123.04
LOTT,8,N2,15.4855,150.11
LOTT,9,NU2,3.0762,155
LOTT,10,M2,69.4474,183.62
LOTT,11,L2,0.6569,196.08
LOTT,12,S2,9.0037,264.37
LOTT,13,K2,2.0797,249.37
LOTT,14,M3,0.4583,163.47
MNKT,1,Z0,271.5374,0
MNKT,2,MSM,2.4209,132.22
MNKT,3,MM,2.7595,92.85
MNKT,4,MSF,1.6804,236.47
MNKT,5,MF,2.0731,57.15
MNKT,6,O1,1.4126,94.86
MNKT,7,P1,1.8264,190.15
MNKT,8,K1,5.6148,197.2
MNKT,9,2N2,2.7489,252.48
MNKT,10,MU2,2.8021,291.88
MNKT,11,N2,20.5731,268.13
MNKT,12,NU2,4.2849,259.92
MNKT,13,M2,108.9206,284.95
MNKT,14,L2,3.7672,301.64
MNKT,15,T2,1.8093,353.76
MNKT,16,S2,28.7419,331.9
MNKT,17,K2,7.9585,322.77
MNKT,18,M4,1.9089,62.72
MNKT,19,MS4,0.9103,117.11
MNKT,20,2MN6,0.5579,158.3
MNKT,21,M6,0.9071,184.18
MNKT,22,2MS6,0.8261,243.29
MNKT,23,2SM6,0.2891,293.05
NAPT,1,Z0,93.5663,0
NAPT,2,Q1,0.6303,2.84
NAPT,3,O1,2.4184,29.76
NAPT,4,P1,1.0036,119.36
NAPT,5,S1,1.1244,248.57
NAPT,6,K1,3.1537,118.67
NAPT,7,EPS2,0.4664,67.53
NAPT,8,2N2,1.938,88.99
NAPT,9,MU2,2.3182,90.11
NAPT,10,N2,15.4426,118.8
NAPT,11,NU2,2.9327,122.53
NAPT,12,H1,0.6002,76.42
NAPT,13,M2,68.055,155.7
NAPT,14,L2,0.9891,190.43
NAPT,15,T2,0.7463,289.92
NAPT,16,S2,4.074,242.7
NAPT,17,K2,0.6126,210.04
NAPT,18,M3,0.4546,155.78
NAPT,19,SK3,0.3699,287.81
NAPT,20,M4,0.3403,191.09
NBRT,1,Z0,11.2714,0
NBRT,2,Q1,0.7754,48.24
NBRT,3,O1,2.5452,51.28
NBRT,4,P1,1.4832,100.01
NBRT,5,S1,1.0575,212.93
NBRT,6,K1,4.6079,94.68
NBRT,7,EPS2,0.6091,40.74
NBRT,8,2N2,2.6123,59.35
NBRT,9,MU2,2.9501,60.91
NBRT,10,N2,19.1924,89.65
NBRT,11,NU2,3.6012,93.93
NBRT,12,M2,83.4363,125.55
NBRT,13,L2,1.8929,160.28
NBRT,14,S2,5.4494,151.84
NBRT,15,K2,1.826,121.83
NBRT,16,SK3,0.5647,278.57
NBRT,17,M4,0.5722,72.95
NBRT,18,MS4,0.3989,132.34
NBRT,19,M6,0.6521,80.38
NBRT,20,2MS6,0.6001,148.12
NCPT,1,Z0,432.9637,0
NCPT,2,O1,2.0779,159.53
NCPT,3,P1,2.5027,179.24
NCPT,4,K1,7.4575,189.91
NCPT,5,J1,0.5498,210.11
NCPT,6,2N2,1.9818,163.88
NCPT,7,MU2,1.976,166.19
NCPT,8,N2,16.4199,188.52
NCPT,9,NU2,3.1869,193.02
NCPT,10,M2,79.8633,218.03
NCPT,11,LDA2,0.6805,238.69
NCPT,12,L2,1.1228,240.05
NCPT,13,S2,15.2094,280.14
NCPT,14,K2,3.8989,268.37
NCPT,15,M3,0.2933,194.32
NCPT,16,SK3,0.3195,3.12
OTAT,1,Z0,111.9086,0
OTAT,2,Q1,0.9754,37.07
OTAT,3,O1,2.8872,51.83
OTAT,4,P1,0.9447,91.55
OTAT,5,K1,2.6964,90.12
OTAT,6,EPS2,0.3992,27.22
OTAT,7,2N2,2.3698,41.01
OTAT,8,MU2,2.0833,48.64
OTAT,9,N2,17.78,70.29
OTAT,10,NU2,3.4956,73.37
OTAT,11,H1,0.6899,13.77
OTAT,12,M2,77.428,99.4
OTAT,13,H2,0.4902,327.52
OTAT,14,LDA2,0.8605,78.8
OTAT,15,L2,2.5239,94.93
OTAT,16,S2,9.6171,110.44
OTAT,17,K2,3.1924,98.01
OTAT,18,SK3,0.5901,294.85
OTAT,19,MN4,0.8293,196.54
OTAT,20,M4,1.1298,200.29
OTAT,21,MS4,0.4152,198.34
OTAT,22,2MN6,0.9237,264.7
OTAT,23,M6,1.5875,299.93
OTAT,24,2MS6,0.4971,311.97
OTAT,25,M8,0.2221,83.27
PUYT,1,Z0,622.0381,0
PUYT,2,Q1,1.3092,15.22
PUYT,3,O1,3.5668,55.65
PUYT,4,P1,0.7953,112.15
PUYT,5,K1,2.8795,132.31
PUYT,6,EPS2,0.7567,272.75
PUYT,7,2N2,2.5772,286.01
PUYT,8,MU2,2.8693,295.34
PUYT,9,N2,17.5359,316.89
PUYT,10,NU2,3.2478,316.79
PUYT,11,H1,0.6575,273.18
PUYT,12,M2,78.2863,337.96
PUYT,13,H2,0.7376,234.65
PUYT,14,LDA2,0.7338,333.63
PUYT,15,L2,1.3218,352.56
PUYT,16,T2,0.9637,29.05
PUYT,17,S2,18.704,14
PUYT,18,K2,5.1745,3.54
PUYT,19,M3,0.2856,191.52
PUYT,20,SK3,0.338,208.78
PUYT,21,M4,0.2844,192.89
PUYT,22,2MS6,0.2441,136.69
RBCT,1,Z0,394.7686,0
RBCT,2,MM,2.4847,69.9
RBCT,3,O1,2.9761,208.52
RBCT,4,K1,5.7027,228.32
RBCT,5,MU2,2.7986,124.25
RBCT,6,N2,12.4652,160.72
RBCT,7,M2,51.0005,195.61
RBCT,8,S2,7.1953,291.88
RBCT,9,M3,0.4157,205.91
RBCT,10,MN4,0.2634,204.55
RBCT,11,M4,0.3722,246.23
RFRT,1,Z0,272.0115,0
RFRT,2,O1,2.1801,204.63
RFRT,3,P1,1.781,113.24
RFRT,4,K1,5.941,211.88
RFRT,5,2N2,1.2662,128.22
RFRT,6,MU2,1.565,127.41
RFRT,7,N2,11.2711,161.39
RFRT,8,NU2,2.1586,164.4
RFRT,9,M2,53.2427,195.03
RFRT,10,S2,8.2156,280.72
RFRT,11,K2,1.9792,274.41
RFRT,12,M3,0.415,191.37
SUMT,1,Z0,11.2714,0
SUMT,2,Q1,0.7754,48.24
SUMT,3,O1,2.5452,51.28
SUMT,4,P1,1.4832,100.01
SUMT,5,S1,1.0575,212.93
SUMT,6,K1,4.6079,94.68
SUMT,7,EPS2,0.6091,40.74
SUMT,8,2N2,2.6123,59.35
SUMT,9,MU2,2.9501,60.91
SUMT,10,N2,19.1924,89.65
SUMT,11,NU2,3.6012,93.93
SUMT,12,M2,83.4363,125.55
SUMT,13,L2,1.8929,160.28
SUMT,14,S2,5.4494,151.84
SUMT,15,K2,1.826,121.83
SUMT,16,SK3,0.5647,278.57
SUMT,17,M4,0.5722,72.95
SUMT,18,MS4,0.3989,132.34
SUMT,19,M6,0.6521,80.38
SUMT,20,2MS6,0.6001,148.12
TAUT,1,Z0,103.8549,0
TAUT,2,SA,3.8358,111.75
TAUT,3,O1,1.3311,132.24
TAUT,4,P1,1.6652,176.73
TAUT,5,S1,0.5511,247.93
TAUT,6,K1,5.3781,180.96
TAUT,7,J1,0.3675,212.91
TAUT,8,2N2,1.7845,141.53
TAUT,9,MU2,1.6915,158.27
TAUT,10,N2,14.2833,165.09
TAUT,11,NU2,2.7682,166.84
TAUT,12,M2,70.1175,199.04
TAUT,13,LDA2,0.7923,213.96
TAUT,14,L2,2.4379,220.38
TAUT,15,T2,0.7983,311.91
TAUT,16,S2,8.73,278.6
TAUT,17,K2,2.0518,267.65
TAUT,18,MSN2,0.1916,116.25
TAUT,19,MO3,0.2406,37.16
TAUT,20,M3,0.458,193
TAUT,21,MK3,0.3188,162.97
TAUT,22,SK3,0.3649,321.24
TAUT,23,MN4,0.8921,172.11
TAUT,24,M4,1.9453,203.79
TAUT,25,MS4,0.4649,293.63
TAUT,26,2MK5,0.1509,230.46
TAUT,27,2MN6,0.6261,232.01
TAUT,28,M6,1.2038,267.17
TAUT,29,2MS6,0.2655,348.54
TAUT,30,M8,0.2489,199.77
WLGT,1,Z0,108.3282,0
WLGT,2,Q1,0.9496,6.46
WLGT,3,O1,3.1988,28.22
WLGT,4,P1,0.9666,83.63
WLGT,5,K1,2.538,88.25
WLGT,6,2N2,1.5607,63.52
WLGT,7,MU2,1.8484,68.29
WLGT,8,N2,12.1684,96.37
WLGT,9,NU2,2.2328,101.88
WLGT,10,H1,0.5161,125.27
WLGT,11,M2,49.1058,136.28
WLGT,12,H2,0.5215,107.7
WLGT,13,L2,0.7445,151.97
WLGT,14,T2,0.7202,316.02
WLGT,15,S2,2.5238,351.12
WLGT,16,K2,0.966,28.22
WLGT,17,MO3,0.2923,359.52
WLGT,18,M3,0.6959,174.18
WLGT,19,SO3,0.3806,93.1
WLGT,20,MK3,0.346,141.6
WLGT,21,SK3,0.4333,213
WLGT,22,MN4,0.3199,217.66
WLGT,23,M4,0.9474,252.51
WLGT,24,MS4,0.5105,314.85
WLGT,25,2MN6,0.2465,46.05
WLGT,26,M6,0.45,98.33
WLGT,27,2MS6,0.4391,159.8
