Station,Location,Sublocation,Property,Description,Aspect,Start Date,End Date
ALS1R,01,01,rainfall,total,,2023-02-24T01:09:00Z,2024-02-25T13:50:01Z
ALS1R,02,01,rainfall,total,,2023-02-24T01:09:00Z,2024-02-25T13:50:01Z
ALS2R,01,01,rainfall,total,,2023-02-23T03:59:00Z,2024-03-13T20:50:01Z
ALS2R,02,01,rainfall,total,,2023-02-23T03:59:00Z,2024-03-13T20:50:01Z
FOXAG,01,01,rainfall,total,,2019-02-06T13:10:00Z,9999-01-01T00:00:00Z
FOXAG,02,01,rainfall,total,,2019-02-06T13:10:00Z,9999-01-01T00:00:00Z
FOXAG,03,01,moisture,soil,10 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,03,01,salinity,soil,10 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,03,01,temperature,soil,10 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,03,02,moisture,soil,20 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,03,02,salinity,soil,20 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,03,02,temperature,soil,20 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,03,03,moisture,soil,30 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,03,03,salinity,soil,30 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,03,03,temperature,soil,30 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,03,04,moisture,soil,40 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,03,04,salinity,soil,40 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,03,04,temperature,soil,40 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,03,05,moisture,soil,50 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,03,05,salinity,soil,50 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,03,05,temperature,soil,50 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,03,06,moisture,soil,60 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,03,06,salinity,soil,60 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,03,06,temperature,soil,60 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,03,07,moisture,soil,70 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,03,07,salinity,soil,70 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,03,07,temperature,soil,70 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,03,08,moisture,soil,80 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,03,08,salinity,soil,80 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,03,08,temperature,soil,80 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,04,01,moisture,soil,10 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,04,01,salinity,soil,10 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,04,01,temperature,soil,10 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,04,02,moisture,soil,20 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,04,02,salinity,soil,20 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,04,02,temperature,soil,20 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,04,03,moisture,soil,30 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,04,03,salinity,soil,30 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,04,03,temperature,soil,30 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,04,04,moisture,soil,40 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,04,04,salinity,soil,40 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,04,04,temperature,soil,40 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,04,05,moisture,soil,50 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,04,05,salinity,soil,50 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,04,05,temperature,soil,50 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,04,06,moisture,soil,60 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,04,06,salinity,soil,60 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,04,06,temperature,soil,60 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,04,07,moisture,soil,70 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,04,07,salinity,soil,70 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,04,07,temperature,soil,70 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,04,08,moisture,soil,80 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,04,08,salinity,soil,80 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,04,08,temperature,soil,80 cm,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,05,01,tilt,ground,x-axis,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXAG,05,02,tilt,ground,y-axis,2021-05-05T23:09:59Z,9999-01-01T00:00:00Z
FOXKP,01,01,rainfall,total,,2021-08-03T00:00:00Z,2023-12-25T03:51:00Z
FOXKP,03,01,direction,wind,,2021-08-04T00:00:00Z,2023-12-25T03:51:00Z
FOXKP,03,01,direction-stddev,wind,,2021-08-04T00:00:00Z,2023-12-25T03:51:00Z
FOXKP,03,01,humidity,air,,2021-08-04T00:00:00Z,2023-12-25T03:51:00Z
FOXKP,03,01,pressure,air,,2021-08-04T00:00:00Z,2023-12-25T03:51:00Z
FOXKP,03,01,speed,wind,,2021-08-04T00:00:00Z,2023-12-25T03:51:00Z
FOXKP,03,01,temperature,air,,2021-08-04T00:00:00Z,2023-12-25T03:51:00Z
FOXKP,04,01,displacement,crack,upper site south,2021-11-24T03:50:00Z,2023-12-25T03:51:00Z
FOXKP,04,01,temperature,wire,upper site south,2021-11-24T03:50:00Z,2023-12-25T03:51:00Z
FOXKP,05,01,displacement,crack,lower site graben south,2022-01-26T01:50:00Z,2023-12-25T03:51:00Z
FOXKP,05,01,temperature,wire,lower site graben south,2022-01-26T01:50:00Z,2023-12-25T03:51:00Z
FOXKP,06,01,displacement,crack,upper site western face west,2023-02-08T01:00:00Z,2023-12-25T03:51:00Z
FOXKP,06,01,temperature,wire,upper site western face west,2023-02-08T01:00:00Z,2023-12-25T03:51:00Z
FOXRB,01,01,rainfall,total,,2021-08-03T03:50:00Z,9999-01-01T00:00:00Z
